county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
MARTIN ,2388,1292,47,1035,14,0500000US48317,2390,1286,33,1042,29,2491,1335,33,1091,32,2635,1398,36,1169,32,2388,1292,47,1035,14
MASON ,2034,1604,7,412,11,0500000US48319,2060,1616,6,417,21,2097,1641,6,428,22,2100,1639,5,433,23,2034,1604,7,412,11
MATAGORDA ,18339,8846,2190,6855,448,0500000US48321,18387,8689,2129,6992,577,18536,8689,2138,7126,583,18159,8395,2085,7086,593,18339,8846,2190,6855,448
MAVERICK ,27807,731,37,26713,326,0500000US48323,28327,724,32,27202,369,28591,720,32,27466,373,28578,728,29,27446,375,27807,731,37,26713,326
MEDINA ,22350,10801,175,11160,214,0500000US48325,22529,10690,125,11329,385,22856,10799,128,11534,395,23506,11061,123,11914,408,22350,10801,175,11160,214
MENARD ,1109,713,3,386,7,0500000US48327,1120,712,3,393,12,1134,716,3,402,13,1114,706,4,394,10,1109,713,3,386,7
MIDLAND ,69630,37590,4750,26042,1248,0500000US48329,71352,37457,4554,27339,2002,74049,38640,4692,28622,2095,77031,39066,4900,30725,2340,69630,37590,4750,26042,1248
MILAM ,12532,8301,1287,2831,113,0500000US48331,12594,8239,1256,2917,182,12763,8301,1273,3002,187,12274,7918,1219,2944,193,12532,8301,1287,2831,113
MILLS ,2491,2074,13,389,15,0500000US48333,2498,2060,13,397,28,2538,2086,13,409,30,2508,2050,12,414,32,2491,2074,13,389,15
MITCHELL ,3657,2262,126,1236,33,0500000US48335,3678,2234,124,1266,54,3695,2227,126,1285,57,3621,2176,123,1267,55,3657,2262,126,1236,33
MONTAGUE ,10054,8954,23,962,115,0500000US48337,10084,8835,10,1006,233,10189,8905,10,1034,240,10123,8803,6,1074,240,10054,8954,23,962,115
MONTGOMERY ,229835,166823,10460,45830,6722,0500000US48339,237694,168394,10070,49211,10019,243115,171697,10296,50815,10307,252803,175381,10872,55514,11036,229835,166823,10460,45830,6722
MOORE ,10587,4340,86,5523,638,0500000US48341,10612,4201,84,5586,741,10681,4173,86,5659,763,10628,4039,85,5689,815,10587,4340,86,5523,638
MORRIS ,6695,4480,1662,476,77,0500000US48343,6697,4439,1597,494,167,6781,4484,1614,511,172,6781,4413,1640,553,175,6695,4480,1662,476,77
MOTLEY ,597,504,9,79,5,0500000US48345,586,487,13,81,5,612,504,13,89,6,583,496,7,75,5,597,504,9,79,5
NACOGDOCHES ,33724,20963,6648,5505,608,0500000US48347,34038,20740,6531,5739,1028,34283,20788,6574,5875,1046,33734,20302,6443,5933,1056,33724,20963,6648,5505,608
NAVARRO ,24078,14717,3436,5457,468,0500000US48349,24321,14590,3345,5699,687,24420,14545,3359,5818,698,24671,14525,3313,6105,728,24078,14717,3436,5457,468
NEWTON ,7000,5386,1372,168,74,0500000US48351,7044,5330,1364,173,177,7078,5347,1374,173,184,7010,5273,1378,181,178,7000,5386,1372,168,74
NOLAN ,7655,4631,383,2584,57,0500000US48353,7687,4582,332,2640,133,7711,4571,334,2670,136,7498,4428,326,2619,125,7655,4631,383,2584,57
NUECES ,173185,56949,6387,105841,4008,0500000US48355,176265,55984,6004,108663,5614,177367,56012,6018,109676,5661,178339,54620,5987,111758,5974,173185,56949,6387,105841,4008
OCHILTREE ,4986,2601,12,2321,52,0500000US48357,5033,2540,9,2404,80,5163,2576,10,2497,80,5230,2529,12,2598,91,4986,2601,12,2321,52
OLDHAM ,1017,845,33,121,18,0500000US48359,1027,839,29,125,34,1065,870,29,129,37,1038,847,31,130,30,1017,845,33,121,18
ORANGE ,41129,34550,3711,2200,668,0500000US48361,41192,34090,3622,2302,1178,41568,34332,3677,2356,1203,41491,34041,3691,2509,1250,41129,34550,3711,2200,668
PALO PINTO ,14300,11358,331,2450,161,0500000US48363,14355,11250,286,2529,290,14408,11256,282,2576,294,14465,11232,287,2657,289,14300,11358,331,2450,161
PANOLA ,11988,8892,2056,897,143,0500000US48365,12067,8861,2029,943,234,12132,8876,2033,970,253,12163,8861,2040,1014,248,11988,8892,2056,897,143
PARKER ,57635,50493,656,5633,853,0500000US48367,59027,50778,518,6109,1622,59878,51449,527,6253,1649,60288,51233,542,6780,1733,57635,50493,656,5633,853
PARMER ,5010,1995,46,2951,18,0500000US48369,5035,1947,39,3012,37,5070,1934,39,3059,38,4813,1774,45,2965,29,5010,1995,46,2951,18
PECOS ,6765,1800,39,4851,75,0500000US48371,6782,1757,33,4883,109,6829,1748,34,4936,111,6933,1755,30,5024,124,6765,1800,39,4851,75
POLK ,21125,16189,2054,2353,529,0500000US48373,21220,16012,1967,2447,794,21412,16107,1988,2512,805,21848,16316,2011,2671,850,21125,16189,2054,2353,529
POTTER ,59154,30478,5396,20540,2740,0500000US48375,59730,29756,5018,21210,3746,60143,29637,5086,21606,3814,60533,29159,5060,22259,4055,59154,30478,5396,20540,2740
PRESIDIO ,4000,545,10,3394,51,0500000US48377,4034,537,9,3428,60,4062,538,9,3455,60,4085,538,6,3469,72,4000,545,10,3394,51
RAINS ,5429,4825,128,391,85,0500000US48379,5506,4846,113,406,141,5608,4923,118,422,145,5527,4865,110,414,138,5429,4825,128,391,85
RANDALL ,61988,49349,1444,9955,1240,0500000US48381,63527,49573,1256,10665,2033,64751,50400,1287,10983,2081,65298,49980,1357,11735,2226,61988,49349,1444,9955,1240
REAGAN ,1619,630,25,960,4,0500000US48383,1627,616,25,973,13,1728,650,27,1034,17,1723,649,22,1037,15,1619,630,25,960,4
REAL ,1671,1241,11,396,23,0500000US48385,1705,1243,12,408,42,1732,1257,13,420,42,1692,1230,8,418,36,1671,1241,11,396,23
RED RIVER ,6594,4910,1223,398,63,0500000US48387,6593,4823,1204,413,153,6592,4807,1208,424,153,6325,4587,1162,421,155,6594,4910,1223,398,63
REEVES ,5502,908,100,4421,73,0500000US48389,5516,897,96,4447,76,5549,895,93,4484,77,5563,881,95,4511,76,5502,908,100,4421,73
REFUGIO ,3714,1704,214,1771,25,0500000US48391,3714,1663,210,1793,48,3748,1673,209,1818,48,3632,1592,203,1784,53,3714,1704,214,1771,25
ROBERTS ,460,421,0,35,4,0500000US48393,459,423,0,31,5,463,427,0,31,5,450,413,0,32,5,460,421,0,35,4
ROBERTSON ,8392,4960,1891,1468,73,0500000US48395,8589,4979,1929,1532,149,8691,5024,1950,1567,150,8543,4879,1909,1604,151,8392,4960,1891,1468,73
ROCKWALL ,39821,29999,2385,6104,1333,0500000US48397,41177,30446,2354,6483,1894,42069,31036,2401,6685,1947,43296,31555,2579,7055,2107,39821,29999,2385,6104,1333
RUNNELS ,5304,3530,82,1651,41,0500000US48399,5331,3498,73,1687,73,5376,3509,74,1719,74,5147,3317,73,1687,70,5304,3530,82,1651,41
RUSK ,25255,17459,4239,3280,277,0500000US48401,25439,17268,4120,3456,595,25641,17335,4144,3560,602,25316,16925,4064,3707,620,25255,17459,4239,3280,277
SABINE ,5533,4900,412,167,54,0500000US48403,5572,4895,391,172,114,5606,4919,392,177,118,5613,4925,393,178,117,5533,4900,412,167,54
SAN AUGUSTINE ,4505,3149,1077,253,26,0500000US48405,4513,3101,1074,262,76,4586,3138,1093,275,80,4476,3057,1078,266,75,4505,3149,1077,253,26
SAN JACINTO ,13179,10255,1386,1405,133,0500000US48407,13391,10241,1362,1481,307,13585,10364,1382,1526,313,13842,10501,1426,1599,316,13179,10255,1386,1405,133
SAN PATRICIO ,32641,13859,497,17853,432,0500000US48409,32700,13521,413,18036,730,32799,13490,410,18161,738,32946,13342,416,18442,746,32641,13859,497,17853,432
SAN SABA ,2765,2021,12,707,25,0500000US48411,2788,1994,13,726,55,2849,2017,13,762,57,2713,1921,11,734,47,2765,2021,12,707,25
SCHLEICHER ,1735,948,15,769,3,0500000US48413,1742,939,15,775,13,1764,945,15,791,13,1728,920,13,784,11,1735,948,15,769,3
SCURRY ,7893,4809,225,2783,76,0500000US48415,7921,4741,200,2855,125,8055,4792,206,2931,126,8108,4720,208,3047,133,7893,4809,225,2783,76
SHACKELFORD ,1746,1557,11,165,13,0500000US48417,1739,1535,6,161,37,1751,1543,5,166,37,1747,1542,3,168,34,1746,1557,11,165,13
SHELBY ,12857,8449,2404,1920,84,0500000US48419,13004,8435,2371,2013,185,13046,8412,2375,2058,201,13040,8367,2357,2128,188,12857,8449,2404,1920,84
SHERMAN ,1486,886,2,589,9,0500000US48421,1489,868,2,604,15,1503,868,2,617,16,1486,846,1,624,15,1486,886,2,589,9
SMITH ,108289,68184,20679,17418,2008,0500000US48423,110104,67865,20303,18472,3464,111346,68276,20536,18996,3538,110614,66759,20466,19700,3689,108289,68184,20679,17418,2008
SOMERVELL ,4308,3413,30,806,59,0500000US48425,4378,3398,26,830,124,4467,3462,27,852,126,4402,3374,21,883,124,4308,3413,30,806,59
STARR ,31528,1253,2,30202,71,0500000US48427,31941,1255,2,30601,83,32277,1251,2,30940,84,31974,1264,3,30622,85,31528,1253,2,30202,71
STEPHENS ,4655,3655,64,901,35,0500000US48429,4657,3618,66,920,53,4693,3627,66,945,55,4546,3503,55,936,52,4655,3655,64,901,35
STERLING ,567,378,3,178,8,0500000US48431,567,374,3,179,11,575,378,3,183,11,612,392,4,200,16,567,378,3,178,8
STONEWALL ,773,635,19,109,10,0500000US48433,765,616,16,113,20,783,629,17,117,20,729,587,17,105,20,773,635,19,109,10
SUTTON ,2099,850,4,1239,6,0500000US48435,2105,846,0,1248,11,2121,848,0,1262,11,2068,813,0,1244,11,2099,850,4,1239,6
SWISHER ,3718,2025,194,1463,36,0500000US48437,3708,1981,166,1491,70,3723,1965,168,1519,71,3604,1892,158,1484,70,3718,2025,194,1463,36
TARRANT ,921799,488074,145742,237173,50810,0500000US48439,941539,480696,143968,248435,68440,955472,485096,146215,254467,69694,972584,477904,151987,268267,74426,921799,488074,145742,237173,50810
TAYLOR ,67478,46208,4926,14665,1679,0500000US48441,67889,45330,4477,15181,2901,68534,45582,4543,15468,2941,68997,45417,4606,15905,3069,67478,46208,4926,14665,1679
TERRELL ,475,242,1,229,3,0500000US48443,466,233,1,225,7,469,233,1,229,6,435,217,2,211,5,475,242,1,229,3
TERRY ,5934,2825,197,2888,24,0500000US48445,5964,2771,187,2947,59,6007,2763,185,2998,61,5914,2671,187,2990,66,5934,2825,197,2888,24
THROCKMORTON ,834,729,6,86,13,0500000US48447,820,713,8,85,14,837,726,8,89,14,814,706,6,87,15,834,729,6,86,13
TITUS ,16358,8287,1638,6193,240,0500000US48449,16497,8142,1598,6405,352,16603,8102,1595,6548,358,16539,7913,1596,6667,363,16358,8287,1638,6193,240
TOM GREEN ,56248,33120,2142,20042,944,0500000US48451,56606,32493,1884,20526,1703,57100,32626,1898,20855,1721,58240,32807,1952,21646,1835,56248,33120,2142,20042,944
TRAVIS ,507629,262453,45453,166715,33008,0500000US48453,520006,260513,43384,172989,43120,530986,264613,44165,177996,44212,549543,270610,44766,186198,47969,507629,262453,45453,166715,33008
TRINITY ,7485,6136,771,504,74,0500000US48455,7524,6106,748,515,155,7560,6124,751,528,157,7257,5871,718,513,155,7485,6136,771,504,74
TYLER ,10035,8814,860,276,85,0500000US48457,10072,8765,826,282,199,10162,8846,827,288,201,10029,8691,848,291,199,10035,8814,860,276,85
UPSHUR ,19847,16484,1896,1253,214,0500000US48459,20106,16411,1805,1332,558,20311,16560,1813,1371,567,20209,16348,1834,1446,581,19847,16484,1896,1253,214
UPTON ,1680,804,28,832,16,0500000US48461,1685,793,27,841,24,1698,792,27,855,24,1658,773,25,836,24,1680,804,28,832,16
UVALDE ,13496,3976,46,9355,119,0500000US48463,13522,3880,39,9430,173,13672,3879,40,9575,178,13663,3812,45,9632,174,13496,3976,46,9355,119
VAL VERDE ,24360,3937,246,19973,204,0500000US48465,24506,3850,232,20130,294,24835,3891,235,20414,295,24092,3690,236,19864,302,24360,3937,246,19973,204
VAN ZANDT ,26716,23409,803,2196,308,0500000US48467,26798,23167,702,2284,645,27144,23413,712,2360,659,27190,23302,706,2495,687,26716,23409,803,2196,308
VICTORIA ,44444,21642,2852,19279,671,0500000US48469,44758,21310,2710,19711,1027,45554,21581,2735,20191,1047,45711,21219,2800,20566,1126,44444,21642,2852,19279,671
WALKER ,27854,17581,5517,4279,477,0500000US48471,28048,17389,5372,4409,878,28361,17529,5426,4508,898,28608,17547,5454,4629,978,27854,17581,5517,4279,477
WALLER ,21810,9887,5859,5843,221,0500000US48473,22133,9831,5752,6099,451,22476,9926,5832,6260,458,22897,9991,5793,6645,468,21810,9887,5859,5843,221
WARD ,5507,2629,247,2587,44,0500000US48475,5585,2610,234,2643,98,5640,2625,237,2678,100,5809,2663,247,2792,107,5507,2629,247,2587,44
WASHINGTON ,17138,11605,3077,2175,281,0500000US48477,17237,11475,3041,2286,435,17403,11506,3081,2369,447,17370,11393,3096,2425,456,17138,11605,3077,2175,281
WEBB ,128816,3785,166,124053,812,0500000US48479,133369,3772,151,128495,951,134583,3788,152,129689,954,136418,3736,165,131505,1012,128816,3785,166,124053,812
WHARTON ,20989,10259,3052,7552,126,0500000US48481,20952,10061,2957,7689,245,21018,10033,2950,7788,247,20946,9854,2950,7889,253,20989,10259,3052,7552,126
WHEELER ,2749,2009,67,647,26,0500000US48483,2776,1977,68,670,61,2844,2011,70,702,61,2937,2037,61,768,71,2749,2009,67,647,26
WICHITA ,64062,45400,6517,10042,2103,0500000US48485,64079,44290,6076,10385,3328,64213,44185,6122,10545,3361,64673,43916,6178,11080,3499,64062,45400,6517,10042,2103
WILBARGER ,6799,4431,515,1732,121,0500000US48487,6775,4313,498,1763,201,6802,4309,500,1787,206,6558,4064,477,1806,211,6799,4431,515,1732,121
WILLACY ,10104,1031,43,8989,41,0500000US48489,10129,999,40,9025,65,10144,992,40,9047,65,10023,965,37,8959,62,10104,1031,43,8989,41
WILLIAMSON ,214647,139508,13903,48972,12264,0500000US48491,223975,141530,13271,52271,16903,228764,144144,13536,53696,17388,237481,147342,14236,57427,18476,214647,139508,13903,48972,12264
WILSON ,21546,12737,332,8269,208,0500000US48493,22353,13023,312,8644,374,22832,13276,318,8851,387,22932,13289,307,8920,416,21546,12737,332,8269,208
WINKLER ,3560,1547,73,1901,39,0500000US48495,3567,1521,66,1923,57,3589,1512,67,1953,57,3729,1565,69,2037,58,3560,1547,73,1901,39
WISE ,29324,23906,244,4830,344,0500000US48497,29932,23893,184,5143,712,30188,24035,186,5243,724,30635,24000,194,5664,777,29324,23906,244,4830,344
WOOD ,21342,18425,1052,1645,220,0500000US48499,21393,18266,978,1706,443,21488,18308,975,1756,449,21893,18574,1015,1840,464,21342,18425,1052,1645,220
YOAKUM ,3980,1613,36,2304,27,0500000US48501,4005,1564,29,2354,58,4053,1570,29,2395,59,4116,1543,31,2480,62,3980,1613,36,2304,27
YOUNG ,9402,7803,122,1390,87,0500000US48503,9428,7701,99,1447,181,9549,7764,102,1497,186,9600,7753,98,1559,190,9402,7803,122,1390,87
ZAPATA ,6974,408,4,6531,31,0500000US48505,7098,394,4,6657,43,7235,395,4,6792,44,7125,385,1,6703,36,6974,408,4,6531,31
ZAVALA ,5917,335,16,5556,10,0500000US48507,5976,328,13,5617,18,6082,331,13,5720,18,6113,326,11,5756,20,5917,335,16,5556,10
