county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
CHEROKEE ,24995,16479,3615,4673,228,0500000US48073,25193,16268,3446,4892,587,25415,16324,3477,5019,595,25715,16318,3474,5289,634,24995,16479,3615,4673,228
CHILDRESS ,2920,2125,138,623,34,0500000US48075,2927,2088,131,641,67,2918,2062,131,657,68,2918,2055,129,656,78,2920,2125,138,623,34
CLAY ,5469,5120,21,251,77,0500000US48077,5491,5055,26,253,157,5518,5080,26,254,158,5521,5079,21,262,159,5469,5120,21,251,77
COCHRAN ,1592,686,60,834,12,0500000US48079,1575,667,56,832,20,1578,663,55,840,20,1533,632,64,814,23,1592,686,60,834,12
COKE ,1694,1391,2,290,11,0500000US48081,1685,1365,3,289,28,1705,1369,3,304,29,1662,1325,2,307,28,1694,1391,2,290,11
COLEMAN ,4479,3617,96,722,44,0500000US48083,4488,3578,94,738,78,4532,3605,95,754,78,4356,3442,89,741,84,4479,3617,96,722,44
COLLIN ,397978,255920,36745,56812,48501,0500000US48085,413452,256512,36583,60914,59443,420900,260388,37306,62395,60811,434988,261208,40150,68010,65620,397978,255920,36745,56812,48501
COLLINGSWORTH ,1559,997,70,464,28,0500000US48087,1560,975,72,474,39,1573,975,73,487,38,1504,912,67,480,45,1559,997,70,464,28
COLORADO ,10527,6403,1427,2621,76,0500000US48089,10535,6308,1380,2697,150,10595,6291,1388,2764,152,10776,6313,1419,2875,169,10527,6403,1427,2621,76
COMAL ,55218,39810,877,13742,789,0500000US48091,57119,40563,790,14337,1429,58579,41463,811,14836,1469,60135,42406,851,15275,1603,55218,39810,877,13742,789
COMANCHE ,7089,5275,14,1740,60,0500000US48093,7094,5182,13,1788,111,7128,5180,13,1826,109,7080,5102,13,1852,113,7089,5275,14,1740,60
CONCHO ,1294,888,4,390,12,0500000US48095,1290,878,5,390,17,1283,869,5,392,17,1288,870,5,397,16,1294,888,4,390,12
COOKE ,19381,15635,578,2811,357,0500000US48097,19497,15423,466,2928,680,19655,15493,471,3003,688,19771,15463,479,3128,701,19381,15635,578,2811,357
CORYELL ,38496,24315,6619,5915,1647,0500000US48099,38933,23879,5994,6148,2912,39506,24210,6066,6267,2963,39256,23770,5950,6491,3045,38496,24315,6619,5915,1647
COTTLE ,792,551,74,165,2,0500000US48101,807,560,73,171,3,806,556,75,172,3,778,539,63,170,6,792,551,74,165,2
CRANE ,2230,933,60,1207,30,0500000US48103,2243,909,59,1234,41,2293,920,61,1271,41,2408,958,67,1339,44,2230,933,60,1207,30
CROCKETT ,1888,666,4,1208,10,0500000US48105,1893,657,6,1213,17,1907,662,6,1222,17,1900,653,3,1227,17,1888,666,4,1208,10
CROSBY ,3142,1392,111,1624,15,0500000US48107,3148,1351,104,1662,31,3156,1336,103,1686,31,3092,1285,99,1678,30,3142,1392,111,1624,15
CULBERSON ,1231,251,3,961,16,0500000US48109,1219,232,2,958,27,1233,235,2,969,27,1222,237,3,959,23,1231,251,3,961,16
DALLAM ,3221,1858,40,1276,47,0500000US48111,3303,1850,40,1328,85,3399,1899,41,1375,84,3327,1828,40,1378,81,3221,1858,40,1276,47
DALLAS ,1197137,407769,286022,435884,67462,0500000US48113,1214103,392626,284136,453266,84075,1225727,392344,286253,461763,85367,1238272,376850,291432,479548,90442,1197137,407769,286022,435884,67462
DAWSON ,6018,2453,256,3269,40,0500000US48115,6022,2412,218,3314,78,6036,2402,214,3342,78,6010,2339,223,3364,84,6018,2453,256,3269,40
DEAF SMITH ,9720,3120,92,6429,79,0500000US48117,9818,3045,85,6556,132,9862,3014,86,6631,131,9643,2848,75,6590,130,9720,3120,92,6429,79
DELTA ,2668,2269,217,120,62,0500000US48119,2683,2224,209,122,128,2730,2255,215,127,133,2683,2239,203,122,119,2668,2269,217,120,62
DENTON ,336654,220546,30674,59790,25644,0500000US48121,348523,220979,29954,64010,33580,357546,226034,30758,66166,34588,366163,224722,32339,71529,37573,336654,220546,30674,59790,25644
DEWITT ,9650,5786,794,2964,106,0500000US48123,9865,5835,749,3092,189,,,,,,9828,5653,758,3221,196,9650,5786,794,2964,106
DICKENS ,1061,772,14,260,15,0500000US48125,1063,768,13,261,21,1076,774,14,267,21,1008,718,13,257,20,1061,772,14,260,15
DIMMIT ,5157,603,37,4478,39,0500000US48127,5383,615,38,4681,49,5466,624,38,4755,49,5658,647,40,4921,50,5157,603,37,4478,39
DONLEY ,1852,1589,94,152,17,0500000US48129,1858,1569,92,152,45,1876,1580,93,158,45,1829,1530,97,160,42,1852,1589,94,152,17
DUVAL ,5705,529,5,5145,26,0500000US48131,5709,516,4,5153,36,5795,517,4,5238,36,5618,503,6,5075,34,5705,529,5,5145,26
EASTLAND ,9512,7984,152,1293,83,0500000US48133,9483,7859,132,1330,162,9509,7866,132,1348,163,9566,7860,138,1399,169,9512,7984,152,1293,83
ECTOR ,69444,29084,3027,36374,959,0500000US48135,70453,28481,2853,37587,1532,72380,28964,2913,38928,1575,75374,29224,3047,41432,1671,69444,29084,3027,36374,959
EDWARDS ,981,476,3,494,8,0500000US48137,984,475,3,496,10,987,474,3,500,10,906,430,3,461,12,981,476,3,494,8
ELLIS ,75740,50667,7084,17004,985,0500000US48139,77499,50753,7023,17865,1858,78130,50972,7085,18187,1886,79148,50751,7245,19166,1986,75740,50667,7084,17004,985
EL PASO ,412771,50555,9648,346228,6340,0500000US48141,423191,49213,8841,356062,9075,429903,49718,9031,361916,9238,426367,47085,8814,360930,9538,412771,50555,9648,346228,6340
ERATH ,19285,15377,196,3496,216,0500000US48143,19617,15364,175,3668,410,19907,15530,178,3783,416,20232,15678,193,3922,439,19285,15377,196,3496,216
FALLS ,9372,4970,2568,1760,74,0500000US48145,9374,4874,2551,1801,148,9395,4853,2569,1823,150,9137,4704,2485,1797,151,9372,4970,2568,1760,74
FANNIN ,15927,13682,800,1216,229,0500000US48147,16065,13561,716,1277,511,16162,13602,726,1310,524,16218,13576,723,1382,537,15927,13682,800,1216,229
FAYETTE ,12473,9269,902,2218,84,0500000US48149,12860,9467,859,2350,184,12975,9511,866,2409,189,12561,9118,823,2435,185,12473,9269,902,2218,84
FISHER ,2016,1441,71,492,12,0500000US48151,1998,1412,69,491,26,1999,1406,70,497,26,1954,1364,65,501,24,2016,1441,71,492,12
FLOYD ,3270,1445,116,1694,15,0500000US48153,3266,1416,101,1721,28,3280,1400,101,1749,30,3163,1335,105,1695,28,3270,1445,116,1694,15
FOARD ,699,572,30,93,4,0500000US48155,704,573,28,98,5,706,572,28,101,5,674,535,33,101,5,699,572,30,93,4
FORT BEND ,298007,108519,66866,69684,52938,0500000US48157,309523,107933,67991,73649,59950,317979,110544,69748,75968,61719,332137,111261,73102,81287,66487,298007,108519,66866,69684,52938
FRANKLIN ,5390,4470,238,612,70,0500000US48159,5396,4404,205,630,157,5406,4401,206,640,159,5298,4256,206,679,157,5390,4470,238,612,70
FREESTONE ,9379,6771,1434,1103,71,0500000US48161,9468,6744,1434,1148,142,9542,6771,1441,1187,143,9504,6717,1434,1202,151,9379,6771,1434,1103,71
FRIO ,7185,1319,35,5771,60,0500000US48163,7364,1316,30,5927,91,7514,1330,30,6060,94,7573,1351,34,6105,83,7185,1319,35,5771,60
GAINES ,8728,5432,136,3119,41,0500000US48165,8902,5462,133,3201,106,9021,5515,134,3264,108,9386,5776,138,3358,114,8728,5432,136,3119,41
GALVESTON ,147075,87947,21407,32265,5456,0500000US48167,149412,87444,20794,33458,7716,151714,88552,21047,34239,7876,153659,88465,20965,35707,8522,147075,87947,21407,32265,5456
GARZA ,2369,1310,132,902,25,0500000US48169,2399,1312,123,922,42,2404,1302,126,933,43,2406,1295,120,951,40,2369,1310,132,902,25
GILLESPIE ,12869,10358,29,2369,113,0500000US48171,13044,10364,26,2471,183,13205,10423,26,2569,187,13306,10502,21,2588,195,12869,10358,29,2369,113
GLASSCOCK ,577,389,8,177,3,0500000US48173,584,395,7,180,2,586,396,7,181,2,591,398,6,183,4,577,389,8,177,3
GOLIAD ,3614,2200,165,1229,20,0500000US48175,3659,2208,169,1241,41,3711,2233,167,1270,41,3747,2230,158,1313,46,3614,2200,165,1229,20
GONZALES ,9848,4587,675,4505,81,0500000US48177,9974,4533,649,4652,140,10029,4519,646,4723,141,10026,4406,654,4807,159,9848,4587,675,4505,81
GRAY ,10832,7977,329,2394,132,0500000US48179,10917,7821,283,2517,296,10983,7821,284,2581,297,11034,7690,296,2743,305,10832,7977,329,2394,132
GRAYSON ,61960,49801,4011,6633,1515,0500000US48181,62350,48928,3625,6978,2819,62572,48916,3649,7150,2857,62948,48786,3585,7575,3002,61960,49801,4011,6633,1515
