county,births_2013,deaths_2013,rate_2013
Anderson,587,0,- 
Andrews,331,0,- 
Angelina,"1,240",1,0.8
Aransas,265,1,3.8
Archer,68,0,- 
Armstrong,26,0,- 
Atascosa,642,0,- 
Austin,330,0,- 
Bailey,112,0,- 
Bandera,158,0,- 
Bastrop,979,0,- 
Baylor,30,0,- 
Bee,395,0,- 
Bell,"6,358",3,0.5
Bexar,"26,804",11,0.4
Blanco,67,0,- 
Borden,10,0,- 
Bosque,200,0,- 
Bowie,"1,184",1,0.8
Brazoria,"4,675",5,1.1
Brazos,"2,635",0,- 
Brewster,115,0,- 
Briscoe,12,0,- 
Brooks,135,0,- 
Brown,418,0,- 
Burleson,177,2,11.3
Burnet,477,0,- 
Caldwell,461,0,- 
Calhoun,307,0,- 
Callahan,128,0,- 
Cameron,"7,380",3,0.4
Camp,208,0,- 
Carson,52,0,- 
Cass,369,0,- 
Castro,118,0,- 
Chambers,461,0,- 
Cherokee,772,1,1.3
Childress,70,0,- 
Clay,101,0,- 
Cochran,41,0,- 
Coke,30,0,- 
Coleman,87,0,- 
Collin,"10,596",2,0.2
Collingsworth,43,0,- 
Colorado,246,0,- 
Comal,"1,363",0,- 
Comanche,152,0,- 
Concho,19,0,- 
Cooke,527,0,- 
Coryell,"1,066",0,- 
Cottle,15,0,- 
Crane,81,0,- 
Crockett,50,0,- 
Crosby,65,0,- 
Culberson,32,0,- 
Dallam,141,0,- 
Dallas,"38,696",22,0.6
Dawson,189,0,- 
Deaf Smith,337,1,3.0
Delta,57,0,- 
Denton,"9,562",4,0.4
Dewitt,267,0,- 
Dickens,25,0,- 
Dimmit,195,0,- 
Donley,34,0,- 
Duval,154,0,- 
Eastland,209,0,- 
Ector,"2,915",1,0.3
Edwards,22,0,- 
Ellis,"2,060",0,- 
El Paso,"13,569",5,0.4
Erath,485,0,- 
Falls,203,0,- 
Fannin,326,0,- 
Fayette,245,0,- 
Fisher,29,0,- 
Floyd,81,0,- 
Foard,11,0,- 
Fort Bend,"8,532",4,0.5
Franklin,117,0,- 
Freestone,214,0,- 
Frio,263,0,- 
Gaines,394,0,- 
Galveston,"3,960",0,- 
Garza,65,0,- 
Gillespie,241,0,- 
Glasscock,13,0,- 
Goliad,61,0,- 
Gonzales,281,0,- 
Gray,343,1,2.9
