county,births_2011,deaths_2011,rate_2011
ANDERSON,611,1,1.6
ANDREWS,265,0,-
ANGELINA,"1,234",2,1.6
ARANSAS,230,0,-
ARCHER,62,0,-
ARMSTRONG,12,0,-
ATASCOSA,634,1,1.6
AUSTIN,335,0,-
BAILEY,132,0,-
BANDERA,159,0,-
BASTROP,820,0,-
BAYLOR,32,0,-
BEE,384,0,-
BELL,"6,217",0,-
BEXAR,"25,819",6,0.2
BLANCO,100,0,-
BORDEN,4,0,-
BOSQUE,175,0,-
BOWIE,"1,222",1,0.8
BRAZORIA,"4,377",3,0.7
BRAZOS,"2,564",0,-
BREWSTER,108,0,-
BRISCOE,22,0,-
BROOKS,150,0,-
BROWN,425,0,-
BURLESON,189,0,-
BURNET,465,0,-
CALDWELL,479,1,2.1
CALHOUN,276,0,-
CALLAHAN,113,0,-
CAMERON,"7,561",2,0.3
CAMP,150,0,-
CARSON,65,0,-
CASS,319,0,-
CASTRO,137,0,-
CHAMBERS,449,1,2.2
CHEROKEE,714,0,-
CHILDRESS,85,0,-
CLAY,73,0,-
COCHRAN,55,0,-
COKE,28,0,-
COLEMAN,96,0,-
COLLIN,"10,375",2,0.2
COLLINGSWORTH,54,0,-
COLORADO,241,0,-
COMAL,"1,258",0,-
COMANCHE,169,0,-
CONCHO,35,0,-
COOKE,487,0,-
CORYELL,"1,031",1,1
COTTLE,16,0,-
CRANE,60,0,-
CROCKETT,63,0,-
CROSBY,74,1,13.5
CULBERSON,26,0,-
DALLAM,136,0,-
DALLAS,"38,687",10,0.3
DAWSON,180,0,-
DEAF SMITH,349,1,2.9
DELTA,58,0,-
DENTON,"9,201",0,-
DEWITT,224,0,-
DICKENS,23,0,-
DIMMIT,171,0,-
DONLEY,26,0,-
DUVAL,184,0,-
EASTLAND,209,0,-
ECTOR,"2,447",0,-
EDWARDS,30,0,-
ELLIS,"1,949",1,0.5
EL PASO,"13,891",3,0.2
ERATH,497,0,-
FALLS,207,1,4.8
FANNIN,343,0,-
FAYETTE,251,0,-
FISHER,37,0,-
FLOYD,81,0,-
FOARD,13,0,-
FORT BEND,"7,718",1,0.1
FRANKLIN,114,0,-
FREESTONE,238,1,4.2
FRIO,235,0,-
GAINES,364,0,-
GALVESTON,"3,897",1,0.3
GARZA,68,0,-
GILLESPIE,233,0,-
GLASSCOCK,16,0,-
GOLIAD,57,0,-
GONZALES,278,1,3.6
GRAY,327,0,-
GRAYSON,"1,476",0,-
GREGG,"1,910",1,0.5
GRIMES,288,0,-
GUADALUPE,"1,619",0,-
HALE,561,0,-
HALL,40,0,-
HAMILTON,99,0,-
HANSFORD,78,0,-
HARDEMAN,41,1,24.4
HARDIN,655,1,1.5
HARRIS,"65,956",20,0.3
HARRISON,884,0,-
HARTLEY,53,0,-
HASKELL,54,0,-
HAYS,"2,057",0,-
HEMPHILL,69,0,-
HENDERSON,921,0,-
HIDALGO,"16,101",3,0.2
HILL,439,0,-
HOCKLEY,313,1,3.2
HOOD,541,0,-
HOPKINS,485,0,-
HOUSTON,212,0,-
HOWARD,390,0,-
HUDSPETH,55,0,-
HUNT,"1,073",1,0.9
HUTCHINSON,317,0,-
IRION,18,0,-
JACK,105,0,-
JACKSON,179,0,-
JASPER,468,0,-
JEFF DAVIS,23,0,-
JEFFERSON,"3,436",1,0.3
JIM HOGG,93,0,-
JIM WELLS,626,0,-
JOHNSON,"1,924",4,2.1
JONES,163,0,-
KARNES,148,0,-
KAUFMAN,"1,367",0,-
KENDALL,324,0,-
KENEDY,3,0,-
KENT,5,0,-
KERR,474,0,-
KIMBLE,40,0,-
KING,6,0,-
KINNEY,38,0,-
KLEBERG,473,1,2.1
KNOX,48,0,-
LAMAR,667,0,-
LAMB,217,0,-
LAMPASAS,227,0,-
LA SALLE,95,0,-
LAVACA,213,0,-
LEE,179,0,-
LEON,195,1,5.1
LIBERTY,985,0,-
LIMESTONE,312,0,-
LIPSCOMB,44,0,-
LIVE OAK,123,0,-
LLANO,141,0,-
LOVING,0,0,-
LUBBOCK,"3,881",0,-
LYNN,80,0,-
MCCULLOCH,107,1,9.3
MCLENNAN,"3,442",2,0.6
MCMULLEN,10,0,-
MADISON,142,0,-
MARION,91,0,-
MARTIN,75,0,-
MASON,40,0,-
MATAGORDA,531,0,-
MAVERICK,"1,042",0,-
MEDINA,498,0,-
MENARD,14,0,-
MIDLAND,"2,309",0,-
MILAM,306,0,-
MILLS,41,0,-
MITCHELL,107,0,-
MONTAGUE,216,0,-
MONTGOMERY,"6,358",4,0.6
MOORE,401,1,2.5
MORRIS,161,0,-
MOTLEY,7,0,-
NACOGDOCHES,913,0,-
NAVARRO,672,0,-
NEWTON,150,0,-
NOLAN,186,0,-
NUECES,"4,635",0,-
OCHILTREE,184,0,-
OLDHAM,20,0,-
ORANGE,"1,019",0,-
PALO PINTO,368,1,2.7
PANOLA,338,0,-
PARKER,"1,297",0,-
PARMER,167,0,-
PECOS,230,0,-
POLK,478,0,-
POTTER,"2,026",0,-
PRESIDIO,109,0,-
RAINS,100,0,-
RANDALL,"1,649",0,-
REAGAN,50,0,-
REAL,34,0,-
RED RIVER,124,0,-
REEVES,155,0,-
REFUGIO,94,0,-
ROBERTS,12,0,-
ROBERTSON,215,0,-
ROCKWALL,972,1,1
RUNNELS,129,0,-
RUSK,658,1,1.5
SABINE,90,0,-
SAN AUGUSTINE,110,0,-
SAN JACINTO,262,1,3.8
SAN PATRICIO,902,1,1.1
SAN SABA,72,0,-
SCHLEICHER,33,0,-
SCURRY,246,0,-
SHACKELFORD,30,0,-
SHELBY,338,0,-
SHERMAN,49,0,-
SMITH,"2,956",2,0.7
SOMERVELL,71,0,-
STARR,"1,359",0,-
STEPHENS,97,0,-
STERLING,7,0,-
STONEWALL,11,0,-
SUTTON,56,0,-
SWISHER,127,0,-
TARRANT,"27,338",11,0.4
TAYLOR,"2,039",0,-
TERRELL,13,0,-
TERRY,192,1,5.2
THROCKMORTON,11,0,-
TITUS,493,0,-
TOM GREEN,"1,534",0,-
TRAVIS,"15,494",0,-
TRINITY,139,0,-
TYLER,208,0,-
UPSHUR,474,0,-
UPTON,52,0,-
UVALDE,401,0,-
VAL VERDE,865,0,-
VAN ZANDT,535,1,1.9
VICTORIA,"1,225",0,-
WALKER,601,0,-
WALLER,539,1,1.9
WARD,163,0,-
WASHINGTON,420,1,2.4
WEBB,"5,443",0,-
WHARTON,544,1,1.8
WHEELER,60,0,-
WICHITA,"1,835",1,0.5
WILBARGER,172,0,-
WILLACY,299,0,-
WILLIAMSON,"5,976",5,0.8
WILSON,468,0,-
WINKLER,107,0,-
WISE,719,2,2.8
WOOD,389,0,-
YOAKUM,134,0,-
YOUNG,218,0,-
ZAPATA,296,0,-
ZAVALA,198,0,-
