county,births_2012,deaths_2012,rate_2012
Anderson,564,0,- 
Andrews,317,0,- 
Angelina,"1,193",1,0.8
Aransas,241,1,4.1
Archer,75,0,- 
Armstrong,30,0,- 
Atascosa,644,0,- 
Austin,348,0,- 
Bailey,116,0,- 
Bandera,164,0,- 
Bastrop,844,0,- 
Baylor,48,0,- 
Bee,360,0,- 
Bell,"6,215",2,0.3
Bexar,"26,277",10,0.4
Blanco,90,0,- 
Borden,6,0,- 
Bosque,185,0,- 
Bowie,"1,256",0,- 
Brazoria,"4,610",1,0.2
Brazos,"2,596",1,0.4
Brewster,114,0,- 
Briscoe,9,0,- 
Brooks,112,0,- 
Brown,422,0,- 
Burleson,200,0,- 
Burnet,449,0,- 
Caldwell,466,0,- 
Calhoun,261,0,- 
Callahan,137,0,- 
Cameron,"7,358",1,0.1
Camp,189,0,- 
Carson,65,0,- 
Cass,348,0,- 
Castro,138,0,- 
Chambers,459,0,- 
Cherokee,722,0,- 
Childress,69,1,14.5
Clay,95,0,- 
Cochran,49,0,- 
Coke,29,0,- 
Coleman,97,0,- 
Collin,"10,342",0,- 
Collingsworth,41,0,- 
Colorado,237,0,- 
Comal,"1,309",0,- 
Comanche,155,0,- 
Concho,23,0,- 
Cooke,564,0,- 
Coryell,918,0,- 
Cottle,9,0,- 
Crane,81,0,- 
Crockett,54,0,- 
Crosby,71,0,- 
Culberson,30,0,- 
Dallam,147,0,- 
Dallas,"38,769",13,0.3
Dawson,190,0,- 
Deaf Smith,355,0,- 
Delta,61,0,- 
Denton,"9,330",1,0.1
Dewitt,257,0,- 
Dickens,18,0,- 
Dimmit,196,0,- 
Donley,39,0,- 
Duval,177,0,- 
Eastland,160,0,- 
Ector,"2,755",1,0.4
Edwards,20,0,- 
Ellis,"1,839",0,- 
El Paso,"13,871",3,0.2
Erath,491,0,- 
Falls,202,0,- 
Fannin,323,0,- 
Fayette,218,0,- 
Fisher,32,0,- 
Floyd,90,0,- 
Foard,18,0,- 
Fort Bend,"8,136",3,0.4
Franklin,95,0,- 
Freestone,235,0,- 
Frio,256,0,- 
Gaines,348,0,- 
Galveston,"3,895",2,0.5
Garza,50,0,- 
Gillespie,245,0,- 
Glasscock,12,0,- 
Goliad,68,0,- 
Gonzales,271,0,- 
Gray,346,0,- 
Grayson,"1,500",0,- 
Gregg,"1,939",0,- 
Grimes,292,0,- 
Guadalupe,"1,763",0,- 
Hale,537,0,- 
Hall,33,0,- 
Hamilton,96,0,- 
Hansford,76,0,- 
Hardeman,40,0,- 
Hardin,700,0,- 
Harris,"67,354",24,0.4
Harrison,823,0,- 
Hartley,64,0,- 
Haskell,45,0,- 
Hays,"2,050",0,- 
Hemphill,67,0,- 
Henderson,886,0,- 
Hidalgo,"16,301",4,0.2
Hill,413,0,- 
Hockley,368,1,2.7
Hood,570,2,3.5
Hopkins,458,0,- 
Houston,254,2,7.9
Howard,460,1,2.2
Hudspeth,44,0,- 
Hunt,"1,060",0,- 
Hutchinson,311,0,- 
Irion,16,0,- 
Jack,89,0,- 
Jackson,198,1,5.1
Jasper,430,2,4.7
Jeff Davis,11,0,- 
Jefferson,"3,430",2,0.6
Jim Hogg,93,0,- 
Jim Wells,619,1,1.6
Johnson,"1,944",0,- 
Jones,185,1,5.4
Karnes,166,0,- 
Kaufman,"1,453",0,- 
Kendall,341,0,- 
Kenedy,6,0,- 
Kent,9,0,- 
Kerr,494,0,- 
Kimble,43,0,- 
King,1,0,- 
Kinney,35,0,- 
Kleberg,481,0,- 
Knox,53,0,- 
Lamar,647,0,- 
Lamb,179,0,- 
Lampasas,216,0,- 
La Salle,103,0,- 
Lavaca,237,0,- 
Lee,197,0,- 
Leon,238,0,- 
Liberty,"1,052",1,1
Limestone,321,1,3.1
Lipscomb,35,0,- 
Live Oak,130,0,- 
Llano,161,0,- 
Loving,0,0,- 
Lubbock,"3,927",0,- 
Lynn,80,0,- 
Mcculloch,97,0,- 
Mclennan,"3,398",5,1.5
Mcmullen,7,0,- 
Madison,160,0,- 
Marion,110,0,- 
Martin,87,0,- 
Mason,41,0,- 
Matagorda,498,1,2
Maverick,"1,101",0,- 
Medina,503,1,2
Menard,21,0,- 
Midland,"2,510",0,- 
Milam,312,0,- 
Mills,38,0,- 
Mitchell,102,0,- 
Montague,233,0,- 
Montgomery,"6,382",1,0.2
Moore,414,0,- 
Morris,165,0,- 
Motley,11,0,- 
Nacogdoches,897,0,- 
Navarro,706,0,- 
Newton,138,1,7.2
Nolan,190,0,- 
Nueces,"4,810",2,0.4
Ochiltree,168,0,- 
Oldham,18,0,- 
Orange,"1,103",0,- 
Palo Pinto,378,0,- 
Panola,279,0,- 
Parker,"1,345",1,0.7
Parmer,150,0,- 
Pecos,207,0,- 
Polk,495,0,- 
Potter,"2,101",0,- 
Presidio,106,0,- 
Rains,112,0,- 
Randall,"1,618",0,- 
Reagan,51,0,- 
Real,31,0,- 
Red River,130,1,7.7
Reeves,164,0,- 
Refugio,87,0,- 
Roberts,8,0,- 
Robertson,194,0,- 
Rockwall,966,0,- 
Runnels,99,0,- 
Rusk,700,0,- 
Sabine,83,0,- 
San Augustine,113,0,- 
San Jacinto,273,0,- 
San Patricio,926,2,2.2
San Saba,75,0,- 
Schleicher,40,0,- 
Scurry,270,0,- 
Shackelford,42,0,- 
Shelby,370,0,- 
Sherman,35,0,- 
Smith,"2,992",1,0.3
Somervell,94,0,- 
Starr,"1,346",0,- 
Stephens,99,0,- 
Sterling,12,0,- 
Stonewall,12,0,- 
Sutton,54,0,- 
Swisher,96,0,- 
Tarrant,"27,671",10,0.4
Taylor,"2,089",0,- 
Terrell,12,0,- 
Terry,197,0,- 
Throckmorton,16,0,- 
Titus,502,0,- 
Tom Green,"1,491",1,0.7
Travis,"15,826",4,0.3
Trinity,110,0,- 
Tyler,240,1,4.2
Upshur,463,0,- 
Upton,52,0,- 
Uvalde,372,0,- 
Val Verde,865,0,- 
Van Zandt,581,0,- 
Victoria,"1,292",0,- 
Walker,579,1,1.7
Waller,579,0,- 
Ward,170,0,- 
Washington,396,0,- 
Webb,"5,432",0,- 
Wharton,540,1,1.9
Wheeler,72,0,- 
Wichita,"1,766",2,1.1
Wilbarger,170,0,- 
Willacy,328,0,- 
Williamson,"6,135",0,- 
Wilson,497,0,- 
Winkler,132,0,- 
Wise,763,1,1.3
Wood,415,0,- 
Yoakum,128,0,- 
Young,246,0,- 
Zapata,283,0,- 
Zavala,215,0,- 
