County ,Total,"Total 
Male",Total Female,White Male,White Female,"Black 
Male",Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts ,953,490,463,438,427,0,0,42,31,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson ,"17,209","8,518","8,691","5,005","5,024","1,712","1,950","1,644","1,567",157,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwall ,"82,980","40,911","42,069","29,792","31,036","2,333","2,401","7,009","6,685","1,777","1,947",,,,,,,,,,,,,,,,,,,,,,,,,,
Runnels ,"10,670","5,294","5,376","3,363","3,509",88,74,"1,781","1,719",62,74,,,,,,,,,,,,,,,,,,,,,,,,,,
Rusk ,"54,224","28,583","25,641","18,031","17,335","5,311","4,144","4,657","3,560",584,602,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabine ,"11,001","5,395","5,606","4,694","4,919",404,392,179,177,118,118,,,,,,,,,,,,,,,,,,,,,,,,,,
San Augustine ,"9,050","4,464","4,586","3,118","3,138",988,"1,093",293,275,65,80,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jacinto ,"27,151","13,566","13,585","10,247","10,364","1,391","1,382","1,581","1,526",347,313,,,,,,,,,,,,,,,,,,,,,,,,,,
San Patricio ,"65,236","32,437","32,799","13,531","13,490",493,410,"17,783","18,161",630,738,,,,,,,,,,,,,,,,,,,,,,,,,,
San Saba ,"6,285","3,436","2,849","2,166","2,017",183,13,"1,047",762,40,57,,,,,,,,,,,,,,,,,,,,,,,,,,
Schleicher ,"3,523","1,759","1,764",940,945,17,15,797,791,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Scurry ,"17,271","9,216","8,055","5,006","4,792",566,206,"3,537","2,931",107,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Shackelford ,"3,411","1,660","1,751","1,441","1,543",10,5,182,166,27,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby ,"25,858","12,812","13,046","8,114","8,412","2,116","2,375","2,398","2,058",184,201,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman ,"3,098","1,595","1,503",893,868,7,2,670,617,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith ,"216,097","104,751","111,346","63,452","68,276","17,716","20,536","20,386","18,996","3,197","3,538",,,,,,,,,,,,,,,,,,,,,,,,,,
Somervell ,"8,789","4,322","4,467","3,333","3,462",33,27,857,852,99,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Starr ,"62,466","30,189","32,277","1,214","1,251",13,2,"28,875","30,940",87,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephens ,"9,693","5,000","4,693","3,630","3,627",134,66,"1,156",945,80,55,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling ,"1,168",593,575,368,378,13,3,193,183,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonewall ,"1,512",729,783,587,629,24,17,102,117,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton ,"4,198","2,077","2,121",804,848,6,0,"1,250","1,262",17,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Swisher ,"7,878","4,155","3,723","1,972","1,965",380,168,"1,743","1,519",60,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrant ,"1,876,624","921,152","955,472","462,147","485,096","129,216","146,215","263,527","254,467","66,262","69,694",,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor ,"133,744","65,210","68,534","42,567","45,582","4,849","4,543","15,178","15,468","2,616","2,941",,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell ,990,521,469,258,233,7,1,245,229,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry ,"12,826","6,819","6,007","2,932","2,763",375,185,"3,436","2,998",76,61,,,,,,,,,,,,,,,,,,,,,,,,,,
Throckmorton ,"1,657",820,837,735,726,2,8,72,89,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Titus ,"32,922","16,319","16,603","7,592","8,102","1,426","1,595","6,993","6,548",308,358,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Green ,"111,983","54,883","57,100","31,162","32,626","2,153","1,898","20,037","20,855","1,531","1,721",,,,,,,,,,,,,,,,,,,,,,,,,,
Travis ,"1,072,138","541,152","530,986","268,786","264,613","41,304","44,165","187,791","177,996","43,271","44,212",,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity ,"14,734","7,174","7,560","5,776","6,124",644,751,638,528,116,157,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler ,"22,113","11,951","10,162","8,893","8,846","1,588",827,"1,259",288,211,201,,,,,,,,,,,,,,,,,,,,,,,,,,
Upshur ,"40,252","19,941","20,311","16,216","16,560","1,682","1,813","1,494","1,371",549,567,,,,,,,,,,,,,,,,,,,,,,,,,,
Upton ,"3,409","1,711","1,698",818,792,19,27,849,855,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalde ,"26,726","13,054","13,672","3,680","3,879",71,40,"9,140","9,575",163,178,,,,,,,,,,,,,,,,,,,,,,,,,,
Val Verde ,"49,859","25,024","24,835","4,687","3,891",348,235,"19,693","20,414",296,295,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Zandt ,"53,525","26,381","27,144","22,181","23,413",719,712,"2,835","2,360",646,659,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria ,"88,905","43,351","45,554","20,116","21,581","2,564","2,735","19,696","20,191",975,"1,047",,,,,,,,,,,,,,,,,,,,,,,,,,
Walker ,"68,827","40,466","28,361","22,407","17,529","9,837","5,426","7,306","4,508",916,898,,,,,,,,,,,,,,,,,,,,,,,,,,
Waller ,"44,547","22,071","22,476","9,537","9,926","4,919","5,832","7,171","6,260",444,458,,,,,,,,,,,,,,,,,,,,,,,,,,
Ward ,"10,874","5,234","5,640","2,331","2,625",251,237,"2,555","2,678",97,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington ,"34,369","16,966","17,403","10,929","11,506","2,959","3,081","2,664","2,369",414,447,,,,,,,,,,,,,,,,,,,,,,,,,,
Webb ,"262,107","127,524","134,583","4,716","3,788",340,152,"121,501","129,689",967,954,,,,,,,,,,,,,,,,,,,,,,,,,,
Wharton ,"41,475","20,457","21,018","9,339","10,033","2,705","2,950","8,158","7,788",255,247,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeler ,"5,608","2,764","2,844","1,915","2,011",55,70,749,702,45,61,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita ,"131,914","67,701","64,213","44,791","44,185","7,325","6,122","12,327","10,545","3,258","3,361",,,,,,,,,,,,,,,,,,,,,,,,,,
Wilbarger ,"13,560","6,758","6,802","4,155","4,309",561,500,"1,841","1,787",201,206,,,,,,,,,,,,,,,,,,,,,,,,,,
Willacy ,"22,201","12,057","10,144","1,189",992,342,40,"10,375","9,047",151,65,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamson ,"450,627","221,863","228,764","138,688","144,144","13,072","13,536","54,000","53,696","16,103","17,388",,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson ,"45,472","22,640","22,832","13,245","13,276",356,318,"8,708","8,851",331,387,,,,,,,,,,,,,,,,,,,,,,,,,,
Winkler ,"7,189","3,600","3,589","1,475","1,512",64,67,"1,986","1,953",75,57,,,,,,,,,,,,,,,,,,,,,,,,,,
Wise ,"60,848","30,660","30,188","23,851","24,035",405,186,"5,744","5,243",660,724,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood ,"42,312","20,824","21,488","17,386","18,308",990,975,"2,036","1,756",412,449,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoakum ,"8,043","3,990","4,053","1,487","1,570",24,29,"2,425","2,395",54,59,,,,,,,,,,,,,,,,,,,,,,,,,,
Young ,"18,883","9,334","9,549","7,292","7,764",120,102,"1,774","1,497",148,186,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapata ,"14,492","7,257","7,235",442,395,6,4,"6,785","6,792",24,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Zavala ,"11,983","5,901","6,082",326,331,20,13,"5,542","5,720",13,18,,,,,,,,,,,,,,,,,,,,,,,,,,
"* 2012 population data for Texas produced by the Texas State Data Center from the Census 2012 Summary Files, accessed January 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated on 1/13/2017 to reflect accurate county population totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012 Annual Report List of Tables and References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Reports for Other Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Health Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End of Worksheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
