County ,Total,"Total 
Male",Total Female,White Male,White Female,"Black 
Male",Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Comal ,"115,084","56,505","58,579","40,032","41,463",936,811,"14,298","14,836","1,239","1,469",,,,,,,,,,,,,,,,,,,,,,,,,,
Comanche ,"14,060","6,932","7,128","4,889","5,180",9,13,"1,952","1,826",82,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Concho ,"4,116","2,833","1,283",921,869,55,5,"1,831",392,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooke ,"38,981","19,326","19,655","14,833","15,493",562,471,"3,391","3,003",540,688,,,,,,,,,,,,,,,,,,,,,,,,,,
Coryell ,"77,462","37,956","39,506","23,402","24,210","5,549","6,066","6,414","6,267","2,591","2,963",,,,,,,,,,,,,,,,,,,,,,,,,,
Cottle ,"1,522",716,806,491,556,57,75,157,172,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Crane ,"4,497","2,204","2,293",844,920,63,61,"1,256","1,271",41,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett ,"3,758","1,851","1,907",654,662,8,6,"1,165","1,222",24,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosby ,"6,088","2,932","3,156","1,210","1,336",92,103,"1,596","1,686",34,31,,,,,,,,,,,,,,,,,,,,,,,,,,
Culberson ,"2,418","1,185","1,233",263,235,4,2,880,969,38,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallam ,"7,051","3,652","3,399","1,959","1,899",45,41,"1,542","1,375",106,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas ,"2,427,813","1,202,086","1,225,727","376,111","392,344","246,238","286,253","496,656","461,763","83,081","85,367",,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson ,"13,888","7,852","6,036","2,929","2,402",630,214,"4,186","3,342",107,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Deaf Smith ,"19,662","9,800","9,862","2,789","3,014",72,86,"6,834","6,631",105,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta ,"5,307","2,577","2,730","2,142","2,255",176,215,168,127,91,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Denton ,"704,530","346,984","357,546","219,076","226,034","27,748","30,758","67,562","66,166","32,598","34,588",,,,,,,,,,,,,,,,,,,,,,,,,,
Dewitt ,"21,019","10,949","10,070","5,898","5,917","1,088",759,"3,809","3,198",154,196,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickens ,"2,469","1,393","1,076",816,774,83,14,460,267,34,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimmit ,"10,655","5,189","5,466",671,624,48,38,"4,436","4,755",34,49,,,,,,,,,,,,,,,,,,,,,,,,,,
Donley ,"3,724","1,848","1,876","1,582","1,580",71,93,165,158,30,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Duval ,"11,979","6,184","5,795",699,517,82,4,"5,370","5,238",33,36,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastland ,"18,588","9,079","9,509","7,275","7,866",192,132,"1,441","1,348",171,163,,,,,,,,,,,,,,,,,,,,,,,,,,
Ector ,"143,141","70,761","72,380","27,815","28,964","2,900","2,913","38,528","38,928","1,518","1,575",,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards ,"2,024","1,037",987,472,474,10,3,547,500,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis ,"154,522","76,392","78,130","48,729","50,972","6,630","7,085","19,385","18,187","1,648","1,886",,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso ,"834,869","404,966","429,903","56,536","49,718","12,394","9,031","327,458","361,916","8,578","9,238",,,,,,,,,,,,,,,,,,,,,,,,,,
Erath ,"39,208","19,301","19,907","14,522","15,530",272,178,"4,072","3,783",435,416,,,,,,,,,,,,,,,,,,,,,,,,,,
Falls ,"17,941","8,546","9,395","4,405","4,853","1,959","2,569","2,016","1,823",166,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannin ,"34,421","18,259","16,162","14,044","13,602","1,584",726,"2,122","1,310",509,524,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette ,"25,656","12,681","12,975","9,119","9,511",793,866,"2,606","2,409",163,189,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher ,"3,953","1,954","1,999","1,344","1,406",56,70,525,497,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd ,"6,463","3,183","3,280","1,266","1,400",104,101,"1,791","1,749",22,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Foard ,"1,349",643,706,514,572,23,28,102,101,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Bend ,"624,831","306,852","317,979","109,812","110,544","61,841","69,748","75,586","75,968","59,613","61,719",,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin ,"10,654","5,248","5,406","4,176","4,401",204,206,761,640,107,159,,,,,,,,,,,,,,,,,,,,,,,,,,
