Year,Area Code,Area Name,Age,Total Pop,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Hispanic Total,Hispanic Male,Hispanic Female,Other Total,Other Male,Other Female
2011,401,Rusk,All (0-85+),"53,806","28,367","25,439","35,212","17,944","17,268","9,412","5,292","4,120","8,008","4,552","3,456","1,174",579,595
2011,403,Sabine,All (0-85+),"10,929","5,357","5,572","9,564","4,669","4,895",787,396,391,351,179,172,227,113,114
2011,405,San Augustine,All (0-85+),"8,909","4,396","4,513","6,185","3,084","3,101","2,040",966,"1,074",544,282,262,140,64,76
2011,407,San Jacinto,All (0-85+),"26,785","13,394","13,391","20,373","10,132","10,241","2,738","1,376","1,362","3,028","1,547","1,481",646,339,307
2011,409,San Patricio,All (0-85+),"64,974","32,274","32,700","27,066","13,545","13,521",903,490,413,"35,647","17,611","18,036","1,358",628,730
2011,411,San Saba,All (0-85+),"6,176","3,388","2,788","4,136","2,142","1,994",194,181,13,"1,752","1,026",726,94,39,55
2011,413,Schleicher,All (0-85+),"3,472","1,730","1,742","1,864",925,939,32,17,15,"1,558",783,775,18,5,13
2011,415,Scurry,All (0-85+),"16,983","9,062","7,921","9,691","4,950","4,741",762,562,200,"6,300","3,445","2,855",230,105,125
2011,417,Shackelford,All (0-85+),"3,383","1,644","1,739","2,963","1,428","1,535",16,10,6,340,179,161,64,27,37
2011,419,Shelby,All (0-85+),"25,787","12,783","13,004","16,587","8,152","8,435","4,483","2,112","2,371","4,365","2,352","2,013",352,167,185
2011,421,Sherman,All (0-85+),"3,067","1,578","1,489","1,758",890,868,9,7,2,"1,262",658,604,38,23,15
2011,423,Smith,All (0-85+),"213,578","103,474","110,104","130,907","63,042","67,865","37,783","17,480","20,303","38,293","19,821","18,472","6,595","3,131","3,464"
2011,425,Somervell,All (0-85+),"8,618","4,240","4,378","6,676","3,278","3,398",57,31,26,"1,667",837,830,218,94,124
2011,427,Starr,All (0-85+),"61,804","29,863","31,941","2,476","1,221","1,255",16,14,2,"59,142","28,541","30,601",170,87,83
2011,429,Stephens,All (0-85+),"9,627","4,970","4,657","7,245","3,627","3,618",200,134,66,"2,050","1,130",920,132,79,53
2011,431,Sterling,All (0-85+),"1,158",591,567,744,370,374,16,13,3,368,189,179,30,19,11
2011,433,Stonewall,All (0-85+),"1,475",710,765,"1,190",574,616,38,22,16,213,100,113,34,14,20
2011,435,Sutton,All (0-85+),"4,151","2,046","2,105","1,636",790,846,6,6,0,"2,481","1,233","1,248",28,17,11
2011,437,Swisher,All (0-85+),"7,860","4,152","3,708","3,970","1,989","1,981",547,381,166,"3,213","1,722","1,491",130,60,70
2011,439,Tarrant,All (0-85+),"1,848,382","906,843","941,539","938,158","457,462","480,696","270,902","126,934","143,968","505,822","257,387","248,435","133,500","65,060","68,440"
2011,441,Taylor,All (0-85+),"132,380","64,491","67,889","87,568","42,238","45,330","9,261","4,784","4,477","30,076","14,895","15,181","5,475","2,574","2,901"
2011,443,Terrell,All (0-85+),983,517,466,490,257,233,8,7,1,468,243,225,17,10,7
2011,445,Terry,All (0-85+),"12,746","6,782","5,964","5,714","2,943","2,771",563,376,187,"6,335","3,388","2,947",134,75,59
2011,447,Throckmorton,All (0-85+),"1,623",803,820,"1,433",720,713,10,2,8,155,70,85,25,11,14
2011,449,Titus,All (0-85+),"32,680","16,183","16,497","15,746","7,604","8,142","3,021","1,423","1,598","13,258","6,853","6,405",655,303,352
2011,451,Tom Green,All (0-85+),"111,001","54,395","56,606","63,489","30,996","32,493","4,030","2,146","1,884","40,266","19,740","20,526","3,216","1,513","1,703"
2011,453,Travis,All (0-85+),"1,049,785","529,779","520,006","525,004","264,491","260,513","83,923","40,539","43,384","355,596","182,607","172,989","85,262","42,142","43,120"
2011,455,Trinity,All (0-85+),"14,667","7,143","7,524","11,866","5,760","6,106","1,390",642,748,"1,144",629,515,267,112,155
2011,457,Tyler,All (0-85+),"21,882","11,810","10,072","17,569","8,804","8,765","2,393","1,567",826,"1,517","1,235",282,403,204,199
2011,459,Upshur,All (0-85+),"39,851","19,745","20,106","32,498","16,087","16,411","3,470","1,665","1,805","2,789","1,457","1,332","1,094",536,558
2011,461,Upton,All (0-85+),"3,366","1,681","1,685","1,604",811,793,46,19,27,"1,667",826,841,49,25,24
2011,463,Uvalde,All (0-85+),"26,466","12,944","13,522","7,571","3,691","3,880",108,69,39,"18,453","9,023","9,430",334,161,173
2011,465,Val Verde,All (0-85+),"49,216","24,710","24,506","8,508","4,658","3,850",573,341,232,"39,551","19,421","20,130",584,290,294
2011,467,Van Zandt,All (0-85+),"52,814","26,016","26,798","45,089","21,922","23,167","1,408",706,702,"5,044","2,760","2,284","1,273",628,645
2011,469,Victoria,All (0-85+),"87,393","42,635","44,758","41,226","19,916","21,310","5,235","2,525","2,710","38,950","19,239","19,711","1,982",955,"1,027"
2011,471,Walker,All (0-85+),"68,220","40,172","28,048","39,677","22,288","17,389","15,139","9,767","5,372","11,622","7,213","4,409","1,782",904,878
2011,473,Waller,All (0-85+),"43,886","21,753","22,133","19,288","9,457","9,831","10,614","4,862","5,752","13,099","7,000","6,099",885,434,451
2011,475,Ward,All (0-85+),"10,804","5,219","5,585","4,945","2,335","2,610",481,247,234,"5,184","2,541","2,643",194,96,98
2011,477,Washington,All (0-85+),"33,999","16,762","17,237","22,327","10,852","11,475","5,960","2,919","3,041","4,872","2,586","2,286",840,405,435
2011,479,Webb,All (0-85+),"259,539","126,170","133,369","8,479","4,707","3,772",492,341,151,"248,651","120,156","128,495","1,917",966,951
2011,481,Wharton,All (0-85+),"41,293","20,341","20,952","19,411","9,350","10,061","5,651","2,694","2,957","15,733","8,044","7,689",498,253,245
2011,483,Wheeler,All (0-85+),"5,471","2,695","2,776","3,852","1,875","1,977",121,53,68,"1,394",724,670,104,43,61
2011,485,Wichita,All (0-85+),"131,595","67,516","64,079","89,068","44,778","44,290","13,397","7,321","6,076","22,569","12,184","10,385","6,561","3,233","3,328"
2011,487,Wilbarger,All (0-85+),"13,506","6,731","6,775","8,475","4,162","4,313","1,059",561,498,"3,572","1,809","1,763",400,199,201
2011,489,Willacy,All (0-85+),"22,191","12,062","10,129","2,205","1,206",999,383,343,40,"19,388","10,363","9,025",215,150,65
2011,491,Williamson,All (0-85+),"440,932","216,957","223,975","277,549","136,019","141,530","26,066","12,795","13,271","104,802","52,531","52,271","32,515","15,612","16,903"
2011,493,Wilson,All (0-85+),"44,538","22,185","22,353","26,030","13,007","13,023",666,354,312,"17,146","8,502","8,644",696,322,374
2011,495,Winkler,All (0-85+),"7,139","3,572","3,567","3,002","1,481","1,521",129,63,66,"3,876","1,953","1,923",132,75,57
2011,497,Wise,All (0-85+),"60,379","30,447","29,932","47,654","23,761","23,893",586,402,184,"10,773","5,630","5,143","1,366",654,712
2011,499,Wood,All (0-85+),"42,141","20,748","21,393","35,644","17,378","18,266","1,964",986,978,"3,686","1,980","1,706",847,404,443
2011,501,Yoakum,All (0-85+),"7,947","3,942","4,005","3,053","1,489","1,564",53,24,29,"4,730","2,376","2,354",111,53,58
2011,503,Young,All (0-85+),"18,633","9,205","9,428","14,915","7,214","7,701",217,118,99,"3,174","1,727","1,447",327,146,181
2011,505,Zapata,All (0-85+),"14,245","7,147","7,098",842,448,394,10,6,4,"13,326","6,669","6,657",67,24,43
2011,507,Zavala,All (0-85+),"11,794","5,818","5,976",652,324,328,32,19,13,"11,080","5,463","5,617",30,12,18
