Year,Area Code,Area Name,Age,Total Pop,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Hispanic Total,Hispanic Male,Hispanic Female,Other Total,Other Male,Other Female
2011,91,Comal,All (0-85+),"112,171","55,052","57,119","79,707","39,144","40,563","1,698",908,790,"28,134","13,797","14,337","2,632","1,203","1,429"
2011,93,Comanche,All (0-85+),"13,983","6,889","7,094","10,064","4,882","5,182",22,9,13,"3,705","1,917","1,788",192,81,111
2011,95,Concho,All (0-85+),"4,138","2,848","1,290","1,811",933,878,60,55,5,"2,224","1,834",390,43,26,17
2011,97,Cooke,All (0-85+),"38,675","19,178","19,497","30,201","14,778","15,423","1,022",556,466,"6,243","3,315","2,928","1,209",529,680
2011,99,Coryell,All (0-85+),"76,313","37,380","38,933","46,968","23,089","23,879","11,468","5,474","5,994","12,434","6,286","6,148","5,443","2,531","2,912"
2011,101,Cottle,All (0-85+),"1,518",711,807,"1,051",491,560,129,56,73,324,153,171,14,11,3
2011,103,Crane,All (0-85+),"4,409","2,166","2,243","1,747",838,909,123,64,59,"2,458","1,224","1,234",81,40,41
2011,105,Crockett,All (0-85+),"3,734","1,841","1,893","1,313",656,657,14,8,6,"2,366","1,153","1,213",41,24,17
2011,107,Crosby,All (0-85+),"6,078","2,930","3,148","2,573","1,222","1,351",197,93,104,"3,244","1,582","1,662",64,33,31
2011,109,Culberson,All (0-85+),"2,393","1,174","1,219",497,265,232,6,4,2,"1,826",868,958,64,37,27
2011,111,Dallam,All (0-85+),"6,868","3,565","3,303","3,777","1,927","1,850",84,44,40,"2,822","1,494","1,328",185,100,85
2011,113,Dallas,All (0-85+),"2,403,579","1,189,476","1,214,103","768,545","375,919","392,626","528,032","243,896","284,136","941,208","487,942","453,266","165,794","81,719","84,075"
2011,115,Dawson,All (0-85+),"13,849","7,827","6,022","5,344","2,932","2,412",848,630,218,"7,473","4,159","3,314",184,106,78
2011,117,Deaf Smith,All (0-85+),"19,569","9,751","9,818","5,867","2,822","3,045",158,73,85,"13,307","6,751","6,556",237,105,132
2011,119,Delta,All (0-85+),"5,224","2,541","2,683","4,343","2,119","2,224",378,169,209,286,164,122,217,89,128
2011,121,Denton,All (0-85+),"686,455","337,932","348,523","435,004","214,025","220,979","56,918","26,964","29,954","129,349","65,339","64,010","65,184","31,604","33,580"
2011,123,DeWitt,All (0-85+),"20,574","10,709","9,865","11,635","5,800","5,835","1,820","1,071",749,"6,780","3,688","3,092",339,150,189
2011,125,Dickens,All (0-85+),"2,441","1,378","1,063","1,581",813,768,95,82,13,711,450,261,54,33,21
2011,127,Dimmit,All (0-85+),"10,472","5,089","5,383","1,274",659,615,85,47,38,"9,032","4,351","4,681",81,32,49
2011,129,Donley,All (0-85+),"3,686","1,828","1,858","3,137","1,568","1,569",161,69,92,314,162,152,74,29,45
2011,131,Duval,All (0-85+),"11,806","6,097","5,709","1,203",687,516,85,81,4,"10,450","5,297","5,153",68,32,36
2011,133,Eastland,All (0-85+),"18,564","9,081","9,483","15,161","7,302","7,859",321,189,132,"2,753","1,423","1,330",329,167,162
2011,135,Ector,All (0-85+),"139,259","68,806","70,453","55,803","27,322","28,481","5,677","2,824","2,853","74,785","37,198","37,587","2,994","1,462","1,532"
2011,137,Edwards,All (0-85+),"2,017","1,033",984,950,475,475,12,9,3,"1,037",541,496,18,8,10
2011,139,Ellis,All (0-85+),"153,134","75,635","77,499","99,142","48,389","50,753","13,606","6,583","7,023","36,907","19,042","17,865","3,479","1,621","1,858"
2011,141,El Paso,All (0-85+),"821,525","398,334","423,191","105,215","56,002","49,213","21,072","12,231","8,841","677,756","321,694","356,062","17,482","8,407","9,075"
2011,143,Erath,All (0-85+),"38,621","19,004","19,617","29,714","14,350","15,364",445,270,175,"7,628","3,960","3,668",834,424,410
2011,145,Falls,All (0-85+),"17,899","8,525","9,374","9,299","4,425","4,874","4,495","1,944","2,551","3,792","1,991","1,801",313,165,148
2011,147,Fannin,All (0-85+),"34,237","18,172","16,065","27,569","14,008","13,561","2,293","1,577",716,"3,362","2,085","1,277","1,013",502,511
2011,149,Fayette,All (0-85+),"25,358","12,498","12,860","18,494","9,027","9,467","1,642",783,859,"4,879","2,529","2,350",343,159,184
2011,151,Fisher,All (0-85+),"3,951","1,953","1,998","2,764","1,352","1,412",124,55,69,"1,009",518,491,54,28,26
2011,153,Floyd,All (0-85+),"6,445","3,179","3,266","2,725","1,309","1,416",205,104,101,"3,462","1,741","1,721",53,25,28
2011,155,Foard,All (0-85+),"1,346",642,704,"1,089",516,573,50,22,28,198,100,98,9,4,5
2011,157,Fort Bend,All (0-85+),"607,995","298,472","309,523","215,126","107,193","107,933","128,155","60,164","67,991","146,933","73,284","73,649","117,781","57,831","59,950"
2011,159,Franklin,All (0-85+),"10,639","5,243","5,396","8,590","4,186","4,404",409,204,205,"1,377",747,630,263,106,157
2011,161,Freestone,All (0-85+),"20,022","10,554","9,468","13,714","6,970","6,744","3,211","1,777","1,434","2,790","1,642","1,148",307,165,142
2011,163,Frio,All (0-85+),"17,634","10,270","7,364","2,840","1,524","1,316",529,499,30,"13,754","7,827","5,927",511,420,91
2011,165,Gaines,All (0-85+),"17,844","8,942","8,902","10,791","5,329","5,462",263,130,133,"6,564","3,363","3,201",226,120,106
2011,167,Galveston,All (0-85+),"296,345","146,933","149,412","174,189","86,745","87,444","39,438","18,644","20,794","67,727","34,269","33,458","14,991","7,275","7,716"
