County ,Total,Total Male,Total Female,White Male,White Female,Black Male,Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female
EL PASO ,"800,647","387,876","412,771","57,347","50,555","13,069","9,648","311,906","346,228","5,554","6,340"
ERATH ,"37,890","18,605","19,285","14,303","15,377",293,196,"3,783","3,496",226,216
FALLS ,"17,866","8,494","9,372","4,525","4,970","1,947","2,568","1,956","1,760",66,74
FANNIN ,"33,915","17,988","15,927","14,110","13,682","1,633",800,"2,010","1,216",235,229
FAYETTE ,"24,554","12,081","12,473","8,821","9,269",816,902,"2,367","2,218",77,84
FISHER ,"3,974","1,958","2,016","1,382","1,441",55,71,507,492,14,12
FLOYD ,"6,446","3,176","3,270","1,332","1,445",114,116,"1,716","1,694",14,15
FOARD ,"1,336",637,699,518,572,24,30,94,93,1,4
FORT BEND ,"585,375","287,368","298,007","107,852","108,519","59,432","66,866","69,283","69,684","50,801","52,938"
FRANKLIN ,"10,605","5,215","5,390","4,230","4,470",211,238,721,612,53,70
FREESTONE ,"19,816","10,437","9,379","7,002","6,771","1,771","1,434","1,591","1,103",73,71
FRIO ,"17,217","10,032","7,185","1,533","1,319",499,35,"7,630","5,771",370,60
GAINES ,"17,526","8,798","8,728","5,306","5,432",139,136,"3,294","3,119",59,41
GALVESTON ,"291,309","144,234","147,075","87,003","87,947","19,187","21,407","33,005","32,265","5,039","5,456"
GARZA ,"6,461","4,092","2,369","1,655","1,310",281,132,"2,144",902,12,25
GILLESPIE ,"24,837","11,968","12,869","9,252","10,358",23,29,"2,600","2,369",93,113
GLASSCOCK ,"1,226",649,577,436,389,9,8,201,177,3,3
GOLIAD ,"7,210","3,596","3,614","2,186","2,200",151,165,"1,233","1,229",26,20
GONZALES ,"19,807","9,959","9,848","4,343","4,587",713,675,"4,848","4,505",55,81
GRAY ,"22,535","11,703","10,832","7,798","7,977",819,329,"2,971","2,394",115,132
GRAYSON ,"120,877","58,917","61,960","46,791","49,801","3,725","4,011","7,055","6,633","1,346","1,515"
GREGG ,"121,730","59,468","62,262","35,940","38,731","11,755","13,216","10,735","9,283","1,038","1,032"
GRIMES ,"26,604","14,487","12,117","8,619","7,711","2,591","1,856","3,186","2,466",91,84
GUADALUPE ,"131,533","64,762","66,771","36,079","37,112","4,372","4,357","23,204","23,685","1,107","1,617"
HALE ,"36,273","18,737","17,536","6,922","6,823","1,184",717,"10,436","9,833",195,163
HALL ,"3,353","1,657","1,696",964,"1,049",130,106,558,529,5,12
HAMILTON ,"8,517","4,195","4,322","3,671","3,866",25,13,457,406,42,37
HANSFORD ,"5,613","2,803","2,810","1,500","1,617",18,15,"1,270","1,160",15,18
HARDEMAN ,"4,139","2,051","2,088","1,450","1,542",124,105,460,429,17,12
HARDIN ,"54,635","26,942","27,693","23,885","24,547","1,576","1,752","1,254","1,130",227,264
HARRIS ,"4,092,459","2,037,405","2,055,054","680,768","692,024","361,758","410,933","858,840","812,700","136,039","139,397"
HARRISON ,"65,631","32,224","33,407","21,120","21,832","6,857","7,855","3,891","3,363",356,357
HARTLEY ,"6,062","3,700","2,362","2,257","1,883",410,6,"1,006",442,27,31
HASKELL ,"5,899","3,104","2,795","2,176","2,030",141,79,750,664,37,22
HAYS ,"157,107","78,255","78,852","46,376","47,043","2,997","2,555","27,596","27,805","1,286","1,449"
HEMPHILL ,"3,807","1,928","1,879","1,327","1,357",2,2,587,499,12,21
HENDERSON ,"78,532","38,468","40,064","31,135","32,950","2,557","2,576","4,390","4,100",386,438
HIDALGO ,"774,769","376,944","397,825","30,958","30,355","2,016","1,022","340,118","362,088","3,852","4,360"
HILL ,"35,089","17,208","17,881","12,605","13,392","1,075","1,247","3,365","3,062",163,180
HOCKLEY ,"22,935","11,297","11,638","5,830","6,076",422,428,"4,951","5,042",94,92
HOOD ,"51,182","25,181","26,001","21,902","23,074",191,125,"2,799","2,435",289,367
HOPKINS ,"35,161","17,421","17,740","13,016","13,686","1,283","1,366","2,906","2,462",216,226
HOUSTON ,"23,732","12,769","10,963","7,608","7,287","3,498","2,716","1,551",813,112,147
HOWARD ,"35,012","19,720","15,292","10,097","8,826","1,572",627,"7,661","5,594",390,245
HUDSPETH ,"3,476","1,750","1,726",347,301,23,12,"1,370","1,398",10,15
HUNT ,"86,129","42,700","43,429","32,013","33,173","3,585","3,828","6,234","5,517",868,911
HUTCHINSON ,"22,150","11,077","11,073","8,290","8,431",338,278,"2,245","2,141",204,223
IRION ,"1,599",807,792,580,574,6,5,207,200,14,13
JACK ,"9,044","5,030","4,014","3,899","3,433",310,42,781,502,40,37
JACKSON ,"14,075","6,947","7,128","4,376","4,564",450,511,"2,077","2,002",44,51
JASPER ,"35,710","17,543","18,167","13,217","13,877","2,980","3,198","1,143",874,203,218
JEFF DAVIS ,"2,342","1,187","1,155",768,749,11,7,398,392,10,7
JEFFERSON ,"252,273","128,946","123,327","56,844","56,636","42,442","43,534","24,388","18,511","5,272","4,646"
JIM HOGG ,"5,300","2,616","2,684",178,168,16,3,"2,407","2,500",15,13
JIM WELLS ,"40,838","20,107","20,731","4,022","4,117",93,63,"15,849","16,405",143,146
JOHNSON ,"150,934","75,519","75,415","57,526","59,246","2,412","1,982","14,401","12,918","1,180","1,269"
JONES ,"20,202","12,383","7,819","6,873","5,802","2,031",321,"3,399","1,610",80,86
KARNES ,"14,824","8,842","5,982","3,217","2,747","1,258",101,"4,301","3,075",66,59
KAUFMAN ,"103,350","50,811","52,539","35,739","37,239","5,313","5,838","8,975","8,573",784,889
KENDALL ,"33,410","16,299","17,111","12,545","13,475",89,69,"3,480","3,349",185,218
KENEDY ,416,212,204,40,46,0,2,167,152,5,4
KENT ,808,392,416,324,353,2,4,64,56,2,3
KERR ,"49,625","24,068","25,557","17,262","18,940",489,352,"5,999","5,896",318,369
KIMBLE ,"4,607","2,281","2,326","1,696","1,773",12,4,550,527,23,22
KING ,286,141,145,116,130,0,0,24,15,1,0
KINNEY ,"3,598","1,955","1,643",763,757,21,18,"1,153",851,18,17
KLEBERG ,"32,061","16,337","15,724","4,026","3,581",652,474,"11,183","11,312",476,357
KNOX ,"3,719","1,835","1,884","1,145","1,208",115,124,559,542,16,10
LAMAR ,"49,793","24,044","25,749","18,686","19,884","3,244","3,767","1,661","1,562",453,536
LAMB ,"13,977","6,964","7,013","2,958","3,134",290,288,"3,689","3,542",27,49
LAMPASAS ,"19,677","9,705","9,972","7,430","7,700",337,325,"1,759","1,684",179,263
LA SALLE ,"6,886","4,089","2,797",473,438,18,1,"3,575","2,345",23,13
LAVACA ,"19,263","9,416","9,847","7,162","7,608",638,657,"1,567","1,510",49,72
LEE ,"16,612","8,410","8,202","5,377","5,485","1,009",897,"1,966","1,758",58,62
LEON ,"16,801","8,385","8,416","6,551","6,634",576,638,"1,205","1,055",53,89
LIBERTY ,"75,643","37,190","38,453","25,777","27,024","3,973","4,470","7,066","6,536",374,423
LIMESTONE ,"23,384","12,122","11,262","7,368","7,158","2,115","2,097","2,544","1,921",95,86
LIPSCOMB ,"3,302","1,662","1,640","1,118","1,136",2,5,528,479,14,20
LIVE OAK ,"11,531","6,195","5,336","3,530","3,343",440,28,"2,143","1,917",82,48
LLANO ,"19,301","9,329","9,972","8,450","9,010",69,51,736,806,74,105
LOVING ,82,46,36,34,26,0,0,9,9,3,1
LUBBOCK ,"278,831","137,786","141,045","78,975","82,426","10,486","10,577","44,536","44,388","3,789","3,654"
LYNN ,"5,915","2,947","2,968","1,451","1,560",69,51,"1,407","1,336",20,21
MCCULLOCH ,"8,283","4,057","4,226","2,692","2,914",71,69,"1,263","1,213",31,30
MCLENNAN ,"234,906","114,169","120,737","67,588","72,118","16,443","18,900","28,147","27,324","1,991","2,395"
MCMULLEN ,707,367,340,220,215,5,3,142,119,0,3
MADISON ,"13,664","7,873","5,791","4,265","3,815","1,775",962,"1,752",936,81,78
MARION ,"10,546","5,171","5,375","3,866","3,837","1,080","1,302",164,164,61,72
MARTIN ,"4,799","2,411","2,388","1,293","1,292",49,47,"1,051","1,035",18,14
MASON ,"4,012","1,978","2,034","1,506","1,604",9,7,452,412,11,11
MATAGORDA ,"36,702","18,363","18,339","8,684","8,846","1,997","2,190","7,219","6,855",463,448
MAVERICK ,"54,258","26,451","27,807",864,731,49,37,"25,201","26,713",337,326
MEDINA ,"46,006","23,656","22,350","10,843","10,801",838,175,"11,711","11,160",264,214
MENARD ,"2,242","1,133","1,109",718,713,8,3,404,386,3,7
MIDLAND ,"136,872","67,242","69,630","35,959","37,590","4,436","4,750","25,558","26,042","1,289","1,248"
MILAM ,"24,757","12,225","12,532","7,984","8,301","1,162","1,287","2,949","2,831",130,113
MILLS ,"4,936","2,445","2,491","1,991","2,074",14,13,429,389,11,15
MITCHELL ,"9,403","5,746","3,657","2,529","2,262",924,126,"2,245","1,236",48,33
MONTAGUE ,"19,719","9,665","10,054","8,574","8,954",36,23,968,962,87,115
MONTGOMERY ,"455,746","225,911","229,835","161,432","166,823","9,693","10,460","48,868","45,830","5,918","6,722"
MOORE ,"21,904","11,317","10,587","4,160","4,340",210,86,"6,019","5,523",928,638
MORRIS ,"12,934","6,239","6,695","4,218","4,480","1,427","1,662",527,476,67,77
MOTLEY ,"1,210",613,597,511,504,15,9,84,79,3,5
NACOGDOCHES ,"64,524","30,800","33,724","19,096","20,963","5,295","6,648","5,851","5,505",558,608
NAVARRO ,"47,735","23,657","24,078","14,073","14,717","3,262","3,436","5,888","5,457",434,468
NEWTON ,"14,445","7,445","7,000","5,565","5,386","1,576","1,372",235,168,69,74
NOLAN ,"15,216","7,561","7,655","4,603","4,631",384,383,"2,519","2,584",55,57
NUECES ,"340,223","167,038","173,185","56,649","56,949","6,680","6,387","100,452","105,841","3,257","4,008"
OCHILTREE ,"10,223","5,237","4,986","2,526","2,601",9,12,"2,661","2,321",41,52
OLDHAM ,"2,052","1,035","1,017",873,845,30,33,122,121,10,18
