county,total_number_2010,total_percent_2010,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010,geo,geo_two,GISJOIN,Geographic Area,total_number_2011,total_percent_2011,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,geo_two2,GISJOIN2,geo_two2_2,GISJOIN2_2,Geographic Area2,total_number_2012,total_percent_2012,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,geo_two2_3,GISJOIN2_3,geo_two2_4,GISJOIN2_4,Geographic Area2_2,total_number_2013,total_percent_2013,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,geo_two2_5,GISJOIN2_5,geo_two2_6,GISJOIN2_6,Geographic Area2_3,total_number_2014,total_percent_2014,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,geo_two2_7,GISJOIN2_7,total_sum_2010_2014,white_sum_2010_2014,black_sum_2010_2014,hispanic_sum_2010_2014
DALLAS,21694,56.1,7241,66.5,3745,46.2,10708,54.3,0500000US48113,48113,G4801130,DALLAS,21856,58.1,7589,67.8,3891,50.1,10376,55.5,48113,G4801130,48113,G4801130,DALLAS,21034,55.7,7401,65.2,3567,45.6,10066,54.1,48113,G4801130,48113,G4801130,DALLAS,21301,56.3,7656,66.4,3687,47,9958,54,48113,G4801130,48113,G4801130,DALLAS,22373,57.5,8114,66.9,3893,48.7,10366,55.1,48113,G4801130,108258,38001,18783,51474
DAWSON,94,50.8,35,56.5,5,*,54,47.4,0500000US48115,48115,G4801150,DAWSON,97,54.5,37,66.1,1,*,59,49.6,48115,G4801150,48115,G4801150,DAWSON,117,62.2,49,69,3,*,65,57.5,48115,G4801150,48115,G4801150,DAWSON,117,62.6,42,76.4,3,*,72,58.5,48115,G4801150,48115,G4801150,DAWSON,110,67.1,43,82.7,4,*,63,59.4,48115,G4801150,535,206,16,313
DEAF SMITH,175,52.7,36,66.7,0,-,139,50.2,0500000US48117,48117,G4801170,DEAF SMITH,216,62.1,46,78,1,*,169,58.7,48117,G4801170,48117,G4801170,DEAF SMITH,223,63.4,50,83.3,0,-,173,59.9,48117,G4801170,48117,G4801170,DEAF SMITH,197,59,32,71.1,1,*,164,56.9,48117,G4801170,48117,G4801170,DEAF SMITH,159,49.4,37,66.1,0,-,122,46,48117,G4801170,970,201,2,767
DELTA,44,74.6,40,76.9,3,*,1,*,0500000US48119,48119,G4801190,DELTA,40,69,34,69.4,4,*,2,*,48119,G4801190,48119,G4801190,DELTA,42,68.9,37,71.2,4,*,1,*,48119,G4801190,48119,G4801190,DELTA,45,78.9,37,86,6,*,2,*,48119,G4801190,48119,G4801190,DELTA,42,59.2,36,66.7,5,*,1,*,48119,G4801190,213,184,22,7
DENTON,5986,67,4398,74.4,389,56.1,1199,51.3,0500000US48121,48121,G4801210,DENTON,6312,69.1,4644,76.3,442,58.7,1226,53.4,48121,G4801210,48121,G4801210,DENTON,6440,69.7,4689,76.8,496,61.1,1255,54.2,48121,G4801210,48121,G4801210,DENTON,6329,66.8,4603,73.8,463,56.4,1263,52.3,48121,G4801210,48121,G4801210,DENTON,6520,66.7,4741,73.1,494,60.9,1285,52,48121,G4801210,31587,23075,2284,6228
DEWITT,152,66.7,82,70.1,11,*,59,62.8,0500000US48123,48123,G4801230,DEWITT,138,62.4,67,69.8,4,*,67,58.3,48123,G4801230,48123,G4801230,DEWITT,160,65.8,82,73.9,13,*,65,58,48123,G4801230,48123,G4801230,DEWITT,164,66.9,102,73.4,8,*,54,58.7,48123,G4801230,48123,G4801230,DEWITT,200,69.4,113,74.8,6,*,81,67.5,48123,G4801230,814,446,42,326
DICKENS,13,61.9,12,*,0,-,1,*,0500000US48125,48125,G4801250,DICKENS,9,39.1,7,*,1,*,1,*,48125,G4801250,48125,G4801250,DICKENS,5,*,4,*,0,-,1,*,48125,G4801250,48125,G4801250,DICKENS,14,56,12,*,0,-,2,*,48125,G4801250,48125,G4801250,DICKENS,5,*,4,*,0,-,1,*,48125,G4801250,46,39,1,6
DIMMIT,86,67.2,4,*,1,*,81,66.9,0500000US48127,48127,G4801270,DIMMIT,100,60.2,9,*,0,-,91,60.7,48127,G4801270,48127,G4801270,DIMMIT,140,72.9,13,*,1,*,126,72.8,48127,G4801270,48127,G4801270,DIMMIT,126,66,8,*,0,-,118,68.2,48127,G4801270,48127,G4801270,DIMMIT,131,69.3,7,*,0,-,124,70.5,48127,G4801270,583,41,2,540
DONLEY,16,45.7,12,44.4,0,-,4,*,0500000US48129,48129,G4801290,DONLEY,15,57.7,13,*,0,-,2,*,48129,G4801290,48129,G4801290,DONLEY,21,53.8,18,56.3,1,*,2,*,48129,G4801290,48129,G4801290,DONLEY,20,58.8,17,63,1,*,2,*,48129,G4801290,48129,G4801290,DONLEY,18,64.3,12,*,2,*,4,*,48129,G4801290,90,72,4,14
DUVAL,75,45.5,5,*,0,-,70,45.2,0500000US48131,48131,G4801310,DUVAL,75,42.4,9,*,0,-,66,42,48131,G4801310,48131,G4801310,DUVAL,69,46,5,*,0,-,64,45.7,48131,G4801310,48131,G4801310,DUVAL,64,50.4,5,*,0,-,59,49.2,48131,G4801310,48131,G4801310,DUVAL,68,45.6,2,*,0,-,66,47.5,48131,G4801310,351,26,0,325
EASTLAND,139,62.9,112,61.5,2,*,25,69.4,0500000US48133,48133,G4801330,EASTLAND,133,63.9,106,65.4,2,*,25,56.8,48133,G4801330,48133,G4801330,EASTLAND,92,58.2,78,57.8,1,*,13,59.1,48133,G4801330,48133,G4801330,EASTLAND,125,60.1,107,59.4,1,*,17,63,48133,G4801330,48133,G4801330,EASTLAND,127,58.8,113,60.8,1,*,13,46.4,48133,G4801330,616,516,7,93
ECTOR,1759,72.4,612,78.9,77,78.6,1070,68.8,0500000US48135,48135,G4801350,ECTOR,1617,66.2,533,68.3,57,65.5,1027,65.2,48135,G4801350,48135,G4801350,ECTOR,1828,66.6,631,70.3,60,63.8,1137,64.9,48135,G4801350,48135,G4801350,ECTOR,2306,80,758,83.4,57,70.4,1491,78.8,48135,G4801350,48135,G4801350,ECTOR,2241,71.3,755,76.1,60,63.2,1426,69.3,48135,G4801350,9751,3289,311,6151
EDWARDS,14,53.8,7,*,0,-,7,*,0500000US48137,48137,G4801370,EDWARDS,17,56.7,9,*,0,-,8,*,48137,G4801370,48137,G4801370,EDWARDS,10,*,4,*,1,*,5,*,48137,G4801370,48137,G4801370,EDWARDS,5,23.8,1,*,0,-,4,*,48137,G4801370,48137,G4801370,EDWARDS,11,39.3,3,*,1,*,7,31.8,48137,G4801370,57,24,2,31
EL PASO,7625,58.2,1015,62.1,186,58.7,6424,57.6,0500000US48141,48141,G4801410,EL PASO,7699,58.1,1098,58.6,214,55.3,6387,58.1,48141,G4801410,48141,G4801410,EL PASO,8320,62.5,1349,66.7,228,62.1,6743,61.8,48141,G4801410,48141,G4801410,EL PASO,8255,64.7,1247,68.2,230,68.2,6778,63.9,48141,G4801410,48141,G4801410,EL PASO,8428,65.7,1406,71.5,284,71.7,6738,64.3,48141,G4801410,40327,6115,1142,33070
ELLIS,1119,55.7,749,63.7,85,45.2,285,44.2,0500000US48139,48139,G4801390,ELLIS,1144,59.6,762,66.3,78,51,304,49.4,48139,G4801390,48139,G4801390,ELLIS,1098,60.6,750,70.5,75,47.2,273,46.3,48139,G4801390,48139,G4801390,ELLIS,1187,58.7,822,67.8,82,48,283,44.4,48139,G4801390,48139,G4801390,ELLIS,1218,58.9,802,66.8,109,55.6,307,45.8,48139,G4801390,5766,3885,429,1452
ERATH,275,61.2,200,65.6,2,*,73,51.8,0500000US48143,48143,G4801430,ERATH,287,58.2,211,63.9,1,*,75,46.3,48143,G4801430,48143,G4801430,ERATH,296,60.5,219,66.4,3,*,74,47.7,48143,G4801430,48143,G4801430,ERATH,286,59,225,63.6,2,*,59,46.1,48143,G4801430,48143,G4801430,ERATH,322,61.5,248,68.1,2,*,72,45.9,48143,G4801430,1466,1103,10,353
FALLS,87,56.1,43,75.4,25,43.1,19,47.5,0500000US48145,48145,G4801450,FALLS,68,41.5,31,45.6,16,32,21,45.7,48145,G4801450,48145,G4801450,FALLS,82,52.2,40,59.7,20,42.6,22,51.2,48145,G4801450,48145,G4801450,FALLS,83,51.2,45,66.2,14,29.8,24,51.1,48145,G4801450,48145,G4801450,FALLS,93,53.1,38,60.3,25,48.1,30,50,48145,G4801450,413,197,100,116
FANNIN,176,51.9,155,54.6,3,*,18,36.7,0500000US48147,48147,G4801470,FANNIN,182,53.8,156,58,11,45.8,15,33.3,48147,G4801470,48147,G4801470,FANNIN,192,60.4,165,67.9,6,*,21,33.9,48147,G4801470,48147,G4801470,FANNIN,204,63.6,171,67.9,10,*,23,46,48147,G4801470,48147,G4801470,FANNIN,186,57.9,166,63.4,5,*,15,31.9,48147,G4801470,940,813,35,92
FAYETTE,169,72.5,95,79.8,14,*,60,63.8,0500000US48149,48149,G4801490,FAYETTE,180,72.9,117,77,12,*,51,63.8,48149,G4801490,48149,G4801490,FAYETTE,145,71.8,98,83.8,9,*,38,54.3,48149,G4801490,48149,G4801490,FAYETTE,150,62.5,100,70.9,10,*,40,48.2,48149,G4801490,48149,G4801490,FAYETTE,171,71,108,80,8,*,55,60.4,48149,G4801490,815,518,53,244
FISHER,33,71.7,18,69.2,2,*,13,*,0500000US48151,48151,G4801510,FISHER,23,63.9,11,*,1,*,11,*,48151,G4801510,48151,G4801510,FISHER,20,64.5,14,66.7,0,-,6,*,48151,G4801510,48151,G4801510,FISHER,17,58.6,11,*,1,*,5,*,48151,G4801510,48151,G4801510,FISHER,41,80.4,29,76.3,0,-,12,*,48151,G4801510,134,83,4,47
FLOYD,50,52.1,14,63.6,3,*,33,46.5,0500000US48153,48153,G4801530,FLOYD,48,59.3,17,70.8,1,*,30,53.6,48153,G4801530,48153,G4801530,FLOYD,51,56.7,20,76.9,0,-,31,49.2,48153,G4801530,48153,G4801530,FLOYD,39,49.4,10,*,1,*,28,45.9,48153,G4801530,48153,G4801530,FLOYD,43,66.2,10,*,0,-,33,62.3,48153,G4801530,231,71,5,155
FOARD,6,*,6,*,0,-,0,-,0500000US48155,48155,G4801550,FOARD,11,*,8,*,0,-,3,*,48155,G4801550,48155,G4801550,FOARD,14,*,9,*,1,*,4,*,48155,G4801550,48155,G4801550,FOARD,6,*,5,*,0,-,1,*,48155,G4801550,48155,G4801550,FOARD,5,*,4,*,0,-,1,*,48155,G4801550,42,32,1,9
FORT BEND,4899,64.6,2799,73.6,817,54.5,1283,56.1,0500000US48157,48157,G4801570,FORT BEND,5004,67,2867,73.7,858,59.1,1279,60.1,48157,G4801570,48157,G4801570,FORT BEND,5099,64.7,3056,72,794,54.1,1249,57.7,48157,G4801570,48157,G4801570,FORT BEND,5357,65.7,3148,71.4,874,57.4,1335,60.1,48157,G4801570,48157,G4801570,FORT BEND,5777,65,3457,72.2,935,52.9,1385,59.3,48157,G4801570,26136,15327,4278,6531
FRANKLIN,75,69.4,58,69.9,4,*,13,*,0500000US48159,48159,G4801590,FRANKLIN,80,70.8,66,72.5,2,*,12,*,48159,G4801590,48159,G4801590,FRANKLIN,67,70.5,51,76.1,3,*,13,52,48159,G4801590,48159,G4801590,FRANKLIN,62,53.4,53,60.2,5,*,4,19,48159,G4801590,48159,G4801590,FRANKLIN,52,56.5,46,63.9,1,*,5,*,48159,G4801590,336,274,15,47
FREESTONE,113,54.3,79,59.8,9,32.1,25,52.1,0500000US48161,48161,G4801610,FREESTONE,141,60,87,61.7,23,65.7,31,52.5,48161,G4801610,48161,G4801610,FREESTONE,137,60.1,94,71.2,18,58.1,25,38.5,48161,G4801610,48161,G4801610,FREESTONE,116,56,76,63.9,16,51.6,24,42.1,48161,G4801610,48161,G4801610,FREESTONE,97,51.1,71,62.3,13,40.6,13,29.5,48161,G4801610,604,407,79,118
FRIO,133,57.6,20,64.5,0,-,113,56.5,0500000US48163,48163,G4801630,FRIO,117,54.9,19,59.4,0,-,98,54.1,48163,G4801630,48163,G4801630,FRIO,118,47.6,27,50,0,-,91,46.9,48163,G4801630,48163,G4801630,FRIO,128,51.6,32,62.7,1,*,95,48.7,48163,G4801630,48163,G4801630,FRIO,106,41.1,20,46.5,1,*,85,40.1,48163,G4801630,602,118,2,482
GAINES,170,50.1,103,55.1,2,*,65,44.2,0500000US48165,48165,G4801650,GAINES,170,47.8,108,49.5,1,*,61,44.9,48165,G4801650,48165,G4801650,GAINES,151,44.9,90,48.4,2,*,59,41,48165,G4801650,48165,G4801650,GAINES,173,45.3,95,42.6,4,*,74,48.4,48165,G4801650,48165,G4801650,GAINES,186,47.4,117,50.9,1,*,68,42.2,48165,G4801650,850,513,10,327
GALVESTON,2520,64.7,1471,66.3,302,57.3,747,65,0500000US48167,48167,G4801670,GALVESTON,2516,65.1,1522,67.3,273,55.2,721,65.1,48167,G4801670,48167,G4801670,GALVESTON,2431,63.1,1480,65.3,270,55.1,681,62.2,48167,G4801670,48167,G4801670,GALVESTON,2426,62.1,1432,63.2,317,57.7,677,61.9,48167,G4801670,48167,G4801670,GALVESTON,2440,59.9,1505,61.2,292,54.5,643,59.8,48167,G4801670,12333,7410,1454,3469
GARZA,41,51.9,23,65.7,1,*,17,43.6,0500000US48169,48169,G4801690,GARZA,40,58.8,18,66.7,2,*,20,52.6,48169,G4801690,48169,G4801690,GARZA,25,50,14,60.9,3,*,8,36.4,48169,G4801690,48169,G4801690,GARZA,35,53.8,20,69,4,*,11,36.7,48169,G4801690,48169,G4801690,GARZA,31,49.2,16,51.6,2,*,13,48.1,48169,G4801690,172,91,12,69
GILLESPIE,166,63.8,114,69.5,0,-,52,54.2,0500000US48171,48171,G4801710,GILLESPIE,144,62.3,92,71.9,0,-,52,50.5,48171,G4801710,48171,G4801710,GILLESPIE,147,60,94,64.4,0,-,53,53.5,48171,G4801710,48171,G4801710,GILLESPIE,132,54.8,90,61.6,0,-,42,44.7,48171,G4801710,48171,G4801710,GILLESPIE,143,56.7,101,68.7,1,*,41,39.8,48171,G4801710,732,491,1,240
GLASSCOCK,8,*,4,*,0,-,4,*,0500000US48173,48173,G4801730,GLASSCOCK,7,*,7,*,0,-,0,-,48173,G4801730,48173,G4801730,GLASSCOCK,9,*,7,*,0,-,2,*,48173,G4801730,48173,G4801730,GLASSCOCK,10,*,8,*,0,-,2,*,48173,G4801730,48173,G4801730,GLASSCOCK,11,*,8,*,0,-,3,*,48173,G4801730,45,34,0,11
GOLIAD,54,75,33,80.5,1,*,20,74.1,0500000US48175,48175,G4801750,GOLIAD,37,64.9,21,67.7,1,*,15,65.2,48175,G4801750,48175,G4801750,GOLIAD,45,72.6,22,68.8,1,*,22,75.9,48175,G4801750,48175,G4801750,GOLIAD,41,82,22,88,1,*,18,81.8,48175,G4801750,48175,G4801750,GOLIAD,51,67.1,35,83.3,2,*,14,45.2,48175,G4801750,228,133,6,89
GONZALES,132,45.4,52,57.1,8,*,72,38.7,0500000US48177,48177,G4801770,GONZALES,119,43.3,41,53.9,4,*,74,40,48177,G4801770,48177,G4801770,GONZALES,133,49.6,59,64.1,7,*,67,41.1,48177,G4801770,48177,G4801770,GONZALES,141,50.5,67,76.1,4,*,70,38.3,48177,G4801770,48177,G4801770,GONZALES,141,44.3,63,58.3,10,*,68,34.9,48177,G4801770,666,282,33,351
GRAY,172,55,108,59.7,2,*,62,52.1,0500000US48179,48179,G4801790,GRAY,210,65,134,66.3,8,*,68,60.7,48179,G4801790,48179,G4801790,GRAY,214,62.6,123,62.8,5,*,86,61.9,48179,G4801790,48179,G4801790,GRAY,232,68.4,142,71.4,3,*,87,64.9,48179,G4801790,48179,G4801790,GRAY,198,58.6,125,64.1,2,*,71,51.8,48179,G4801790,1026,632,20,374
GRAYSON,878,57.9,708,63.5,45,46.4,125,41.1,0500000US48181,48181,G4801810,GRAYSON,808,54.9,637,60.5,52,51,119,37.4,48181,G4801810,48181,G4801810,GRAYSON,853,57.4,685,63.9,53,55.2,115,36.1,48181,G4801810,48181,G4801810,GRAYSON,876,59,704,64.8,44,53,128,40.5,48181,G4801810,48181,G4801810,GRAYSON,920,59.7,716,63.9,51,58.6,153,45.9,48181,G4801810,4335,3450,245,640
GREGG,940,49.9,547,56.3,144,40.4,249,44.8,0500000US48183,48183,G4801830,GREGG,1033,54.8,601,61.9,207,52,225,43.6,48183,G4801830,48183,G4801830,GREGG,938,49,544,56.8,173,41.3,221,41.2,48183,G4801830,48183,G4801830,GREGG,862,46.5,511,55.1,158,40.9,193,35.9,48183,G4801830,48183,G4801830,GREGG,1086,55.9,616,62.5,208,49.3,262,48.9,48183,G4801830,4859,2819,890,1150
GRIMES,132,56.4,96,64,10,35.7,26,46.4,0500000US48185,48185,G4801850,GRIMES,135,65.2,85,69.1,12,*,38,58.5,48185,G4801850,48185,G4801850,GRIMES,147,60.5,92,63.4,13,52,42,57.5,48185,G4801850,48185,G4801850,GRIMES,164,56.6,88,58.7,33,67.3,43,47.3,48185,G4801850,48185,G4801850,GRIMES,181,58.8,109,68.1,15,35.7,57,53.8,48185,G4801850,759,470,83,206
GUADALUPE,888,60.3,490,68.4,50,66.7,348,51,0500000US48187,48187,G4801870,GUADALUPE,884,61,515,69.3,33,53.2,336,52.1,48187,G4801870,48187,G4801870,GUADALUPE,1048,63.6,640,70.6,28,48.3,380,55.6,48187,G4801870,48187,G4801870,GUADALUPE,1081,64.3,619,70.9,52,66.7,410,56.2,48187,G4801870,48187,G4801870,GUADALUPE,1078,63.1,603,69.7,55,71.4,420,54.8,48187,G4801870,4979,2867,218,1894
HALE,342,55.7,119,71.7,12,46.2,211,50,0500000US48189,48189,G4801890,HALE,344,61.4,87,66.4,16,69.6,241,59.4,48189,G4801890,48189,G4801890,HALE,306,57,83,64.8,8,*,215,54.7,48189,G4801890,48189,G4801890,HALE,331,64.3,112,73.2,13,*,206,60.1,48189,G4801890,48189,G4801890,HALE,290,62.8,94,71.2,9,*,187,59.4,48189,G4801890,1613,495,58,1060
HALL,20,62.5,8,*,1,*,11,*,0500000US48191,48191,G4801910,HALL,21,52.5,12,*,4,*,5,*,48191,G4801910,48191,G4801910,HALL,18,54.5,10,*,0,-,8,*,48191,G4801910,48191,G4801910,HALL,20,64.5,5,*,2,*,13,*,48191,G4801910,48191,G4801910,HALL,18,54.5,7,*,2,*,9,*,48191,G4801910,97,42,9,46
HAMILTON,44,53,37,55.2,0,-,7,*,0500000US48193,48193,G4801930,HAMILTON,60,63.2,52,68.4,0,-,8,*,48193,G4801930,48193,G4801930,HAMILTON,58,63,51,68,0,-,7,*,48193,G4801930,48193,G4801930,HAMILTON,54,67.5,45,75,0,-,9,*,48193,G4801930,48193,G4801930,HAMILTON,54,67.5,47,72.3,0,-,7,*,48193,G4801930,270,232,0,38
HANSFORD,46,54.1,24,68.6,0,-,22,44,0500000US48195,48195,G4801950,HANSFORD,42,54.5,24,70.6,0,-,18,41.9,48195,G4801950,48195,G4801950,HANSFORD,41,54.7,19,86.4,0,-,22,41.5,48195,G4801950,48195,G4801950,HANSFORD,40,49.4,22,61.1,0,-,18,40,48195,G4801950,48195,G4801950,HANSFORD,56,64.4,32,88.9,0,-,24,48,48195,G4801950,225,121,0,104
HARDEMAN,20,43.5,10,45.5,3,*,7,*,0500000US48197,48197,G4801970,HARDEMAN,19,48.7,13,52,0,-,6,*,48197,G4801970,48197,G4801970,HARDEMAN,24,60,15,68.2,0,-,9,*,48197,G4801970,48197,G4801970,HARDEMAN,16,43.2,12,46.2,0,-,4,*,48197,G4801970,48197,G4801970,HARDEMAN,30,68.2,21,77.8,1,*,8,*,48197,G4801970,109,71,4,34
HARDIN,530,76,474,77.8,31,59.6,25,69.4,0500000US48199,48199,G4801990,HARDIN,473,74.1,410,74.3,36,72,27,75,48199,G4801990,48199,G4801990,HARDIN,485,70.8,443,72.1,30,62.5,12,52.2,48199,G4801990,48199,G4801990,HARDIN,491,70.9,447,73,19,46.3,25,62.5,48199,G4801990,48199,G4801990,HARDIN,443,66.9,407,67.8,16,51.6,20,64.5,48199,G4801990,2422,2181,132,109
HARRIS,35703,55.6,13458,68.6,5831,50.4,16414,49.8,0500000US48201,48201,G4802010,HARRIS,36202,58.2,13503,68.9,5897,52.6,16802,53.5,48201,G4802010,48201,G4802010,HARRIS,37055,58.5,14068,67.9,5955,52.6,17032,54.5,48201,G4802010,48201,G4802010,HARRIS,38294,59.2,14384,68.8,6177,53.2,17733,55.2,48201,G4802010,48201,G4802010,HARRIS,38750,57.9,14923,66.6,6219,52.4,17608,53.9,48201,G4802010,186004,70336,30079,85589
HARRISON,446,54.5,290,62.2,81,48.2,75,40.5,0500000US48203,48203,G4802030,HARRISON,526,61,352,65.7,83,51.6,91,55.2,48203,G4802030,48203,G4802030,HARRISON,448,55.1,299,61.6,94,55.3,55,34.8,48203,G4802030,48203,G4802030,HARRISON,424,52.2,274,60.6,87,49.2,63,34.2,48203,G4802030,48203,G4802030,HARRISON,460,56,290,62.1,79,50,91,46.2,48203,G4802030,2304,1505,424,375
HARTLEY,37,68.5,32,78,0,-,5,*,0500000US48205,48205,G4802050,HARTLEY,42,79.2,32,86.5,0,-,10,*,48205,G4802050,48205,G4802050,HARTLEY,51,81,41,85.4,0,-,10,*,48205,G4802050,48205,G4802050,HARTLEY,52,76.5,35,79.5,0,-,17,70.8,48205,G4802050,48205,G4802050,HARTLEY,50,83.3,36,85.7,0,-,14,*,48205,G4802050,232,176,0,56
HASKELL,23,50,12,46.2,0,-,11,*,0500000US48207,48207,G4802070,HASKELL,33,61.1,21,60,1,*,11,*,48207,G4802070,48207,G4802070,HASKELL,27,60,13,61.9,1,*,13,61.9,48207,G4802070,48207,G4802070,HASKELL,30,69.8,25,86.2,1,*,4,*,48207,G4802070,48207,G4802070,HASKELL,23,46,15,51.7,0,-,8,*,48207,G4802070,136,86,3,47
HAYS,1451,69.7,772,76.1,38,69.1,641,63.2,0500000US48209,48209,G4802090,HAYS,1428,69.8,798,78,33,57.9,597,61.8,48209,G4802090,48209,G4802090,HAYS,1479,72.3,826,78.8,37,75.5,616,64.9,48209,G4802090,48209,G4802090,HAYS,1473,69.5,799,77.1,41,74.5,633,61.5,48209,G4802090,48209,G4802090,HAYS,1600,67.9,922,77,32,59.3,646,58.5,48209,G4802090,7431,4117,181,3133
HEMPHILL,35,51.5,22,57.9,0,-,13,43.3,0500000US48211,48211,G4802110,HEMPHILL,40,58.8,32,80,0,-,8,28.6,48211,G4802110,48211,G4802110,HEMPHILL,47,70.1,34,79.1,0,-,13,54.2,48211,G4802110,48211,G4802110,HEMPHILL,35,55.6,19,61.3,0,-,16,50,48211,G4802110,48211,G4802110,HEMPHILL,47,75.8,32,84.2,0,-,15,62.5,48211,G4802110,204,139,0,65
HENDERSON,443,51.1,348,53.9,24,43.6,71,42.8,0500000US48213,48213,G4802130,HENDERSON,492,56.2,376,59,26,46.4,90,49.5,48213,G4802130,48213,G4802130,HENDERSON,455,54,347,56.4,25,48.1,83,47.4,48213,G4802130,48213,G4802130,HENDERSON,498,57.8,386,59.1,24,50,88,54.7,48213,G4802130,48213,G4802130,HENDERSON,494,56.7,392,60.8,28,50,74,43.3,48213,G4802130,2382,1849,127,406
HIDALGO,5814,58.6,204,75.8,11,*,5599,58.1,0500000US48215,48215,G4802150,HIDALGO,7478,66.4,286,81,17,81,7175,65.9,48215,G4802150,48215,G4802150,HIDALGO,7071,65.3,263,81.7,18,81.8,6790,64.8,48215,G4802150,48215,G4802150,HIDALGO,6755,64.2,254,78.2,11,*,6490,63.7,48215,G4802150,48215,G4802150,HIDALGO,6369,59.2,240,70.6,11,*,6118,58.8,48215,G4802150,33487,1247,68,32172
HILL,269,62,181,66.5,21,60,67,52.8,0500000US48217,48217,G4802170,HILL,239,55.6,162,62.8,8,28.6,69,47.9,48217,G4802170,48217,G4802170,HILL,239,59.3,164,66.1,13,50,62,48.1,48217,G4802170,48217,G4802170,HILL,237,62.7,157,66.8,16,61.5,64,54.7,48217,G4802170,48217,G4802170,HILL,265,64.8,175,69.7,15,46.9,75,59.5,48217,G4802170,1249,839,73,337
HOCKLEY,207,60.5,80,66.7,2,*,125,58.1,0500000US48219,48219,G4802190,HOCKLEY,186,59.6,74,64.3,4,*,108,57.8,48219,G4802190,48219,G4802190,HOCKLEY,195,53.6,79,66.4,2,*,114,48.9,48219,G4802190,48219,G4802190,HOCKLEY,175,55.9,75,63.6,2,*,98,52.1,48219,G4802190,48219,G4802190,HOCKLEY,179,58.3,84,66.1,9,*,86,50.9,48219,G4802190,942,392,19,531
HOOD,364,66.2,305,69.6,1,*,58,52.3,0500000US48221,48221,G4802210,HOOD,360,66.8,317,70.4,2,*,41,48.2,48221,G4802210,48221,G4802210,HOOD,367,65.5,318,68.5,5,*,44,48.4,48221,G4802210,48221,G4802210,HOOD,404,67.9,353,72.8,0,-,51,46.4,48221,G4802210,48221,G4802210,HOOD,360,62.7,318,67.5,2,*,40,39.6,48221,G4802210,1855,1611,10,234
HOPKINS,351,69.9,248,74.3,22,59.5,81,61.8,0500000US48223,48223,G4802230,HOPKINS,350,72.6,253,78.6,20,54.1,77,62.6,48223,G4802230,48223,G4802230,HOPKINS,347,76.6,255,78.2,21,72.4,71,72.4,48223,G4802230,48223,G4802230,HOPKINS,321,75.2,233,77.9,20,69,68,68.7,48223,G4802230,48223,G4802230,HOPKINS,313,66.7,236,70,13,54.2,64,59.3,48223,G4802230,1682,1225,96,361
HOUSTON,140,56.9,85,68,35,47.9,20,41.7,0500000US48225,48225,G4802250,HOUSTON,130,61.9,79,67.5,33,58.9,18,48.6,48225,G4802250,48225,G4802250,HOUSTON,172,68,112,77.8,40,61.5,20,45.5,48225,G4802250,48225,G4802250,HOUSTON,142,62.3,78,67.2,46,59.7,18,51.4,48225,G4802250,48225,G4802250,HOUSTON,94,51.1,64,55.7,22,52.4,8,29.6,48225,G4802250,678,418,176,84
HOWARD,280,61.9,150,66.4,7,*,123,57.5,0500000US48227,48227,G4802270,HOWARD,226,58.4,120,67,2,*,104,52,48227,G4802270,48227,G4802270,HOWARD,297,64.8,158,69.6,6,*,133,60.7,48227,G4802270,48227,G4802270,HOWARD,267,60.7,156,71.2,3,*,108,50.9,48227,G4802270,48227,G4802270,HOWARD,273,54,169,63.1,3,*,101,44.3,48227,G4802270,1343,753,21,569
HUDSPETH,21,43.8,2,*,0,-,19,46.3,0500000US48229,48229,G4802290,HUDSPETH,32,61.5,2,*,0,-,30,61.2,48229,G4802290,48229,G4802290,HUDSPETH,17,42.5,3,*,0,-,14,37.8,48229,G4802290,48229,G4802290,HUDSPETH,18,47.4,0,-,0,-,18,50,48229,G4802290,48229,G4802290,HUDSPETH,18,52.9,0,-,0,-,18,54.5,48229,G4802290,106,7,0,99
HUNT,546,50.3,420,55.4,54,45,72,34.6,0500000US48231,48231,G4802310,HUNT,595,56.9,445,61.4,55,52.4,95,44,48231,G4802310,48231,G4802310,HUNT,588,56.4,460,63.1,55,55.6,73,34.1,48231,G4802310,48231,G4802310,HUNT,578,54.3,443,61.3,49,46.2,86,36.4,48231,G4802310,48231,G4802310,HUNT,628,55.7,470,61.2,54,50.9,104,41.1,48231,G4802310,2935,2238,267,430
HUTCHINSON,166,63.4,125,67.6,1,*,40,54.8,0500000US48233,48233,G4802330,HUTCHINSON,213,67.2,160,74.1,0,-,53,55.2,48233,G4802330,48233,G4802330,HUTCHINSON,205,66.1,152,69.7,2,*,51,58,48233,G4802330,48233,G4802330,HUTCHINSON,197,65.2,146,68.9,1,*,50,57.5,48233,G4802330,48233,G4802330,HUTCHINSON,193,62.9,153,68,6,*,34,48.6,48233,G4802330,974,736,10,228
