county,total_number_2010,total_percent_2010,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010,geo,geo_two,GISJOIN,Geographic Area,total_number_2011,total_percent_2011,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,geo_two2,GISJOIN2,geo_two2_2,GISJOIN2_2,Geographic Area2,total_number_2012,total_percent_2012,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,geo_two2_3,GISJOIN2_3,geo_two2_4,GISJOIN2_4,Geographic Area2_2,total_number_2013,total_percent_2013,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,geo_two2_5,GISJOIN2_5,geo_two2_6,GISJOIN2_6,Geographic Area2_3,total_number_2014,total_percent_2014,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,geo_two2_7,GISJOIN2_7,total_sum_2010_2014,white_sum_2010_2014,black_sum_2010_2014,hispanic_sum_2010_2014
BAYLOR,32,80,24,82.8,1,*,7,*,0500000US48023,48023,G4800230,BAYLOR,31,96.9,22,95.7,2,*,7,*,48023,G4800230,48023,G4800230,BAYLOR,37,77.1,34,79.1,1,*,2,*,48023,G4800230,48023,G4800230,BAYLOR,23,76.7,18,75,0,-,5,*,48023,G4800230,48023,G4800230,BAYLOR,34,79.1,27,81.8,0,-,7,*,48023,G4800230,157,125,4,28
BEE,233,67.3,56,70,4,*,173,66.5,0500000US48025,48025,G4800250,BEE,242,63.5,70,73.7,1,*,171,60.2,48025,G4800250,48025,G4800250,BEE,223,63.5,56,60.9,5,*,162,64,48025,G4800250,48025,G4800250,BEE,248,64.1,76,79.2,1,*,171,59.4,48025,G4800250,48025,G4800250,BEE,256,62.3,56,64.4,5,*,195,61.9,48025,G4800250,1202,314,16,872
BELL,3604,68.6,2019,71.6,792,67.8,793,62.9,0500000US48027,48027,G4800270,BELL,3170,69.5,1730,72.1,764,69.5,676,63.6,48027,G4800270,48027,G4800270,BELL,3392,70.9,1977,74.1,688,67.7,727,66.1,48027,G4800270,48027,G4800270,BELL,3768,72.3,2116,75.8,775,70.4,877,66.6,48027,G4800270,48027,G4800270,BELL,3672,70,2041,73.8,798,67.1,833,64.6,48027,G4800270,17606,9883,3817,3906
BEXAR,15742,72.4,4259,77.3,960,65.7,10523,71.3,0500000US48029,48029,G4800290,BEXAR,15923,71,4566,75.5,1014,67.4,10343,69.6,48029,G4800290,48029,G4800290,BEXAR,15844,65,5039,73,891,60.2,9914,62,48029,G4800290,48029,G4800290,BEXAR,15035,59.8,5093,71.2,880,53.9,9062,55.4,48029,G4800290,48029,G4800290,BEXAR,15854,60.9,5502,72,956,55.7,9396,56.4,48029,G4800290,78398,24459,4701,49238
BLANCO,46,54.1,31,58.5,0,-,15,46.9,0500000US48031,48031,G4800310,BLANCO,53,60.9,40,66.7,0,-,13,48.1,48031,G4800310,48031,G4800310,BLANCO,48,56.5,41,60.3,0,-,7,*,48031,G4800310,48031,G4800310,BLANCO,37,56.1,30,66.7,0,-,7,33.3,48031,G4800310,48031,G4800310,BLANCO,59,59.6,42,66.7,1,*,16,45.7,48031,G4800310,243,184,1,58
BORDEN,1,*,1,*,0,-,0,-,0500000US48033,48033,G4800330,BORDEN,4,*,3,*,0,-,1,*,48033,G4800330,48033,G4800330,BORDEN,4,*,4,*,0,-,0,-,48033,G4800330,48033,G4800330,BORDEN,8,*,6,*,0,-,2,*,48033,G4800330,48033,G4800330,BORDEN,4,*,4,*,0,-,0,-,48033,G4800330,21,18,0,3
BOSQUE,97,49.7,78,54.5,1,*,18,37.5,0500000US48035,48035,G4800350,BOSQUE,102,59.3,76,67.3,4,*,22,42.3,48035,G4800350,48035,G4800350,BOSQUE,111,62,80,65.6,2,*,29,55.8,48035,G4800350,48035,G4800350,BOSQUE,112,59.6,84,64.1,3,*,25,49,48035,G4800350,48035,G4800350,BOSQUE,94,59.9,73,61.9,0,-,21,55.3,48035,G4800350,516,391,10,115
BOWIE,624,57.5,429,64.2,142,43.4,53,58.9,0500000US48037,48037,G4800370,BOWIE,644,57.7,439,65.2,156,45.2,49,50,48037,G4800370,48037,G4800370,BOWIE,709,58.2,474,64.1,176,48.8,59,50,48037,G4800370,48037,G4800370,BOWIE,619,54.2,430,63,145,40.1,44,44.9,48037,G4800370,48037,G4800370,BOWIE,554,47.9,403,55.7,105,33,46,39.7,48037,G4800370,3150,2175,724,251
BRAZORIA,2975,63,1766,67.5,302,61.1,907,56.2,0500000US48039,48039,G4800390,BRAZORIA,2712,64.3,1604,67.6,239,59.5,869,60.1,48039,G4800390,48039,G4800390,BRAZORIA,2839,63.8,1691,66.7,266,61.3,882,59.7,48039,G4800390,48039,G4800390,BRAZORIA,2847,63.6,1620,66.2,295,64.8,932,59.4,48039,G4800390,48039,G4800390,BRAZORIA,2763,60.6,1635,63.2,272,58.4,856,57,48039,G4800390,14136,8316,1374,4446
BRAZOS,1286,62.5,750,69.1,134,50.4,402,57,0500000US48041,48041,G4800410,BRAZOS,1436,68.9,863,75.6,135,52.7,438,63.8,48041,G4800410,48041,G4800410,BRAZOS,1411,65.7,862,70.3,114,50.7,435,62.5,48041,G4800410,48041,G4800410,BRAZOS,1437,61.9,846,68.9,131,43,460,58.3,48041,G4800410,48041,G4800410,BRAZOS,1672,66,1003,74.1,150,48.2,519,59.7,48041,G4800410,7242,4324,664,2254
BREWSTER,75,58.1,35,59.3,1,*,39,57.4,0500000US48043,48043,G4800430,BREWSTER,72,67.3,37,80.4,1,*,34,57.6,48043,G4800430,48043,G4800430,BREWSTER,75,65.8,39,67.2,0,-,36,64.3,48043,G4800430,48043,G4800430,BREWSTER,77,67,38,73.1,0,-,39,62.9,48043,G4800430,48043,G4800430,BREWSTER,74,71.8,40,71.4,0,-,34,72.3,48043,G4800430,373,189,2,182
BRISCOE,8,*,5,*,0,-,3,*,0500000US48045,48045,G4800450,BRISCOE,11,50,7,*,0,-,4,*,48045,G4800450,48045,G4800450,BRISCOE,5,*,3,*,0,-,2,*,48045,G4800450,48045,G4800450,BRISCOE,8,*,6,*,0,-,2,*,48045,G4800450,48045,G4800450,BRISCOE,3,*,0,-,0,-,3,*,48045,G4800450,35,21,0,14
BROOKS,55,47.4,6,*,0,-,49,45,0500000US48047,48047,G4800470,BROOKS,65,46.4,2,*,1,*,62,47,48047,G4800470,48047,G4800470,BROOKS,44,44,2,*,1,*,41,44.1,48047,G4800470,48047,G4800470,BROOKS,55,47.4,4,*,0,-,51,47.2,48047,G4800470,48047,G4800470,BROOKS,44,41.9,3,*,0,-,41,42.3,48047,G4800470,263,17,2,244
BROWN,304,74.1,222,77.9,7,*,75,67,0500000US48049,48049,G4800490,BROWN,324,76.4,238,78,11,*,75,72.1,48049,G4800490,48049,G4800490,BROWN,324,77.1,257,79.1,8,*,59,70.2,48049,G4800490,48049,G4800490,BROWN,314,75.1,243,78.1,10,*,61,67,48049,G4800490,48049,G4800490,BROWN,309,73,221,72.2,8,*,80,76.2,48049,G4800490,1575,1181,44,350
BURLESON,85,55.9,61,65.6,9,40.9,15,40.5,0500000US48051,48051,G4800510,BURLESON,101,64.3,72,66.1,14,*,15,51.7,48051,G4800510,48051,G4800510,BURLESON,81,49.4,52,57.1,7,33.3,22,42.3,48051,G4800510,48051,G4800510,BURLESON,93,61.2,68,68.7,8,38.1,17,53.1,48051,G4800510,48051,G4800510,BURLESON,118,62.8,79,71.8,16,69.6,23,41.8,48051,G4800510,478,332,54,92
BURNET,279,60.9,190,68.6,4,*,85,49.7,0500000US48053,48053,G4800530,BURNET,285,63.5,204,71.3,2,*,79,49.4,48053,G4800530,48053,G4800530,BURNET,275,65.2,192,71.9,2,*,81,53.3,48053,G4800530,48053,G4800530,BURNET,285,65.2,189,70.5,6,*,90,56.6,48053,G4800530,48053,G4800530,BURNET,297,69.2,208,76.5,3,*,86,56.2,48053,G4800530,1421,983,17,421
