county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010
GRIMES,58.8,56.6,60.5,65.2,56.4,181,164,147,135,132,109,68.1,15,35.7,57,53.8,88,58.7,33,67.3,43,47.3,92,63.4,13,52,42,57.5,85,69.1,12,*,38,58.5,96,64,10,35.7,26,46.4
LIPSCOMB,58.8,42.2,36.4,46.5,54.2,20,19,12,20,32,12,*,0,-,8,*,11,52.4,0,-,8,33.3,8,*,0,-,4,*,15,71.4,0,-,5,22.7,24,64.9,0,-,8,36.4
CALLAHAN,58.9,70.9,69.9,76.8,69.4,93,90,95,86,84,82,60.3,0,-,11,*,81,71.7,1,*,8,*,83,70.9,1,*,11,*,77,78.6,0,-,9,*,79,69.3,0,-,5,*
ELLIS,58.9,58.7,60.6,59.6,55.7,"1,218","1,187","1,098","1,144","1,119",802,66.8,109,55.6,307,45.8,822,67.8,82,48,283,44.4,750,70.5,75,47.2,273,46.3,762,66.3,78,51,304,49.4,749,63.7,85,45.2,285,44.2
DELTA,59.2,78.9,68.9,69,74.6,42,45,42,40,44,36,66.7,5,*,1,*,37,86,6,*,2,*,37,71.2,4,*,1,*,34,69.4,4,*,2,*,40,76.9,3,*,1,*
HIDALGO,59.2,64.2,65.3,66.4,58.6,"6,369","6,755","7,071","7,478","5,814",240,70.6,11,*,"6,118",58.8,254,78.2,11,*,"6,490",63.7,263,81.7,18,81.8,"6,790",64.8,286,81,17,81,"7,175",65.9,204,75.8,11,*,"5,599",58.1
UPTON,59.2,74.1,63.5,61.5,81.6,29,43,33,32,31,14,*,0,-,15,50,23,74.2,0,-,20,74.1,15,60,0,-,18,66.7,16,66.7,0,-,16,57.1,18,85.7,0,-,13,*
KAUFMAN,59.3,61.9,60.4,59.6,60.8,891,902,863,798,863,611,64.2,96,55.8,184,48.7,634,66.5,88,56.1,180,51.7,633,66.1,66,51.2,164,48,530,62.7,77,51.3,191,55.4,593,64,91,62.3,179,51.7
JEFFERSON,59.4,65.5,64.8,69.9,68.7,"1,804","1,969","1,902","2,052","2,064",794,69.2,639,57.1,371,48.1,827,74.4,699,64.1,443,55.3,826,70.7,668,65.6,408,54.6,875,76.9,702,67.3,475,63,895,75.8,744,66.4,425,60.3
POLK,59.5,53.2,57.4,57.4,58.9,276,274,275,268,285,220,62.5,11,45.8,45,51.1,204,54.3,15,36.6,55,56.1,202,59.1,28,58.3,45,50.6,192,57.3,28,65.1,48,53.9,210,61.8,23,51.1,52,52.5
BLANCO,59.6,56.1,56.5,60.9,54.1,59,37,48,53,46,42,66.7,1,*,16,45.7,30,66.7,0,-,7,33.3,41,60.3,0,-,7,*,40,66.7,0,-,13,48.1,31,58.5,0,-,15,46.9
GRAYSON,59.7,59,57.4,54.9,57.9,920,876,853,808,878,716,63.9,51,58.6,153,45.9,704,64.8,44,53,128,40.5,685,63.9,53,55.2,115,36.1,637,60.5,52,51,119,37.4,708,63.5,45,46.4,125,41.1
BOSQUE,59.9,59.6,62,59.3,49.7,94,112,111,102,97,73,61.9,0,-,21,55.3,84,64.1,3,*,25,49,80,65.6,2,*,29,55.8,76,67.3,4,*,22,42.3,78,54.5,1,*,18,37.5
GALVESTON,59.9,62.1,63.1,65.1,64.7,"2,440","2,426","2,431","2,516","2,520","1,505",61.2,292,54.5,643,59.8,"1,432",63.2,317,57.7,677,61.9,"1,480",65.3,270,55.1,681,62.2,"1,522",67.3,273,55.2,721,65.1,"1,471",66.3,302,57.3,747,65
SOMERVELL,60,75.8,64.9,56.5,67,51,69,61,39,65,32,60.4,0,-,19,61.3,46,76.7,0,-,23,74.2,46,70.8,1,*,14,50,33,60,1,*,5,*,51,78.5,0,-,14,43.8
ANDERSON,60.1,64.2,63.4,63.1,55.5,341,370,355,382,315,228,65.7,51,57.3,62,47.3,249,74.1,46,47.9,75,52.1,241,67.5,44,54.3,70,57.4,234,64.5,52,57.8,96,63.2,211,59.1,34,42,70,53.8
SHELBY,60.1,54.7,55.2,58.7,53.9,200,193,201,193,180,108,59.7,28,53.8,64,64,124,61.7,19,33.3,50,52.6,121,59.6,17,34,63,56.8,106,57.9,29,49.2,58,66.7,103,62.8,33,45.2,44,45.4
LEON,60.4,59,63.5,59.5,56,116,108,132,103,103,94,70.1,4,*,18,36,83,64.8,5,*,20,44.4,104,65.8,5,*,23,53.5,85,64.9,5,*,13,43.3,77,59.7,3,*,23,47.9
SUTTON,60.4,56.9,48.1,48.2,38.1,32,33,26,27,16,18,78.3,0,-,14,46.7,11,*,1,*,21,55.3,13,*,0,-,13,37.1,10,*,0,-,17,44.7,8,*,0,-,8,28.6
BRAZORIA,60.6,63.6,63.8,64.3,63,"2,763","2,847","2,839","2,712","2,975","1,635",63.2,272,58.4,856,57,"1,620",66.2,295,64.8,932,59.4,"1,691",66.7,266,61.3,882,59.7,"1,604",67.6,239,59.5,869,60.1,"1,766",67.5,302,61.1,907,56.2
WASHINGTON,60.7,54.7,57.3,58.6,57.5,236,199,205,231,223,155,72.4,41,56.9,40,38.8,123,65.1,35,44.3,41,42.7,128,67.4,29,50.9,48,43.2,141,74.2,43,53.1,47,38.2,131,68.6,48,51.1,44,42.7
BEXAR,60.9,59.8,65,71,72.4,"15,854","15,035","15,844","15,923","15,742","5,502",72,956,55.7,"9,396",56.4,"5,093",71.2,880,53.9,"9,062",55.4,"5,039",73,891,60.2,"9,914",62,"4,566",75.5,"1,014",67.4,"10,343",69.6,"4,259",77.3,960,65.7,"10,523",71.3
KINNEY,60.9,62.5,48.6,52.6,51.7,14,20,17,20,15,4,*,0,-,10,*,5,*,0,-,15,57.7,10,*,0,-,7,*,8,*,0,-,12,50,4,*,0,-,11,47.8
JASPER,61.1,65.2,64.6,65.1,64.7,232,288,270,298,302,170,63,40,52.6,22,64.7,229,69.6,39,56.5,20,45.5,209,70.1,41,48.2,20,57.1,238,69,48,60,12,36.4,233,68.9,47,53.4,22,53.7
COMANCHE,61.5,63.8,59.4,59.8,58.6,83,97,92,101,99,44,67.7,1,*,38,55.9,61,66.3,0,-,36,60,61,61,0,-,31,56.4,68,68,0,-,33,47.8,63,67,0,-,36,48
ERATH,61.5,59,60.5,58.2,61.2,322,286,296,287,275,248,68.1,2,*,72,45.9,225,63.6,2,*,59,46.1,219,66.4,3,*,74,47.7,211,63.9,1,*,75,46.3,200,65.6,2,*,73,51.8
JONES,61.6,60.2,65.8,60.9,60.7,114,109,121,98,102,79,63.2,4,*,31,59.6,81,68.1,3,*,25,43.1,89,71.8,6,*,26,52,74,64.3,4,*,20,51.3,73,65.8,5,*,24,48
LEE,61.6,64.2,69.3,69.7,68,133,113,131,124,132,60,57.1,13,56.5,60,68.2,59,64.8,5,*,49,63.6,84,75.7,12,*,35,58.3,71,80.7,6,*,47,58.8,77,77,12,57.1,43,58.9
COOKE,61.7,57.9,57.5,56.9,54,340,298,324,275,271,272,68,9,*,59,43.4,239,68.1,8,*,51,34.7,263,67.3,10,*,51,33.3,222,62.7,11,*,42,37.2,213,62.3,8,*,50,34.2
MADISON,61.7,64,52.5,57.4,58.5,95,87,73,62,72,65,83.3,13,46.4,17,35.4,52,73.2,13,59.1,22,51.2,39,54.9,13,48.1,21,51.2,42,65.6,5,*,15,50,41,57.7,14,58.3,17,60.7
BEE,62.3,64.1,63.5,63.5,67.3,256,248,223,242,233,56,64.4,5,*,195,61.9,76,79.2,1,*,171,59.4,56,60.9,5,*,162,64,70,73.7,1,*,171,60.2,56,70,4,*,173,66.5
ANDREWS,62.4,66,61.9,60.5,69.4,212,217,195,159,175,84,68.9,1,*,127,58.5,81,77.1,0,-,136,61,75,69.4,2,*,118,58.1,66,66.7,2,*,91,56.5,80,79.2,0,-,95,62.9
CASTRO,62.4,57.6,59.4,48.9,48.5,73,68,82,67,63,19,76,1,*,53,58.2,22,78.6,0,-,46,52.3,20,87,0,-,62,54.4,21,84,3,*,43,40.2,20,62.5,3,*,40,43.5
WHARTON,62.4,53.8,61.6,56.9,54.9,340,278,319,300,284,137,75.3,43,61.4,160,54.6,130,72.6,38,50,110,42,141,80.1,31,44.3,147,54,137,74.9,36,52.2,127,46.2,127,71.3,30,43.5,127,47
TYLER,62.6,61.4,62.5,63.1,61.3,132,132,150,130,136,114,64.8,12,50,6,*,116,61.4,12,*,4,*,136,65.1,7,33.3,7,*,117,64.6,7,*,6,*,115,63.5,14,51.9,7,*
DALLAM,62.7,64.7,61.8,63.4,55.9,79,90,89,85,76,44,72.1,1,*,34,54,55,77.5,0,-,35,51.5,56,71.8,0,-,33,50.8,46,69.7,0,-,39,60,47,59.5,1,*,28,50
HOOD,62.7,67.9,65.5,66.8,66.2,360,404,367,360,364,318,67.5,2,*,40,39.6,353,72.8,0,-,51,46.4,318,68.5,5,*,44,48.4,317,70.4,2,*,41,48.2,305,69.6,1,*,58,52.3
MONTAGUE,62.7,62,61.6,58.9,57.8,136,134,138,123,148,117,65,0,-,19,51.4,119,65.4,1,*,14,42.4,127,66.8,0,-,11,33.3,103,59.5,1,*,19,54.3,133,61.6,0,-,15,37.5
NEWTON,62.7,60.9,65.9,63.4,51.5,84,84,89,92,67,69,63.9,11,50,4,*,67,60.9,16,66.7,1,*,74,66.7,14,63.6,1,*,74,66.7,15,53.6,3,*,49,59,18,38.3,0,-
UVALDE,62.7,66.5,63.5,61.8,56.9,252,276,233,239,230,63,67,0,-,189,61.6,61,65.6,1,*,214,66.7,70,72.2,1,*,162,60.2,52,66.7,4,*,183,60,60,65.9,1,*,169,54.2
BURLESON,62.8,61.2,49.4,64.3,55.9,118,93,81,101,85,79,71.8,16,69.6,23,41.8,68,68.7,8,38.1,17,53.1,52,57.1,7,33.3,22,42.3,72,66.1,14,*,15,51.7,61,65.6,9,40.9,15,40.5
HALE,62.8,64.3,57,61.4,55.7,290,331,306,344,342,94,71.2,9,*,187,59.4,112,73.2,13,*,206,60.1,83,64.8,8,*,215,54.7,87,66.4,16,69.6,241,59.4,119,71.7,12,46.2,211,50
HUTCHINSON,62.9,65.2,66.1,67.2,63.4,193,197,205,213,166,153,68,6,*,34,48.6,146,68.9,1,*,50,57.5,152,69.7,2,*,51,58,160,74.1,0,-,53,55.2,125,67.6,1,*,40,54.8
MIDLAND,62.9,67,58.6,56.7,59.1,"1,772","1,803","1,466","1,307","1,333",910,73,69,45.4,793,55.9,927,73.9,77,57.9,799,61.3,787,68.3,74,55.2,605,49.8,694,67.2,63,52.9,550,47.7,686,68.6,60,47.6,587,51.9
MONTGOMERY,62.9,61.6,64,63.8,61.5,"4,274","4,022","4,020","4,011","3,864","3,020",67.7,171,55.5,"1,083",53.5,"2,927",66.4,134,49.3,961,52.1,"2,841",68.1,141,57.3,"1,038",55.6,"2,887",67.8,143,53,981,55.7,"2,735",65.6,131,48.2,998,54.2
ORANGE,62.9,65.8,70.4,71.9,68.9,611,637,701,670,617,525,64.3,39,52,47,58,532,67.8,56,54.4,49,61.3,589,73.8,58,52.3,54,62.1,570,74.4,57,58.2,43,63.2,524,70.8,45,53.6,48,67.6
GUADALUPE,63.1,64.3,63.6,61,60.3,"1,078","1,081","1,048",884,888,603,69.7,55,71.4,420,54.8,619,70.9,52,66.7,410,56.2,640,70.6,28,48.3,380,55.6,515,69.3,33,53.2,336,52.1,490,68.4,50,66.7,348,51
WILLACY,63.2,64.7,57.1,59.2,54.8,180,196,181,173,193,9,*,0,-,171,62.4,5,*,0,-,191,65.9,5,*,1,*,175,56.6,8,*,0,-,165,59.1,5,*,0,-,188,55.8
COKE,63.3,60,72.4,50,50,19,18,21,14,13,15,68.2,0,-,4,*,14,60.9,0,-,4,*,18,78.3,0,-,3,*,7,*,0,-,7,*,10,*,0,-,3,*
RUNNELS,63.3,54.2,63.3,68.8,57.4,62,52,62,88,74,43,74.1,1,*,18,46.2,33,56.9,1,*,18,48.6,40,70.2,1,*,21,52.5,57,79.2,0,-,31,57.4,50,70.4,1,*,23,41.1
CHILDRESS,63.4,66.2,64.7,56.5,59,52,45,44,48,49,38,73.1,4,*,10,43.5,31,75.6,1,*,13,50,30,71.4,1,*,13,52,23,62.2,4,*,21,47.7,36,64.3,2,*,11,47.8
WILBARGER,64.2,77.8,71.8,70.9,69.1,97,123,122,122,125,63,74.1,6,*,28,53.8,81,87.1,2,*,40,67.8,69,72.6,6,*,47,71.2,80,75.5,8,*,34,65.4,75,74.3,8,*,42,62.7
DONLEY,64.3,58.8,53.8,57.7,45.7,18,20,21,15,16,12,*,2,*,4,*,17,63,1,*,2,*,18,56.3,1,*,2,*,13,*,0,-,2,*,12,44.4,0,-,4,*
HANSFORD,64.4,49.4,54.7,54.5,54.1,56,40,41,42,46,32,88.9,0,-,24,48,22,61.1,0,-,18,40,19,86.4,0,-,22,41.5,24,70.6,0,-,18,41.9,24,68.6,0,-,22,44
MCLENNAN,64.6,62.2,64.2,59.5,62.5,"2,161","2,068","2,054","1,944","2,058","1,234",72.2,251,54.2,676,57.7,"1,117",68.5,286,52.6,665,57.9,"1,137",69.3,303,58.8,614,58.8,"1,080",64.9,230,51.1,634,55,"1,114",68.4,301,58.1,643,56.1
STEPHENS,64.6,68.8,76.5,60.8,57.3,62,77,75,59,63,39,63.9,0,-,23,65.7,50,70.4,2,*,25,64.1,58,79.5,1,*,16,66.7,43,67.2,0,-,16,48.5,47,65.3,2,*,14,40
JOHNSON,64.7,63.8,63.6,65.9,61.1,"1,302","1,236","1,218","1,260","1,204","1,005",68.3,32,69.6,265,53.6,993,69.9,31,73.8,212,44.7,964,70.4,25,59.5,229,45.5,975,70.3,24,70.6,261,53.3,957,65.6,25,59.5,222,47.3
HILL,64.8,62.7,59.3,55.6,62,265,237,239,239,269,175,69.7,15,46.9,75,59.5,157,66.8,16,61.5,64,54.7,164,66.1,13,50,62,48.1,162,62.8,8,28.6,69,47.9,181,66.5,21,60,67,52.8
WALLER,64.8,71.2,65.6,55.8,60.1,415,405,362,290,349,192,73.3,40,54.8,183,60,170,79.8,53,66.3,182,65.9,140,70,57,55.3,165,66.3,134,71.3,41,40.2,115,50,132,66.3,67,54.5,150,57.9
LLANO,64.9,68.2,71.1,64,65.4,100,101,108,89,102,85,66.4,1,*,14,58.3,84,69.4,0,-,17,65.4,91,73.4,2,*,15,57.7,70,68,3,*,16,48.5,74,64.3,1,*,27,67.5
ZAVALA,64.9,69.2,66.5,64.8,53.5,126,139,139,125,107,11,*,0,-,115,63.9,8,*,0,-,131,68.6,6,*,0,-,133,67.5,5,*,0,-,120,65.2,5,*,0,-,102,54.5
FORT BEND,65,65.7,64.7,67,64.6,"5,777","5,357","5,099","5,004","4,899","3,457",72.2,935,52.9,"1,385",59.3,"3,148",71.4,874,57.4,"1,335",60.1,"3,056",72,794,54.1,"1,249",57.7,"2,867",73.7,858,59.1,"1,279",60.1,"2,799",73.6,817,54.5,"1,283",56.1
COLEMAN,65.1,55.8,57.9,58.3,63.4,54,48,55,56,64,46,68.7,1,*,7,*,39,57.4,0,-,9,*,40,57.1,0,-,15,62.5,43,57.3,0,-,13,61.9,50,67.6,2,*,12,52.2
ROCKWALL,65.1,67.2,66.8,69.5,69.2,631,647,633,666,640,494,70.1,24,48,113,52.8,505,71.2,27,65.9,115,54,510,72.9,20,45.5,103,50.7,506,72.8,32,61.5,128,60.7,509,72.9,25,62.5,106,56.7
MENARD,65.2,66.7,61.9,*,*,15,16,13,11,5,8,*,0,-,7,*,8,*,1,*,7,*,6,*,0,-,7,*,7,*,0,-,4,*,4,*,0,-,1,*
REEVES,65.2,76.2,65,67.1,69.3,129,147,106,104,113,16,69.6,1,*,112,64.4,20,95.2,2,*,125,73.5,12,52.2,0,-,94,67.1,14,*,1,*,89,65.4,16,76.2,0,-,97,68.3
TAYLOR,65.2,67.3,71.7,71.1,66.4,"1,378","1,342","1,465","1,437","1,310",963,68.8,79,54.1,336,58.9,928,72.3,94,62.3,320,57.1,998,75.7,88,57.9,379,66,"1,017",77.3,95,56.5,325,60.6,908,70.2,98,60.9,304,58.5
MEDINA,65.4,66.6,69.5,70.9,71.6,367,331,323,312,341,175,72,1,*,191,60.8,147,73.5,0,-,184,62,147,77.4,0,-,176,64,139,79.9,3,*,170,64.6,154,78.6,0,-,187,67.5
MILAM,65.4,58.3,66.8,58.7,59.1,166,130,133,105,123,103,73.6,12,57.1,51,54.8,91,72.8,5,*,34,43,71,70.3,13,*,49,61.3,76,70.4,3,*,26,41.9,75,67.6,7,*,41,50
WALKER,65.4,62.2,67.8,71.2,68.9,430,387,390,423,418,253,69.7,91,63.2,86,57.3,218,63,66,55,103,66,226,70,65,61.3,99,67.8,255,74.8,80,66.7,88,66.2,238,70.4,78,65,102,68.5
EL PASO,65.7,64.7,62.5,58.1,58.2,"8,428","8,255","8,320","7,699","7,625","1,406",71.5,284,71.7,"6,738",64.3,"1,247",68.2,230,68.2,"6,778",63.9,"1,349",66.7,228,62.1,"6,743",61.8,"1,098",58.6,214,55.3,"6,387",58.1,"1,015",62.1,186,58.7,"6,424",57.6
WINKLER,65.7,78.5,62.1,63.6,63.1,88,102,82,68,65,34,72.3,2,*,52,61.2,33,82.5,2,*,67,76.1,31,72.1,1,*,50,57.5,19,67.9,1,*,48,61.5,25,67.6,1,*,39,60
TOM GREEN,65.8,64.6,63.1,59.4,62.3,"1,089","1,004",937,905,963,630,72,22,47.8,437,59.5,577,70.7,23,57.5,404,58,578,71.5,18,58.1,341,52.7,569,68.8,34,57.6,302,47.4,585,71.7,27,52.9,351,51.8
LUBBOCK,65.9,63.5,63.7,63.3,62.4,"2,783","2,612","2,494","2,448","2,538","1,529",73.1,190,56.4,"1,064",59.3,"1,489",69.7,173,51.5,950,57.8,"1,380",69.3,191,57.9,923,57.9,"1,407",71.2,148,50.3,893,55.9,"1,419",70.8,163,54,956,54.2
BRAZOS,66,61.9,65.7,68.9,62.5,"1,672","1,437","1,411","1,436","1,286","1,003",74.1,150,48.2,519,59.7,846,68.9,131,43,460,58.3,862,70.3,114,50.7,435,62.5,863,75.6,135,52.7,438,63.8,750,69.1,134,50.4,402,57
MILLS,66.1,63.3,56.3,68.4,62,37,31,18,26,31,29,70.7,0,-,8,*,28,70,0,-,3,*,15,62.5,0,-,3,*,18,64.3,0,-,8,*,20,58.8,0,-,11,*
FLOYD,66.2,49.4,56.7,59.3,52.1,43,39,51,48,50,10,*,0,-,33,62.3,10,*,1,*,28,45.9,20,76.9,0,-,31,49.2,17,70.8,1,*,30,53.6,14,63.6,3,*,33,46.5
DENTON,66.7,66.8,69.7,69.1,67,"6,520","6,329","6,440","6,312","5,986","4,741",73.1,494,60.9,"1,285",52,"4,603",73.8,463,56.4,"1,263",52.3,"4,689",76.8,496,61.1,"1,255",54.2,"4,644",76.3,442,58.7,"1,226",53.4,"4,398",74.4,389,56.1,"1,199",51.3
HOPKINS,66.7,75.2,76.6,72.6,69.9,313,321,347,350,351,236,70,13,54.2,64,59.3,233,77.9,20,69,68,68.7,255,78.2,21,72.4,71,72.4,253,78.6,20,54.1,77,62.6,248,74.3,22,59.5,81,61.8
ZAPATA,66.7,80.6,78.9,85,74,178,208,217,244,245,2,*,0,-,176,66.7,5,*,0,-,203,80.6,7,*,0,-,210,78.4,6,*,0,-,238,85.3,9,*,0,-,236,73.8
HARDIN,66.9,70.9,70.8,74.1,76,443,491,485,473,530,407,67.8,16,51.6,20,64.5,447,73,19,46.3,25,62.5,443,72.1,30,62.5,12,52.2,410,74.3,36,72,27,75,474,77.8,31,59.6,25,69.4
DAWSON,67.1,62.6,62.2,54.5,50.8,110,117,117,97,94,43,82.7,4,*,63,59.4,42,76.4,3,*,72,58.5,49,69,3,*,65,57.5,37,66.1,1,*,59,49.6,35,56.5,5,*,54,47.4
GOLIAD,67.1,82,72.6,64.9,75,51,41,45,37,54,35,83.3,2,*,14,45.2,22,88,1,*,18,81.8,22,68.8,1,*,22,75.9,21,67.7,1,*,15,65.2,33,80.5,1,*,20,74.1
HAMILTON,67.5,67.5,63,63.2,53,54,54,58,60,44,47,72.3,0,-,7,*,45,75,0,-,9,*,51,68,0,-,7,*,52,68.4,0,-,8,*,37,55.2,0,-,7,*
WARD,67.7,87.4,73.2,62,77.2,126,167,123,101,105,49,73.1,7,*,70,63.6,73,92.4,9,*,85,82.5,58,77.3,4,*,61,69.3,44,56.4,9,*,48,66.7,49,80.3,9,*,47,74.6
LAMPASAS,67.8,72.8,66.7,65.3,61.6,158,166,130,128,138,124,72.9,5,*,29,53.7,116,73.9,4,*,46,68.7,98,68.5,0,-,32,65.3,95,68.8,1,*,32,56.1,90,64.3,1,*,47,58.8
COLLINGSWORTH,67.9,54.8,48.8,48.1,52.6,19,23,20,26,30,11,*,1,*,7,*,15,*,3,*,5,*,12,54.5,0,-,8,*,13,44.8,1,*,12,50,17,70.8,0,-,13,40.6
HAYS,67.9,69.5,72.3,69.8,69.7,"1,600","1,473","1,479","1,428","1,451",922,77,32,59.3,646,58.5,799,77.1,41,74.5,633,61.5,826,78.8,37,75.5,616,64.9,798,78,33,57.9,597,61.8,772,76.1,38,69.1,641,63.2
LAVACA,68,65.1,73.8,73.8,70.1,164,123,166,155,141,128,80,11,*,25,38.5,87,76.3,2,*,34,52.3,121,79.1,5,*,40,62.5,111,82.8,11,*,33,55.9,91,76.5,11,*,39,61.9
HARDEMAN,68.2,43.2,60,48.7,43.5,30,16,24,19,20,21,77.8,1,*,8,*,12,46.2,0,-,4,*,15,68.2,0,-,9,*,13,52,0,-,6,*,10,45.5,3,*,7,*
YOUNG,68.3,71,75.1,71,68.3,157,159,184,154,155,121,72.9,0,-,36,57.1,129,75.9,0,-,30,56.6,146,81.1,2,*,36,57.1,124,77.5,2,*,28,50.9,126,76.4,1,*,28,45.9
WEBB,68.5,75.1,77.7,81.7,72,"3,391","3,968","4,146","4,355","3,911",85,82.5,1,*,"3,305",68.2,142,88.8,4,*,"3,822",74.6,141,87.6,6,*,"3,999",77.4,127,87.6,1,*,"4,227",81.5,140,90.9,1,*,"3,770",71.4
COLLIN,68.6,72.8,74.3,74.7,72.5,"7,376","7,643","7,606","7,673","7,630","5,642",72.7,570,59.1,"1,164",57.3,"5,962",78.4,591,61.6,"1,090",56.4,"5,947",79.7,555,63.6,"1,104",58.3,"5,902",79.7,622,66,"1,149",59.4,"5,957",78.4,597,61.1,"1,076",55.3
BASTROP,68.7,72.2,67.1,69.2,67.7,711,701,564,564,565,357,76.3,39,67.2,315,61.9,381,79.9,34,72.3,286,64,300,73.7,31,60.8,233,61,297,74.4,35,70,232,63.4,321,78.9,26,59.1,218,56.8
BURNET,69.2,65.2,65.2,63.5,60.9,297,285,275,285,279,208,76.5,3,*,86,56.2,189,70.5,6,*,90,56.6,192,71.9,2,*,81,53.3,204,71.3,2,*,79,49.4,190,68.6,4,*,85,49.7
DIMMIT,69.3,66,72.9,60.2,67.2,131,126,140,100,86,7,*,0,-,124,70.5,8,*,0,-,118,68.2,13,*,1,*,126,72.8,9,*,0,-,91,60.7,4,*,1,*,81,66.9
DEWITT,69.4,66.9,65.8,62.4,66.7,200,164,160,138,152,113,74.8,6,*,81,67.5,102,73.4,8,*,54,58.7,82,73.9,13,*,65,58,67,69.8,4,*,67,58.3,82,70.1,11,*,59,62.8
CARSON,69.6,80.8,70.8,82.8,71,48,42,46,53,44,44,69.8,0,-,4,*,40,83.3,1,*,1,*,41,70.7,0,-,5,*,49,83.1,0,-,4,*,40,76.9,0,-,4,*
CAMERON,69.8,73.8,69.8,69,64.3,"5,005","5,400","5,094","5,185","4,983",249,73.2,10,*,"4,746",69.7,237,69.7,12,*,"5,151",74,184,67.6,10,*,"4,900",69.9,208,65.2,10,*,"4,967",69.2,226,67.5,7,*,"4,750",64.1
NOLAN,69.9,68.3,67.9,69,58.4,160,149,129,127,115,82,68.3,9,*,69,71.1,79,76.7,10,*,60,60,77,72.6,5,*,47,60.3,75,75,7,*,45,61.6,68,66.7,9,*,38,46.9
BELL,70,72.3,70.9,69.5,68.6,"3,672","3,768","3,392","3,170","3,604","2,041",73.8,798,67.1,833,64.6,"2,116",75.8,775,70.4,877,66.6,"1,977",74.1,688,67.7,727,66.1,"1,730",72.1,764,69.5,676,63.6,"2,019",71.6,792,67.8,793,62.9
JACKSON,70.1,78.5,72.2,78.2,75,141,139,135,140,144,86,80.4,9,*,46,60.5,80,85.1,7,*,52,72.2,75,76.5,9,*,51,68.9,78,84.8,8,*,54,73,84,81.6,9,*,51,69.9
KENDALL,70.3,66.2,67.9,68.6,68.1,242,202,222,199,179,180,76.9,1,*,61,56,155,76.4,0,-,47,46.1,166,77.6,1,*,55,49.1,143,79,1,*,55,50.9,123,75.9,1,*,55,55
MCCULLOCH,70.7,69.9,61.9,62.6,63.8,58,58,60,67,67,39,79.6,1,*,18,56.3,39,75,0,-,19,61.3,37,68.5,0,-,23,54.8,42,65.6,1,*,24,58.5,47,75.8,1,*,19,45.2
MITCHELL,70.7,51.1,57.8,59.8,55.6,65,48,59,64,55,36,70.6,0,-,29,72.5,29,63,1,*,18,39.1,29,54.7,1,*,29,60.4,42,68.9,1,*,21,50,29,52.7,0,-,26,60.5
SAN SABA,70.8,69.8,58.9,58,58.6,46,37,43,40,34,21,67.7,0,-,25,73.5,18,69.2,0,-,19,70.4,28,71.8,0,-,15,44.1,26,70.3,0,-,14,43.8,23,79.3,0,-,11,37.9
CALHOUN,70.9,71.7,68.1,67.7,59.6,212,208,169,180,174,87,76.3,1,*,124,68.1,91,76.5,2,*,115,68.9,71,76.3,4,*,94,63.1,70,71.4,1,*,109,65.3,78,66.1,4,*,92,54.8
FAYETTE,71,62.5,71.8,72.9,72.5,171,150,145,180,169,108,80,8,*,55,60.4,100,70.9,10,*,40,48.2,98,83.8,9,*,38,54.3,117,77,12,*,51,63.8,95,79.8,14,*,60,63.8
ECTOR,71.3,80,66.6,66.2,72.4,"2,241","2,306","1,828","1,617","1,759",755,76.1,60,63.2,"1,426",69.3,758,83.4,57,70.4,"1,491",78.8,631,70.3,60,63.8,"1,137",64.9,533,68.3,57,65.5,"1,027",65.2,612,78.9,77,78.6,"1,070",68.8
CORYELL,71.6,74.5,71.2,70.3,68,712,712,591,629,619,522,73.4,68,64.2,122,68.9,512,75.2,79,73.1,121,72.5,424,71.1,62,77.5,105,68.2,468,71.9,69,66.3,92,65.7,455,69.6,73,66.4,91,62.3
PALO PINTO,71.7,70.4,71.8,65.7,65.9,259,262,270,241,234,204,78.5,5,*,50,52.6,192,74.7,3,*,67,60.9,194,74.6,5,*,71,64.5,177,69.7,4,*,60,56.1,176,71,2,*,56,56.6
BREWSTER,71.8,67,65.8,67.3,58.1,74,77,75,72,75,40,71.4,0,-,34,72.3,38,73.1,0,-,39,62.9,39,67.2,0,-,36,64.3,37,80.4,1,*,34,57.6,35,59.3,1,*,39,57.4
CONCHO,72,*,56.5,54.3,42.3,18,14,13,19,11,12,*,0,-,6,*,9,*,0,-,5,*,9,*,0,-,4,*,16,72.7,0,-,3,*,7,*,1,*,3,*
RANDALL,72.1,74.3,73.9,76.3,69.2,"1,269","1,251","1,192","1,257","1,071",950,76.2,41,57.7,278,63,952,76.7,32,58.2,267,69,925,77.1,30,56.6,237,65.8,974,77.9,27,61.4,256,72.5,844,72.9,20,46.5,207,59.7
