county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010
CAMP,49.5,59.9,56.9,62,62.6,107,124,107,93,124,58,60.4,16,43.2,33,39.8,67,66.3,22,64.7,35,48.6,55,66.3,23,53.5,29,46.8,52,77.6,16,53.3,25,47.2,66,75.9,23,54.8,35,50.7
SMITH,50.1,45.3,54.3,57.3,50,"1,540","1,359","1,456","1,409","1,188","1,024",61.7,192,39.8,324,34.7,887,55.7,199,38.1,273,30.7,935,62.1,194,44.1,327,44.5,970,67.5,186,43.8,253,42.3,834,60.4,155,38.1,199,33.7
MOORE,50.8,52.2,53.8,50.3,45.2,213,226,221,198,177,90,56.6,1,*,122,47.5,86,51.5,5,*,135,52.5,78,52.7,3,*,140,54.5,80,51.3,3,*,115,49.6,65,45.1,1,*,111,45.3
CHEROKEE,51,48.9,50.2,53.7,57.8,355,355,347,360,402,229,59.3,42,53.8,84,36.2,199,55.4,51,50,105,39.6,224,57.7,39,44.3,84,39.1,235,63.2,35,47.3,90,40.2,217,61.1,51,54.3,134,54.3
SAN PATRICIO,51,57.1,63.9,61.7,64.3,520,525,547,531,573,198,55.3,6,*,316,48.6,198,66,10,*,317,52.1,231,73.3,0,-,316,59,214,68.4,4,*,313,58.3,222,73.3,3,*,348,60.1
FREESTONE,51.1,56,60.1,60,54.3,97,116,137,141,113,71,62.3,13,40.6,13,29.5,76,63.9,16,51.6,24,42.1,94,71.2,18,58.1,25,38.5,87,61.7,23,65.7,31,52.5,79,59.8,9,32.1,25,52.1
HOUSTON,51.1,62.3,68,61.9,56.9,94,142,172,130,140,64,55.7,22,52.4,8,29.6,78,67.2,46,59.7,18,51.4,112,77.8,40,61.5,20,45.5,79,67.5,33,58.9,18,48.6,85,68,35,47.9,20,41.7
PRESIDIO,51.1,42,47.6,34.3,39.6,71,55,50,37,53,8,*,1,*,62,49.2,8,*,0,-,47,41.2,4,*,0,-,46,46.5,5,*,0,-,32,33,7,*,1,*,45,38.8
CULBERSON,51.9,71,56.7,76,40.7,14,22,17,19,11,3,*,0,-,11,50,2,*,0,-,20,76.9,3,*,0,-,14,53.8,4,*,0,-,15,*,3,*,0,-,8,36.4
JIM WELLS,52.2,58.1,48.5,49.7,52.1,289,311,252,294,342,47,54,0,-,242,52,53,63.9,1,*,257,57.2,49,63.6,0,-,203,45.9,60,66.7,0,-,234,46.8,76,66.1,1,*,265,49.3
MARION,52.3,55.3,53.3,57.1,54.8,45,52,57,52,51,32,50,11,*,2,*,34,54,13,54.2,5,*,45,59.2,10,41.7,2,*,42,61.8,7,*,3,*,37,62.7,11,37.9,3,*
WOOD,52.4,58.4,60.7,64.1,56.4,217,233,239,234,225,182,55.3,4,*,31,43.7,197,59.9,8,*,28,46.7,202,65.4,2,*,35,46.7,203,67.9,5,*,26,44.1,201,61.3,4,*,20,31.7
STARR,52.6,56.1,53.6,57.3,44.7,391,417,411,505,369,4,*,0,-,387,52.4,2,*,0,-,415,56.2,5,*,0,-,406,53.4,4,*,0,-,501,57.3,3,*,0,-,366,44.5
WHEELER,52.6,63,59.7,63.3,55.3,50,46,43,38,42,28,53.8,1,*,21,52.5,29,69,0,-,17,54.8,24,61.5,1,*,18,60,26,61.9,1,*,11,*,29,65.9,0,-,13,43.3
MORRIS,52.8,57.3,55.5,67.1,58.9,75,90,91,108,89,53,59.6,13,44.8,9,37.5,65,65.7,17,44.7,8,*,61,57.5,16,47.1,14,58.3,68,65.4,27,71.1,13,*,62,65.3,16,48.5,11,47.8
REAL,52.8,46.9,51.6,54.5,48.6,19,15,16,18,18,13,54.2,0,-,6,*,9,42.9,0,-,6,*,11,52.4,0,-,5,*,13,56.5,0,-,5,*,13,54.2,0,-,5,*
HUDSPETH,52.9,47.4,42.5,61.5,43.8,18,18,17,32,21,0,-,0,-,18,54.5,0,-,0,-,18,50,3,*,0,-,14,37.8,2,*,0,-,30,61.2,2,*,0,-,19,46.3
FALLS,53.1,51.2,52.2,41.5,56.1,93,83,82,68,87,38,60.3,25,48.1,30,50,45,66.2,14,29.8,24,51.1,40,59.7,20,42.6,22,51.2,31,45.6,16,32,21,45.7,43,75.4,25,43.1,19,47.5
PARMER,53.4,49.3,53,54.9,52.2,63,69,79,90,71,23,63.9,1,*,39,48.1,29,59.2,0,-,40,44,28,66.7,0,-,51,47.7,32,80,1,*,57,46.3,22,62.9,0,-,49,48.5
MARTIN,53.8,47.5,48.3,52.7,63.9,64,47,42,39,53,34,54.8,0,-,30,52.6,19,48.7,0,-,28,46.7,21,58.3,1,*,20,40,20,60.6,0,-,19,46.3,28,71.8,0,-,25,56.8
REFUGIO,53.8,62.9,67.9,82.2,61,49,44,55,74,50,24,50,5,*,20,54.1,12,*,4,*,28,62.2,26,72.2,0,-,29,64.4,31,91.2,6,*,37,75.5,18,64.3,0,-,32,60.4
HOWARD,54,60.7,64.8,58.4,61.9,273,267,297,226,280,169,63.1,3,*,101,44.3,156,71.2,3,*,108,50.9,158,69.6,6,*,133,60.7,120,67,2,*,104,52,150,66.4,7,*,123,57.5
RED RIVER,54,63.6,56.7,67.5,69.3,67,98,72,83,95,54,59.3,6,*,7,*,80,70.8,11,47.8,7,*,61,69.3,9,32.1,2,*,65,75.6,12,*,6,*,74,76.3,13,56.5,8,*
SAN JACINTO,54.2,55.8,53.1,58.7,48.1,149,154,144,149,136,108,54.5,16,57.1,25,51,122,58.7,12,38.7,20,54.1,101,50,12,54.5,31,66,112,58.9,13,54.2,24,60,109,49.8,10,40,17,43.6
HALL,54.5,64.5,54.5,52.5,62.5,18,20,18,21,20,7,*,2,*,9,*,5,*,2,*,13,*,10,*,0,-,8,*,12,*,4,*,5,*,8,*,1,*,11,*
LAMB,54.5,52.1,59.6,48.8,52.8,108,101,106,105,115,36,62.1,3,*,69,52.7,39,66.1,0,-,62,48.8,42,68.9,4,*,60,54.1,45,60,1,*,59,42.8,41,68.3,3,*,71,46.7
MATAGORDA,54.7,56.6,55,51.8,46.2,304,282,265,263,240,129,69,20,33.9,155,50,126,66,18,42.9,138,52.1,114,62,25,53.2,126,50.2,98,52.1,23,52.3,142,51.4,108,57.4,28,42.4,104,39.2
AUSTIN,55.1,57.4,60.2,59.2,53,193,182,197,189,184,118,64.1,16,43.2,59,45.7,106,67.1,12,34.3,64,51.6,121,70.8,21,56.8,55,46.2,106,65.4,14,51.9,69,53.1,107,58.8,14,41.2,63,48.1
CASS,55.1,53.4,52.2,53.6,53.3,188,188,176,162,187,148,61.4,33,39.3,7,*,142,56.3,32,43.8,14,51.9,138,55.6,30,40.5,8,*,136,59.1,21,36.8,5,*,144,55.4,31,44.3,12,57.1
