county,percent_2015,percent_2014,percent_2013,percent_2012,percent_2011,number_2015,number_2014,number_2013,number_2012,number_2011
GLASSCOCK,*,*,*,*,*,7,11,10,9,7
GOLIAD,72.7,67.1,82,72.6,64.9,56,51,41,45,37
GONZALES,57.2,44.3,50.5,49.6,43.3,194,141,141,133,119
GRAY,60,58.6,68.4,62.6,65,201,198,232,214,210
GRAYSON,57.3,59.7,59,57.4,54.9,880,920,876,853,808
GREGG,62.4,55.9,46.5,49,54.8,"1,150","1,086",862,938,"1,033"
GRIMES,63.7,58.8,56.6,60.5,65.2,191,181,164,147,135
GUADALUPE,61.8,63.1,64.3,63.6,61,"1,106","1,078","1,081","1,048",884
HALE,57.3,62.8,64.3,57,61.4,275,290,331,306,344
HALL,71.4,54.5,64.5,54.5,52.5,15,18,20,18,21
HAMILTON,65.9,67.5,67.5,63,63.2,60,54,54,58,60
HANSFORD,58.3,64.4,49.4,54.7,54.5,42,56,40,41,42
HARDEMAN,46,68.2,43.2,60,48.7,23,30,16,24,19
HARDIN,63.8,66.9,70.9,70.8,74.1,425,443,491,485,473
HARRIS,58.6,57.9,59.2,58.5,58.2,"40,040","38,750","38,294","37,055","36,202"
HARRISON,61,56,52.2,55.1,61,489,460,424,448,526
HARTLEY,61.1,83.3,76.5,81,79.2,33,50,52,51,42
HASKELL,59.6,46,69.8,60,61.1,34,23,30,27,33
HAYS,68.7,67.9,69.5,72.3,69.8,"1,688","1,600","1,473","1,479","1,428"
HEMPHILL,65.3,75.8,55.6,70.1,58.8,49,47,35,47,40
HENDERSON,59,56.7,57.8,54,56.2,523,494,498,455,492
HIDALGO,53.6,59.2,64.2,65.3,66.4,"7,810","6,369","6,755","7,071","7,478"
HILL,63.5,64.8,62.7,59.3,55.6,244,265,237,239,239
HOCKLEY,54.5,58.3,55.9,53.6,59.6,182,179,175,195,186
HOOD,65.3,62.7,67.9,65.5,66.8,438,360,404,367,360
HOPKINS,70.7,66.7,75.2,76.6,72.6,311,313,321,347,350
HOUSTON,61.5,51.1,62.3,68,61.9,136,94,142,172,130
HOWARD,52.1,54,60.7,64.8,58.4,248,273,267,297,226
HUDSPETH,52.4,52.9,47.4,42.5,61.5,22,18,18,17,32
HUNT,54,55.7,54.3,56.4,56.9,580,628,578,588,595
HUTCHINSON,61.3,62.9,65.2,66.1,67.2,176,193,197,205,213
IRION,*,*,*,*,*,10,5,10,13,11
JACK,60,58.2,70.1,74.2,68.6,60,57,68,66,72
JACKSON,75.7,70.1,78.5,72.2,78.2,159,141,139,135,140
JASPER,64.2,61.1,65.2,64.6,65.1,292,232,288,270,298
JEFF DAVIS,*,*,*,*,50,7,9,6,8,11
JEFFERSON,63.5,59.4,65.5,64.8,69.9,"1,969","1,804","1,969","1,902","2,052"
JIM HOGG,70.5,75,81,71.8,65.2,55,57,64,61,58
JIM WELLS,48.5,52.2,58.1,48.5,49.7,260,289,311,252,294
JOHNSON,61.5,64.7,63.8,63.6,65.9,"1,276","1,302","1,236","1,218","1,260"
JONES,61,61.6,60.2,65.8,60.9,89,114,109,121,98
KARNES,53.8,57.6,55.1,60.8,65.7,91,106,87,96,94
KAUFMAN,59.3,59.3,61.9,60.4,59.6,897,891,902,863,798
KENDALL,67.5,70.3,66.2,67.9,68.6,245,242,202,222,199
KENEDY,-,*,*,*,*,0,4,3,3,1
KENT,*,*,*,*,*,6,7,9,5,3
KERR,53.8,46.2,44.1,46.2,52.2,288,248,215,226,244
KIMBLE,56.4,41.3,52.5,55.8,56.4,22,19,21,24,22
KING,*,-,-,*,*,1,0,0,1,6
KINNEY,42.6,60.9,62.5,48.6,52.6,20,14,20,17,20
KLEBERG,65,56.6,64,63.6,64.8,280,265,306,290,291
KNOX,66.7,58,73.9,64.2,72.9,30,40,34,34,35
LA SALLE,59.6,48.9,57.9,54,67.8,59,44,55,54,61
LAMAR,68.6,58.1,64.4,63.2,65.5,460,416,417,407,433
LAMB,52.2,54.5,52.1,59.6,48.8,97,108,101,106,105
LAMPASAS,69.3,67.8,72.8,66.7,65.3,147,158,166,130,128
LAVACA,71.1,68,65.1,73.8,73.8,162,164,123,166,155
LEE,68.5,61.6,64.2,69.3,69.7,139,133,113,131,124
LEON,58.4,60.4,59,63.5,59.5,118,116,108,132,103
LIBERTY,53.9,47.1,53.6,50.4,47.7,593,497,564,521,462
LIMESTONE,60.1,55.2,50.8,57.9,49.1,175,176,135,176,141
LIPSCOMB,59.5,58.8,42.2,36.4,46.5,25,20,19,12,20
LIVE OAK,52.7,55.3,64.3,66.7,60.3,68,73,72,80,73
LLANO,60.2,64.9,68.2,71.1,64,106,100,101,108,89
LOVING,-,-,-,-,-,0,0,0,0,0
LUBBOCK,62.6,65.9,63.5,63.7,63.3,"2,564","2,783","2,612","2,494","2,448"
LYNN,62.9,57.8,61.3,64.6,60,44,37,49,51,48
MADISON,57.1,61.7,64,52.5,57.4,80,95,87,73,62
MARION,60.6,52.3,55.3,53.3,57.1,60,45,52,57,52
MARTIN,56.5,53.8,47.5,48.3,52.7,52,64,47,42,39
MASON,58.8,55.6,48.6,70,69.2,30,15,18,28,27
MATAGORDA,65.1,54.7,56.6,55,51.8,334,304,282,265,263
MAVERICK,74.9,75.8,79.2,78.2,81.3,853,881,855,848,837
MCCULLOCH,57.5,70.7,69.9,61.9,62.6,50,58,58,60,67
MCLENNAN,64.1,64.6,62.2,64.2,59.5,"2,093","2,161","2,068","2,054","1,944"
MCMULLEN,*,*,*,*,*,5,4,8,2,6
MEDINA,64.8,65.4,66.6,69.5,70.9,359,367,331,323,312
MENARD,*,65.2,66.7,61.9,*,12,15,16,13,11
MIDLAND,60.8,62.9,67,58.6,56.7,"1,838","1,772","1,803","1,466","1,307"
MILAM,64,65.4,58.3,66.8,58.7,187,166,130,133,105
MILLS,73.3,66.1,63.3,56.3,68.4,22,37,31,18,26
MITCHELL,66.3,70.7,51.1,57.8,59.8,57,65,48,59,64
MONTAGUE,68.2,62.7,62,61.6,58.9,159,136,134,138,123
MONTGOMERY,69.5,62.9,61.6,64,63.8,"5,004","4,274","4,022","4,020","4,011"
MOORE,53.7,50.8,52.2,53.8,50.3,233,213,226,221,198
MORRIS,58,52.8,57.3,55.5,67.1,91,75,90,91,108
MOTLEY,*,*,*,*,*,2,1,7,6,4
