county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,prenatal_percent_2010_2014
MCCULLOCH,70.7,69.9,61.9,62.6,63.8,58,58,60,67,67,66.2
STERLING,*,*,*,*,*,13,10,8,5,9,66.2
BRAZORIA,60.6,63.6,63.8,64.3,63,"2,763","2,847","2,839","2,712","2,975",66
BRAZOS,66,61.9,65.7,68.9,62.5,"1,672","1,437","1,411","1,436","1,286",66
BURNET,69.2,65.2,65.2,63.5,60.9,297,285,275,285,279,66
COTTLE,*,*,*,*,*,16,9,7,8,11,66
HIDALGO,59.2,64.2,65.3,66.4,58.6,"6,369","6,755","7,071","7,478","5,814",66
HUTCHINSON,62.9,65.2,66.1,67.2,63.4,193,197,205,213,166,66
JIM WELLS,52.2,58.1,48.5,49.7,52.1,289,311,252,294,342,66
JOHNSON,64.7,63.8,63.6,65.9,61.1,"1,302","1,236","1,218","1,260","1,204",66
MCMULLEN,*,*,*,*,*,4,8,2,6,5,66
SOMERVELL,60,75.8,64.9,56.5,67,51,69,61,39,65,66
WALLER,64.8,71.2,65.6,55.8,60.1,415,405,362,290,349,66
WILLACY,63.2,64.7,57.1,59.2,54.8,180,196,181,173,193,66
STEPHENS,64.6,68.8,76.5,60.8,57.3,62,77,75,59,63,65.9
KLEBERG,56.6,64,63.6,64.8,63,265,306,290,291,296,65.4
JASPER,61.1,65.2,64.6,65.1,64.7,232,288,270,298,302,65.3
FRANKLIN,56.5,53.4,70.5,70.8,69.4,52,62,67,80,75,65.1
LIVE OAK,55.3,64.3,66.7,60.3,60.4,73,72,80,73,67,65
LUBBOCK,65.9,63.5,63.7,63.3,62.4,"2,783","2,612","2,494","2,448","2,538",65
MIDLAND,62.9,67,58.6,56.7,59.1,"1,772","1,803","1,466","1,307","1,333",65
SAN PATRICIO,51,57.1,63.9,61.7,64.3,520,525,547,531,573,65
TRINITY,58.3,68.1,60,65.9,65.3,88,81,66,91,115,65
ZAVALA,64.9,69.2,66.5,64.8,53.5,126,139,139,125,107,64.3
CHAMBERS,57.4,68,58.6,64.2,62.6,259,299,256,278,286,64.2
PECOS,55.3,69.4,54.2,57.6,62.7,121,161,109,132,133,64.2
TOM GREEN,65.8,64.6,63.1,59.4,62.3,"1,089","1,004",937,905,963,64.2
MILLS,66.1,63.3,56.3,68.4,62,37,31,18,26,31,64.1
EL PASO,65.7,64.7,62.5,58.1,58.2,"8,428","8,255","8,320","7,699","7,625",64
GUADALUPE,63.1,64.3,63.6,61,60.3,"1,078","1,081","1,048",884,888,64
MCLENNAN,64.6,62.2,64.2,59.5,62.5,"2,161","2,068","2,054","1,944","2,058",64
MILAM,65.4,58.3,66.8,58.7,59.1,166,130,133,105,123,64
MONTGOMERY,62.9,61.6,64,63.8,61.5,"4,274","4,022","4,020","4,011","3,864",64
RED RIVER,54,63.6,56.7,67.5,69.3,67,98,72,83,95,64
UVALDE,62.7,66.5,63.5,61.8,56.9,252,276,233,239,230,64
KARNES,57.6,55.1,60.8,65.7,62,106,87,96,94,88,63.9
HAMILTON,67.5,67.5,63,63.2,53,54,54,58,60,44,63.8
LAMAR,58.1,64.4,63.2,65.5,62,416,417,407,433,401,63.8
MENARD,65.2,66.7,61.9,*,*,15,16,13,11,5,63.8
JONES,61.6,60.2,65.8,60.9,60.7,114,109,121,98,102,63.6
TYLER,62.6,61.4,62.5,63.1,61.3,132,132,150,130,136,63.4
GRAY,58.6,68.4,62.6,65,55,198,232,214,210,172,63
HEMPHILL,75.8,55.6,70.1,58.8,51.5,47,35,47,40,35,63
LA SALLE,48.9,57.9,54,67.8,68.2,44,55,54,61,58,63
NEWTON,62.7,60.9,65.9,63.4,51.5,84,84,89,92,67,63
RUNNELS,63.3,54.2,63.3,68.8,57.4,62,52,62,88,74,63
SAN SABA,70.8,69.8,58.9,58,58.6,46,37,43,40,34,63
SCHLEICHER,57.5,56.1,55.3,69.7,70,23,23,21,23,28,63
RAINS,55.8,63.3,68.5,58.2,59.8,48,57,76,57,61,62.9
CHILDRESS,63.4,66.2,64.7,56.5,59,52,45,44,48,49,62.8
DALLAM,62.7,64.7,61.8,63.4,55.9,79,90,89,85,76,62.7
HOWARD,54,60.7,64.8,58.4,61.9,273,267,297,226,280,62.6
JEFF DAVIS,*,*,*,50,*,9,6,8,11,11,62.5
ANDERSON,60.1,64.2,63.4,63.1,55.5,341,370,355,382,315,62.2
EASTLAND,58.8,60.1,58.2,63.9,62.9,127,125,92,133,139,62
HILL,64.8,62.7,59.3,55.6,62,265,237,239,239,269,62
HOUSTON,51.1,62.3,68,61.9,56.9,94,142,172,130,140,62
MASON,55.6,48.6,70,69.2,60,15,18,28,27,18,62
MONTAGUE,62.7,62,61.6,58.9,57.8,136,134,138,123,148,62
NACOGDOCHES,57.8,55.1,64.2,64.2,62.8,508,480,570,582,580,62
SABINE,74.4,51.6,62.8,61.8,59,61,48,49,55,49,62
KAUFMAN,59.3,61.9,60.4,59.6,60.8,891,902,863,798,863,61.7
LEON,60.4,59,63.5,59.5,56,116,108,132,103,103,61.7
LYNN,57.8,61.3,64.6,60,57.7,37,49,51,48,41,61.7
COLEMAN,65.1,55.8,57.9,58.3,63.4,54,48,55,56,64,61.6
COLORADO,58.6,56.8,62.2,63,63.6,153,138,143,148,168,61.6
GRIMES,58.8,56.6,60.5,65.2,56.4,181,164,147,135,132,61.6
ANGELINA,55.8,60.2,62,60.3,58.4,646,736,732,736,688,61.5
HALE,62.8,64.3,57,61.4,55.7,290,331,306,344,342,61.2
RUSK,58.6,59,55.2,61.8,52.7,334,363,378,400,343,61.2
WISE,57.1,60.2,60.4,61.8,58.1,427,465,443,423,445,61.2
BURLESON,62.8,61.2,49.4,64.3,55.9,118,93,81,101,85,61
CALDWELL,55.5,61.3,60.8,62.1,57.4,284,282,282,296,279,61
COMANCHE,61.5,63.8,59.4,59.8,58.6,83,97,92,101,99,61
