county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,geo_two,GISJOIN,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,geo_two2,GISJOIN2,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,geo2_2,geo_two2_2,GISJOIN2_2,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,geo2_3,geo2,geo_two2_3,GISJOIN2_3,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,geo2_4
CROSBY ,3142,1392,111,1624,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CULBERSON ,1231,251,3,961,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAM ,3221,1858,40,1276,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS ,1197137,407769,286022,435884,67462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWSON ,6018,2453,256,3269,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAF SMITH ,9720,3120,92,6429,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTA ,2668,2269,217,120,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENTON ,336654,220546,30674,59790,25644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWITT ,9650,5786,794,2964,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICKENS ,1061,772,14,260,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIMMIT ,5157,603,37,4478,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONLEY ,1852,1589,94,152,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUVAL ,5705,529,5,5145,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTLAND ,9512,7984,152,1293,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECTOR ,69444,29084,3027,36374,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDWARDS ,981,476,3,494,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLIS ,75740,50667,7084,17004,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL PASO ,412771,50555,9648,346228,6340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERATH ,19285,15377,196,3496,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALLS ,9372,4970,2568,1760,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANNIN ,15927,13682,800,1216,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
