county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Sutton,67.4,60,*,**,47.8,85,*,**,0500000US48435,Sutton,SUTTON,Rural,Border,SUTTON
Swisher,68,134,*,16,50.5,156,*,**,0500000US48437,Swisher,SWISHER,Rural,Non-Border,SWISHER
Tarrant,71,"39,695",51.2,"11,619",44,"21,893",57.2,"5,577",0500000US48439,Tarrant,TARRANT,Urban,Non-Border,TARRANT
Taylor Cnty,73.3,"4,567",53.9,439,59,"1,671",59,227,0500000US48441,Taylor Cnty,TAYLOR,Urban,Non-Border,TAYLOR
Terrell Cnty,*,17,--,0,*,20,--,0,0500000US48443,Terrell Cnty,TERRELL,Rural,Border,TERRELL
Terry,53.4,171,*,**,45.1,287,*,**,0500000US48445,Terry,TERRY,Rural,Non-Border,TERRY
Throckmorton,72.6,45,--,0,*,**,*,**,0500000US48447,Throckmorton,THROCKMORTON,Rural,Non-Border,THROCKMORTON
Titus,70.8,562,57.5,119,46.8,684,47.5,28,0500000US48449,Titus,TITUS,Rural,Non-Border,TITUS
Tom Green,72.2,"2,910",54.9,118,56.6,"1,982",57.6,106,0500000US48451,Tom Green,TOM GREEN,Urban,Non-Border,TOM GREEN
Travis,84.9,"26,155",66.9,"4,070",60.7,"21,358",79.8,"5,752",0500000US48453,Travis,TRAVIS,Urban,Non-Border,TRAVIS
Trinity,64.9,323,50,31,50,47,*,**,0500000US48455,Trinity,TRINITY,Rural,Non-Border,TRINITY
Tyler Cnty,62.2,566,50.5,46,59.2,29,*,19,0500000US48457,Tyler Cnty,TYLER,Rural,Non-Border,TYLER
Upshur,59.7,"1,091",51.2,87,44.6,132,51.9,27,0500000US48459,Upshur,UPSHUR,Urban,Non-Border,UPSHUR
Upton,69.6,87,--,0,60.1,86,*,**,0500000US48461,Upton,UPTON,Rural,Non-Border,UPTON
Uvalde Cnty,68.2,290,*,**,62.8,965,*,12,0500000US48463,Uvalde Cnty,UVALDE,Rural,Border,UVALDE
Val Verde,51.6,316,*,18,33,"1,195",43.1,25,0500000US48465,Val Verde,VAL VERDE,Rural,Border,VAL VERDE
Van Zandt,61.2,"1,371",*,18,42.7,178,43.3,29,0500000US48467,Van Zandt,VAN ZANDT,Rural,Non-Border,VAN ZANDT
Victoria Cnty,79.7,"1,944",56.4,154,66.5,"2,260",71.1,118,0500000US48469,Victoria Cnty,VICTORIA,Urban,Non-Border,VICTORIA
Walker,70.8,"1,158",60.9,392,63.7,463,54.5,55,0500000US48471,Walker,WALKER,Rural,Non-Border,WALKER
Waller,73.5,771,55.1,248,61.6,805,64.7,33,0500000US48473,Waller,WALLER,Urban,Non-Border,WALLER
Ward,72.2,267,76.2,32,70.2,335,*,11,0500000US48475,Ward,WARD,Rural,Non-Border,WARD
Washington,71.8,671,52.4,185,41.7,228,60.8,31,0500000US48477,Washington,WASHINGTON,Rural,Non-Border,WASHINGTON
Webb,88.7,518,*,12,75.5,"18,923",75.5,74,0500000US48479,Webb,WEBB,Urban,Border,WEBB
Wharton,76.7,670,53.6,201,52,731,*,14,0500000US48481,Wharton,WHARTON,Rural,Non-Border,WHARTON
Wheeler,61.9,133,*,**,54.2,77,*,**,0500000US48483,Wheeler,WHEELER,Rural,Non-Border,WHEELER
Wichita,80.3,"4,465",66.6,597,67.9,"1,397",74.4,276,0500000US48485,Wichita,WICHITA,Urban,Non-Border,WICHITA
Wilbarger,77.2,336,50,29,65.8,192,*,15,0500000US48487,Wilbarger,WILBARGER,Rural,Non-Border,WILBARGER
Willacy,56.8,25,*,**,61.9,887,*,**,0500000US48489,Willacy,WILLACY,Rural,Border,WILLACY
Williamson,84.3,"14,392",70.6,"1,189",72.7,"6,049",84.1,"2,591",0500000US48491,Williamson,WILLIAMSON,Urban,Non-Border,WILLIAMSON
Wilson,70.5,947,*,10,56.6,544,64.9,24,0500000US48493,Wilson,WILSON,Urban,Non-Border,WILSON
Winkler,74.1,149,*,**,64.5,271,*,**,0500000US48495,Winkler,WINKLER,Rural,Non-Border,WINKLER
Wise,67.2,"1,810",*,10,43.5,423,50,37,0500000US48497,Wise,WISE,Urban,Non-Border,WISE
Wood,62.4,955,40,24,46.7,162,45.5,20,0500000US48499,Wood,WOOD,Rural,Non-Border,WOOD
Yoakum,61.5,118,*,**,55.3,304,*,**,0500000US48501,Yoakum,YOAKUM,Rural,Non-Border,YOAKUM
Young,77,624,*,**,57.1,169,*,14,0500000US48503,Young,YOUNG,Rural,Non-Border,YOUNG
Zapata,84,21,--,0,77,"1,002",*,**,0500000US48505,Zapata,ZAPATA,Rural,Border,ZAPATA
Zavala,70.9,39,*,**,67.4,627,--,0,0500000US48507,Zavala,ZAVALA,Rural,Border,ZAVALA
