county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Cottle,76.9,30,*,**,*,10,*,**,0500000US48101,Cottle,COTTLE,Rural,Non-Border,COTTLE
Crane,84.2,85,*,**,67.3,181,*,**,0500000US48103,Crane,CRANE,Rural,Non-Border,CRANE
Crockett,63.1,53,*,**,46.9,92,*,**,0500000US48105,Crockett,CROCKETT,Rural,Border,CROCKETT
Crosby,56.9,66,*,**,55.5,146,*,**,0500000US48107,Crosby,CROSBY,Urban,Non-Border,CROSBY
Culberson,*,15,--,0,63.3,76,*,**,0500000US48109,Culberson,CULBERSON,Rural,Border,CULBERSON
Dallam,73.7,235,*,**,55.7,195,*,11,0500000US48111,Dallam,DALLAM,Rural,Non-Border,DALLAM
Dallas Cnty,68.8,"29,176",48,"19,153",54.7,"51,208",61.6,"9,810",0500000US48113,Dallas Cnty,DALLAS,Urban,Non-Border,DALLAS
Dawson,73,208,*,12,55.9,328,*,12,0500000US48115,Dawson,DAWSON,Rural,Non-Border,DAWSON
Deaf Smith,74.3,182,*,**,54.5,782,*,**,0500000US48117,Deaf Smith,DEAF SMITH,Rural,Non-Border,DEAF SMITH
Delta,71.6,174,*,19,*,**,*,**,0500000US48119,Delta,DELTA,Rural,Non-Border,DELTA
Denton Cnty,76.3,"20,002",59.1,"2,462",53,"6,336",66.2,"3,461",0500000US48121,Denton Cnty,DENTON,Urban,Non-Border,DENTON
DeWitt,73.7,471,53.4,39,59.6,322,*,11,0500000US48123,DeWitt,DEWITT,Rural,Non-Border,DEWITT
Dickens,57.4,39,*,**,*,**,--,0,0500000US48125,Dickens,DICKENS,Rural,Non-Border,DICKENS
Dimmit,59.7,46,*,**,67.3,554,*,**,0500000US48127,Dimmit,DIMMIT,Rural,Border,DIMMIT
Donley,65.3,79,*,**,*,15,--,0,0500000US48129,Donley,DONLEY,Rural,Non-Border,DONLEY
Duval,48.1,26,--,0,47.3,333,50,**,0500000US48131,Duval,DUVAL,Rural,Border,DUVAL
Eastland,61.2,493,*,**,57.3,86,*,12,0500000US48133,Eastland,EASTLAND,Rural,Non-Border,EASTLAND
Ector,74.4,"3,096",65.8,294,69.5,"6,414",65.9,226,0500000US48135,Ector,ECTOR,Urban,Non-Border,ECTOR
Edwards,59.5,22,*,**,35.8,29,--,0,0500000US48137,Edwards,EDWARDS,Rural,Border,EDWARDS
Ellis,67.9,"3,841",51.3,447,46.6,"1,485",54.9,113,0500000US48139,Ellis,ELLIS,Urban,Non-Border,ELLIS
El Paso Cnty,67.5,"5,306",65.4,"1,237",61.9,"32,965",63.1,"1,145",0500000US48141,El Paso Cnty,EL PASO,Urban,Border,EL PASO
Erath,64.9,"1,058",*,**,43.9,326,50,26,0500000US48143,Erath,ERATH,Rural,Non-Border,ERATH
Falls,57.8,203,39.5,94,46.8,116,*,**,0500000US48145,Falls,FALLS,Urban,Non-Border,FALLS
Fannin,63.8,803,44,37,39.6,101,*,20,0500000US48147,Fannin,FANNIN,Rural,Non-Border,FANNIN
Fayette,78,529,65.5,57,57.3,239,*,14,0500000US48149,Fayette,FAYETTE,Rural,Non-Border,FAYETTE
Fisher,71.4,90,*,**,71.4,45,*,**,0500000US48151,Fisher,FISHER,Rural,Non-Border,FISHER
Floyd,70.7,65,*,**,54.1,157,*,**,0500000US48153,Floyd,FLOYD,Rural,Non-Border,FLOYD
