county,Urbanization Status,Border Status,geo,geo_two,GISJOIN
VAL VERDE,Rural,Border,0500000US48465,48465,G4804650
VAN ZANDT,Rural,Non-Border,0500000US48467,48467,G4804670
VICTORIA,Urban,Non-Border,0500000US48469,48469,G4804690
WALKER,Rural,Non-Border,0500000US48471,48471,G4804710
WALLER,Urban,Non-Border,0500000US48473,48473,G4804730
WARD,Rural,Non-Border,0500000US48475,48475,G4804750
WASHINGTON,Rural,Non-Border,0500000US48477,48477,G4804770
WEBB,Urban,Border,0500000US48479,48479,G4804790
WHARTON,Rural,Non-Border,0500000US48481,48481,G4804810
WHEELER,Rural,Non-Border,0500000US48483,48483,G4804830
WICHITA,Urban,Non-Border,0500000US48485,48485,G4804850
WILBARGER,Rural,Non-Border,0500000US48487,48487,G4804870
WILLACY,Rural,Border,0500000US48489,48489,G4804890
WILLIAMSON,Urban,Non-Border,0500000US48491,48491,G4804910
WILSON,Urban,Non-Border,0500000US48493,48493,G4804930
WINKLER,Rural,Non-Border,0500000US48495,48495,G4804950
WISE,Urban,Non-Border,0500000US48497,48497,G4804970
WOOD,Rural,Non-Border,0500000US48499,48499,G4804990
YOAKUM,Rural,Non-Border,0500000US48501,48501,G4805010
YOUNG,Rural,Non-Border,0500000US48503,48503,G4805030
ZAPATA,Rural,Border,0500000US48505,48505,G4805050
ZAVALA,Rural,Border,0500000US48507,48507,G4805070
