county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014
DIMMIT,133,0,- ,0500000US48127,171,0,-,196,0,- ,195,0,- ,190,0,-
DONLEY,35,0,- ,0500000US48129,26,0,-,39,0,- ,34,0,- ,28,0,-
DUVAL,168,0,- ,0500000US48131,184,0,-,177,0,- ,154,0,- ,193,0,-
EASTLAND,221,0,- ,0500000US48133,209,0,-,160,0,- ,209,0,- ,218,0,-
ECTOR,2435,1,0.4,0500000US48135,2447,0,-,2755,1,0.4,2915,1,0.3,3161,0,-
EDWARDS,26,0,- ,0500000US48137,30,0,-,20,0,- ,22,0,- ,28,0,-
ELLIS,2065,0,- ,0500000US48139,1949,1,0.5,1839,0,- ,2060,0,- ,2140,0,-
EL PASO,13792,0,- ,0500000US48141,13891,3,0.2,13871,3,0.2,13569,5,0.4,13567,1,0.1
ERATH,450,0,- ,0500000US48143,497,0,-,491,0,- ,485,0,- ,529,0,-
FALLS,185,0,- ,0500000US48145,207,1,4.8,202,0,- ,203,0,- ,218,1,4.6
FANNIN,341,0,- ,0500000US48147,343,0,-,323,0,- ,326,0,- ,328,0,-
FAYETTE,240,0,- ,0500000US48149,251,0,-,218,0,- ,245,0,- ,243,0,-
FISHER,46,0,- ,0500000US48151,37,0,-,32,0,- ,29,0,- ,51,0,-
FLOYD,96,0,- ,0500000US48153,81,0,-,90,0,- ,81,0,- ,67,0,-
FOARD,13,0,- ,0500000US48155,13,0,-,18,0,- ,11,0,- ,7,0,-
FORT BEND,7840,3,0.4,0500000US48157,7718,1,0.1,8136,3,0.4,8532,4,0.5,9314,2,0.2
FRANKLIN,108,0,- ,0500000US48159,114,0,-,95,0,- ,117,0,- ,92,0,-
FREESTONE,213,0,- ,0500000US48161,238,1,4.2,235,0,- ,214,0,- ,204,0,-
FRIO,245,0,- ,0500000US48163,235,0,-,256,0,- ,263,0,- ,273,1,3.7
GAINES,345,0,- ,0500000US48165,364,0,-,348,0,- ,394,0,- ,407,0,-
GALVESTON,3945,1,0.3,0500000US48167,3897,1,0.3,3895,2,0.5,3960,0,- ,4133,1,0.2
GARZA,79,0,- ,0500000US48169,68,0,-,50,0,- ,65,0,- ,63,0,-
GILLESPIE,261,0,- ,0500000US48171,233,0,-,245,0,- ,241,0,- ,256,1,3.9
GLASSCOCK,12,0,- ,0500000US48173,16,0,-,12,0,- ,13,0,- ,16,0,-
GOLIAD,72,0,- ,0500000US48175,57,0,-,68,0,- ,61,0,- ,76,0,-
GONZALES,292,0,- ,0500000US48177,278,1,3.6,271,0,- ,281,0,- ,320,1,3.1
GRAY,318,0,- ,0500000US48179,327,0,-,346,0,- ,343,1,2.9,340,0,-
GRAYSON,1523,0,- ,0500000US48181,1476,0,-,1500,0,- ,1509,1,0.7,1562,1,0.6
GREGG,1940,1,0.5,0500000US48183,1910,1,0.5,1939,0,- ,1876,0,- ,1962,0,-
GRIMES,324,1,3.1,0500000US48185,288,0,-,292,0,- ,326,0,- ,338,0,-
GUADALUPE,1683,0,- ,0500000US48187,1619,0,-,1763,0,- ,1728,0,- ,1786,0,-
HALE,619,0,- ,0500000US48189,561,0,-,537,0,- ,515,0,- ,464,0,-
HALL,32,0,- ,0500000US48191,40,0,-,33,0,- ,31,0,- ,34,0,-
HAMILTON,86,0,- ,0500000US48193,99,0,-,96,0,- ,81,0,- ,84,0,-
HANSFORD,85,0,- ,0500000US48195,78,0,-,76,0,- ,82,0,- ,91,0,-
HARDEMAN,46,0,- ,0500000US48197,41,1,24.4,40,0,- ,39,0,- ,44,0,-
HARDIN,720,1,1.4,0500000US48199,655,1,1.5,700,0,- ,712,1,1.4,692,0,-
HARRIS,68166,20,0.3,0500000US48201,65956,20,0.3,67354,24,0.4,68292,25,0.4,71395,21,0.3
HARRISON,868,0,- ,0500000US48203,884,0,-,823,0,- ,846,0,- ,851,1,1.2
HARTLEY,54,0,- ,0500000US48205,53,0,-,64,0,- ,69,0,- ,60,0,-
HASKELL,46,0,- ,0500000US48207,54,0,-,45,0,- ,45,0,- ,50,0,-
HAYS,2106,0,- ,0500000US48209,2057,0,-,2050,0,- ,2131,0,- ,2367,1,0.4
HEMPHILL,69,0,- ,0500000US48211,69,0,-,67,0,- ,65,0,- ,66,0,-
HENDERSON,934,0,- ,0500000US48213,921,0,-,886,0,- ,877,0,- ,887,0,-
HIDALGO,16398,3,0.2,0500000US48215,16101,3,0.2,16301,4,0.2,16059,2,0.1,16325,2,0.1
HILL,437,0,- ,0500000US48217,439,0,-,413,0,- ,387,0,- ,413,0,-
HOCKLEY,346,0,- ,0500000US48219,313,1,3.2,368,1,2.7,313,0,- ,310,0,-
HOOD,553,0,- ,0500000US48221,541,0,-,570,2,3.5,604,0,- ,578,0,-
HOPKINS,509,0,- ,0500000US48223,485,0,-,458,0,- ,428,0,- ,471,1,2.1
HOUSTON,250,0,- ,0500000US48225,212,0,-,254,2,7.9,237,0,- ,207,0,-
HOWARD,454,1,2.2,0500000US48227,390,0,-,460,1,2.2,446,0,- ,518,0,-
HUDSPETH,51,0,- ,0500000US48229,55,0,-,44,0,- ,40,0,- ,38,0,-
HUNT,1095,1,0.9,0500000US48231,1073,1,0.9,1060,0,- ,1073,1,0.9,1144,1,0.9
HUTCHINSON,264,0,- ,0500000US48233,317,0,-,311,0,- ,303,0,- ,307,0,-
IRION,15,0,- ,0500000US48235,18,0,-,16,0,- ,19,0,- ,14,0,-
JACK,106,1,9.4,0500000US48237,105,0,-,89,0,- ,97,0,- ,99,0,-
JACKSON,193,0,- ,0500000US48239,179,0,-,198,1,5.1,191,0,- ,202,0,-
JASPER,480,1,2.1,0500000US48241,468,0,-,430,2,4.7,452,0,- ,395,0,-
JEFF DAVIS,20,0,- ,0500000US48243,23,0,-,11,0,- ,10,0,- ,16,0,-
JEFFERSON,3554,0,- ,0500000US48245,3436,1,0.3,3430,2,0.6,3534,1,0.3,3633,2,0.6
JIM HOGG,88,0,- ,0500000US48247,93,0,-,93,0,- ,94,0,- ,93,0,-
JIM WELLS,674,0,- ,0500000US48249,626,0,-,619,1,1.6,657,0,- ,730,1,1.4
JOHNSON,1978,0,- ,0500000US48251,1924,4,2.1,1944,0,- ,2009,2,1.0,2022,0,-
JONES,169,0,- ,0500000US48253,163,0,-,185,1,5.4,181,0,- ,185,0,-
KARNES,145,0,- ,0500000US48255,148,0,-,166,0,- ,174,0,- ,191,0,-
KAUFMAN,1442,0,- ,0500000US48257,1367,0,-,1453,0,- ,1500,1,0.7,1527,0,-
KENDALL,338,0,- ,0500000US48259,324,0,-,341,0,- ,316,0,- ,361,0,-
