county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,births_2010_2014,deaths_2010_2014,rate_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_white_perc_2010_2014,race_female_black_2010_2014,race_female_black_perc_2010_2014,race_female_hispanic_2010_2014,race_female_hispanic_perc_2010_2014,race_female_other_2010_2014,race_female_other_perc_2010_2014,prenatal_percent_2010_2014,Border Status,geo_two,GISJOIN
BURLESON,192,0,- ,0500000US48051,189,0,-,200,0,- ,177,2,11.3,210,0,-,8683,6002,1105,1505,71,8819,6027,1088,1566,138,8930,6085,1101,1605,139,8821,5964,1088,1644,125,8683,6002,1105,1505,71,968,2,206.61,43936,30080,68.46,5487,12.49,7825,17.81,544,1.24,61,Non-Border,48051,G4800510
BURNET,468,0,- ,0500000US48053,465,0,-,449,0,- ,477,0,- ,454,0,-,21761,16948,405,4171,237,22053,16895,339,4344,475,22333,17037,344,4464,488,22631,17152,343,4635,501,21761,16948,405,4171,237,2313,0,0,110539,84980,76.88,1836,1.66,21785,19.71,1938,1.75,66,Non-Border,48053,G4800530
CALDWELL,488,0,- ,0500000US48055,479,1,2.1,466,0,- ,461,0,- ,513,0,-,18886,8496,1262,8886,242,19137,8376,1209,9123,429,19334,8413,1209,9277,435,19514,8386,1201,9493,434,18886,8496,1262,8886,242,2407,1,41.55,95757,42167,44.04,6143,6.42,45665,47.69,1782,1.86,61,Non-Border,48055,G4800550
CALHOUN,299,0,- ,0500000US48057,276,0,-,261,0,- ,307,0,- ,304,1,3.3,10534,4913,273,4896,452,10590,4800,253,5012,525,10727,4830,254,5111,532,10740,4717,258,5218,547,10534,4913,273,4896,452,1447,1,69.11,53125,24173,45.50,1311,2.47,25133,47.31,2508,4.72,69,Non-Border,48057,G4800570
CALLAHAN,121,0,- ,0500000US48059,113,0,-,137,0,- ,128,0,- ,162,1,6.2,6937,6271,93,497,76,6920,6171,66,508,175,6977,6207,67,526,177,7304,6500,66,552,186,6937,6271,93,497,76,661,1,151.29,35075,31420,89.58,385,1.10,2580,7.36,690,1.97,69,Non-Border,48059,G4800590
CAMERON,7849,1,0.1,0500000US48061,7561,2,0.3,7358,1,0.1,7380,3,0.4,7253,1,0.1,210826,21738,558,186887,1643,214781,21239,500,190994,2048,216301,21011,500,192735,2055,217676,20499,504,194496,2177,210826,21738,558,186887,1643,37401,8,21.39,1070410,106225,9.92,2620,0.24,951999,88.94,9566,0.89,74,Border,48061,G4800610
CAMP,199,0,- ,0500000US48063,150,0,-,189,0,- ,208,0,- ,219,0,-,6315,3813,1208,1231,63,6341,3769,1137,1271,164,6390,3772,1152,1301,165,6396,3742,1139,1339,176,6315,3813,1208,1231,63,965,0,0,31757,18909,59.54,5844,18.40,6373,20.07,631,1.99,59.4,Non-Border,48063,G4800630
CARSON,62,0,- ,0500000US48065,65,0,-,65,0,- ,52,0,- ,69,0,-,3140,2808,19,272,41,3181,2814,17,283,67,3197,2825,17,288,67,3097,2740,19,272,66,3140,2808,19,272,41,313,0,0,15755,13995,88.83,91,0.58,1387,8.80,282,1.79,74.9,Non-Border,48065,G4800650
CASS,384,0,- ,0500000US48067,319,0,-,348,0,- ,369,0,- ,361,0,-,15687,12111,2899,503,174,15632,11966,2818,519,329,15668,11983,2819,527,339,15781,12063,2803,572,343,15687,12111,2899,503,174,1781,0,0,78455,60234,76.78,14238,18.15,2624,3.34,1359,1.73,55,Non-Border,48067,G4800670
CASTRO,130,0,- ,0500000US48069,137,0,-,138,0,- ,118,0,- ,117,0,-,3978,1518,75,2353,32,4017,1496,79,2403,39,4051,1487,80,2444,40,3949,1428,72,2403,46,3978,1518,75,2353,32,640,0,0,19973,7447,37.29,381,1.91,11956,59.86,189,0.95,56,Non-Border,48069,G4800690
CHAMBERS,481,1,2.1,0500000US48071,449,1,2.2,459,0,- ,461,0,- ,475,0,-,17435,12534,1465,3181,255,17878,12593,1432,3386,467,18252,12830,1455,3490,477,18320,12662,1462,3702,494,17435,12534,1465,3181,255,2325,2,86.02,89320,63153,70.70,7279,8.15,16940,18.97,1948,2.18,64.2,Non-Border,48071,G4800710
CHEROKEE,758,0,- ,0500000US48073,714,0,-,722,0,- ,772,1,1.3,742,0,-,24995,16479,3615,4673,228,25193,16268,3446,4892,587,25415,16324,3477,5019,595,25715,16318,3474,5289,634,24995,16479,3615,4673,228,3708,1,26.97,126313,81868,64.81,17627,13.96,24546,19.43,2272,1.80,54,Non-Border,48073,G4800730
CHILDRESS,83,0,- ,0500000US48075,85,0,-,69,1,14.5,70,0,- ,82,0,-,2920,2125,138,623,34,2927,2088,131,641,67,2918,2062,131,657,68,2918,2055,129,656,78,2920,2125,138,623,34,389,1,257.07,14603,10455,71.59,667,4.57,3200,21.91,281,1.92,62.8,Non-Border,48075,G4800750
CLAY,97,0,- ,0500000US48077,73,0,-,95,0,- ,101,0,- ,82,0,-,5469,5120,21,251,77,5491,5055,26,253,157,5518,5080,26,254,158,5521,5079,21,262,159,5469,5120,21,251,77,448,0,0,27468,25454,92.67,115,0.42,1271,4.63,628,2.29,77,Non-Border,48077,G4800770
COCHRAN,53,0,- ,0500000US48079,55,0,-,49,0,- ,41,0,- ,46,0,-,1592,686,60,834,12,1575,667,56,832,20,1578,663,55,840,20,1533,632,64,814,23,1592,686,60,834,12,244,0,0,7870,3334,42.36,295,3.75,4154,52.78,87,1.11,51.3,Non-Border,48079,G4800790
COKE,26,0,- ,0500000US48081,28,0,-,29,0,- ,30,0,- ,30,1,33.3,1694,1391,2,290,11,1685,1365,3,289,28,1705,1369,3,304,29,1662,1325,2,307,28,1694,1391,2,290,11,143,1,699.30,8440,6841,81.05,12,0.14,1480,17.54,107,1.27,59,Non-Border,48081,G4800810
COLEMAN,101,0,- ,0500000US48083,96,0,-,97,0,- ,87,0,- ,83,0,-,4479,3617,96,722,44,4488,3578,94,738,78,4532,3605,95,754,78,4356,3442,89,741,84,4479,3617,96,722,44,464,0,0,22334,17859,79.96,470,2.10,3677,16.46,328,1.47,61.6,Non-Border,48083,G4800830
COLLIN,10581,0,- ,0500000US48085,10375,2,0.2,10342,0,- ,10596,2,0.2,10886,1,0.1,397978,255920,36745,56812,48501,413452,256512,36583,60914,59443,420900,260388,37306,62395,60811,434988,261208,40150,68010,65620,397978,255920,36745,56812,48501,52780,5,9.47,2065296,1289948,62.46,187529,9.08,304943,14.77,282876,13.70,74,Non-Border,48085,G4800850
COLLINGSWORTH,57,0,- ,0500000US48087,54,0,-,41,0,- ,43,0,- ,31,0,-,1559,997,70,464,28,1560,975,72,474,39,1573,975,73,487,38,1504,912,67,480,45,1559,997,70,464,28,226,0,0,7755,4856,62.62,352,4.54,2369,30.55,178,2.30,54.1,Non-Border,48087,G4800870
COLORADO,267,0,- ,0500000US48089,241,0,-,237,0,- ,246,0,- ,268,0,-,10527,6403,1427,2621,76,10535,6308,1380,2697,150,10595,6291,1388,2764,152,10776,6313,1419,2875,169,10527,6403,1427,2621,76,1259,0,0,52960,31718,59.89,7041,13.29,13578,25.64,623,1.18,61.6,Non-Border,48089,G4800890
COMAL,1233,0,- ,0500000US48091,1258,0,-,1309,0,- ,1363,0,- ,1447,0,-,55218,39810,877,13742,789,57119,40563,790,14337,1429,58579,41463,811,14836,1469,60135,42406,851,15275,1603,55218,39810,877,13742,789,6610,0,0,286269,204052,71.28,4206,1.47,71932,25.13,6079,2.12,60.6,Non-Border,48091,G4800910
COMANCHE,170,0,- ,0500000US48093,169,0,-,155,0,- ,152,0,- ,138,0,-,7089,5275,14,1740,60,7094,5182,13,1788,111,7128,5180,13,1826,109,7080,5102,13,1852,113,7089,5275,14,1740,60,784,0,0,35480,26014,73.32,67,0.19,8946,25.21,453,1.28,61,Non-Border,48093,G4800930
CONCHO,27,0,- ,0500000US48095,35,0,-,23,0,- ,19,0,- ,25,0,-,1294,888,4,390,12,1290,878,5,390,17,1283,869,5,392,17,1288,870,5,397,16,1294,888,4,390,12,129,0,0,6449,4393,68.12,23,0.36,1959,30.38,74,1.15,59.1,Non-Border,48095,G4800950
COOKE,512,0,- ,0500000US48097,487,0,-,564,0,- ,527,0,- ,561,1,1.8,19381,15635,578,2811,357,19497,15423,466,2928,680,19655,15493,471,3003,688,19771,15463,479,3128,701,19381,15635,578,2811,357,2651,1,37.72,97685,77649,79.49,2572,2.63,14681,15.03,2783,2.85,59,Non-Border,48097,G4800970
CORYELL,1042,0,- ,0500000US48099,1031,1,1,918,0,- ,1066,0,- ,1064,1,0.9,38496,24315,6619,5915,1647,38933,23879,5994,6148,2912,39506,24210,6066,6267,2963,39256,23770,5950,6491,3045,38496,24315,6619,5915,1647,5121,2,39.05,194687,120489,61.89,31248,16.05,30736,15.79,12214,6.27,73,Non-Border,48099,G4800990
COTTLE,19,0,- ,0500000US48101,16,0,-,9,0,- ,15,0,- ,18,0,-,792,551,74,165,2,807,560,73,171,3,806,556,75,172,3,778,539,63,170,6,792,551,74,165,2,77,0,0,3975,2757,69.36,359,9.03,843,21.21,16,0.40,66,Non-Border,48101,G4801010
CRANE,62,0,- ,0500000US48103,60,0,-,81,0,- ,81,0,- ,78,0,-,2230,933,60,1207,30,2243,909,59,1234,41,2293,920,61,1271,41,2408,958,67,1339,44,2230,933,60,1207,30,362,0,0,11404,4653,40.80,307,2.69,6258,54.88,186,1.63,81.9,Non-Border,48103,G4801030
CROCKETT,64,0,- ,0500000US48105,63,0,-,54,0,- ,50,0,- ,62,0,-,1888,666,4,1208,10,1893,657,6,1213,17,1907,662,6,1222,17,1900,653,3,1227,17,1888,666,4,1208,10,293,0,0,9476,3304,34.87,23,0.24,6078,64.14,71,0.75,51,Border,48105,G4801050
CROSBY,90,0,- ,0500000US48107,74,1,13.5,71,0,- ,65,0,- ,90,0,-,3142,1392,111,1624,15,3148,1351,104,1662,31,3156,1336,103,1686,31,3092,1285,99,1678,30,3142,1392,111,1624,15,390,1,256.41,15680,6756,43.09,528,3.37,8274,52.77,122,0.78,59.1,Non-Border,48107,G4801070
CULBERSON,28,0,- ,0500000US48109,26,0,-,30,0,- ,32,0,- ,27,0,-,1231,251,3,961,16,1219,232,2,958,27,1233,235,2,969,27,1222,237,3,959,23,1231,251,3,961,16,143,0,0,6136,1206,19.65,13,0.21,4808,78.36,109,1.78,60,Border,48109,G4801090
DALLAM,139,0,- ,0500000US48111,136,0,-,147,0,- ,141,0,- ,127,2,15.7,3221,1858,40,1276,47,3303,1850,40,1328,85,3399,1899,41,1375,84,3327,1828,40,1378,81,3221,1858,40,1276,47,690,2,289.86,16471,9293,56.42,201,1.22,6633,40.27,344,2.09,62.7,Non-Border,48111,G4801110
DALLAS,39712,9,0.2,0500000US48113,38687,10,0.3,38769,13,0.3,38696,22,0.6,39791,14,0.4,1197137,407769,286022,435884,67462,1214103,392626,284136,453266,84075,1225727,392344,286253,461763,85367,1238272,376850,291432,479548,90442,1197137,407769,286022,435884,67462,195655,68,34.76,6072376,1977358,32.56,1433865,23.61,2266345,37.32,394808,6.50,60,Non-Border,48113,G4801130
DAWSON,188,0,- ,0500000US48115,180,0,-,190,0,- ,189,0,- ,166,1,6.0,6018,2453,256,3269,40,6022,2412,218,3314,78,6036,2402,214,3342,78,6010,2339,223,3364,84,6018,2453,256,3269,40,913,1,109.53,30104,12059,40.06,1167,3.88,16558,55.00,320,1.06,61,Non-Border,48115,G4801150
DEAF SMITH,333,0,- ,0500000US48117,349,1,2.9,355,0,- ,337,1,3.0,322,0,-,9720,3120,92,6429,79,9818,3045,85,6556,132,9862,3014,86,6631,131,9643,2848,75,6590,130,9720,3120,92,6429,79,1696,2,117.92,48763,15147,31.06,430,0.88,32635,66.93,551,1.13,58,Non-Border,48117,G4801170
DELTA,61,0,- ,0500000US48119,58,0,-,61,0,- ,57,0,- ,72,0,-,2668,2269,217,120,62,2683,2224,209,122,128,2730,2255,215,127,133,2683,2239,203,122,119,2668,2269,217,120,62,309,0,0,13432,11256,83.80,1061,7.90,611,4.55,504,3.75,71,Non-Border,48119,G4801190
DENTON,8994,2,0.2,0500000US48121,9201,0,-,9330,1,0.1,9562,4,0.4,9872,1,0.1,336654,220546,30674,59790,25644,348523,220979,29954,64010,33580,357546,226034,30758,66166,34588,366163,224722,32339,71529,37573,336654,220546,30674,59790,25644,46959,8,17.04,1745540,1112827,63.75,154399,8.85,321285,18.41,157029,9.00,69,Non-Border,48121,G4801210
DEWITT,230,0,- ,0500000US48123,224,0,-,,,,,,,,,,9650,5786,794,2964,106,9865,5835,749,3092,189,,,,,,9828,5653,758,3221,196,9650,5786,794,2964,106,454,0,0,38993,23060,59.14,3095,7.94,12241,31.39,597,1.53,68,Non-Border,48123,G4801230
DICKENS,21,0,- ,0500000US48125,23,0,-,18,0,- ,25,0,- ,15,0,-,1061,772,14,260,15,1063,768,13,261,21,1076,774,14,267,21,1008,718,13,257,20,1061,772,14,260,15,102,0,0,5269,3804,72.20,68,1.29,1305,24.77,92,1.75,46.5,Non-Border,48125,G4801250
DIMMIT,133,0,- ,0500000US48127,171,0,-,196,0,- ,195,0,- ,190,0,-,5157,603,37,4478,39,5383,615,38,4681,49,5466,624,38,4755,49,5658,647,40,4921,50,5157,603,37,4478,39,885,0,0,26821,3092,11.53,190,0.71,23313,86.92,226,0.84,69,Border,48127,G4801270
DONLEY,35,0,- ,0500000US48129,26,0,-,39,0,- ,34,0,- ,28,0,-,1852,1589,94,152,17,1858,1569,92,152,45,1876,1580,93,158,45,1829,1530,97,160,42,1852,1589,94,152,17,162,0,0,9267,7857,84.78,470,5.07,774,8.35,166,1.79,56,Non-Border,48129,G4801290
DUVAL,168,0,- ,0500000US48131,184,0,-,177,0,- ,154,0,- ,193,0,-,5705,529,5,5145,26,5709,516,4,5153,36,5795,517,4,5238,36,5618,503,6,5075,34,5705,529,5,5145,26,876,0,0,28532,2594,9.09,24,0.08,25756,90.27,158,0.55,58.5,Border,48131,G4801310
EASTLAND,221,0,- ,0500000US48133,209,0,-,160,0,- ,209,0,- ,218,0,-,9512,7984,152,1293,83,9483,7859,132,1330,162,9509,7866,132,1348,163,9566,7860,138,1399,169,9512,7984,152,1293,83,1017,0,0,47582,39553,83.13,706,1.48,6663,14.00,660,1.39,62,Non-Border,48133,G4801330
ECTOR,2435,1,0.4,0500000US48135,2447,0,-,2755,1,0.4,2915,1,0.3,3161,0,-,69444,29084,3027,36374,959,70453,28481,2853,37587,1532,72380,28964,2913,38928,1575,75374,29224,3047,41432,1671,69444,29084,3027,36374,959,13713,3,21.88,357095,144837,40.56,14867,4.16,190695,53.40,6696,1.88,81,Non-Border,48135,G4801350
EDWARDS,26,0,- ,0500000US48137,30,0,-,20,0,- ,22,0,- ,28,0,-,981,476,3,494,8,984,475,3,496,10,987,474,3,500,10,906,430,3,461,12,981,476,3,494,8,126,0,0,4839,2331,48.17,15,0.31,2445,50.53,48,0.99,49.1,Border,48137,G4801370
ELLIS,2065,0,- ,0500000US48139,1949,1,0.5,1839,0,- ,2060,0,- ,2140,0,-,75740,50667,7084,17004,985,77499,50753,7023,17865,1858,78130,50972,7085,18187,1886,79148,50751,7245,19166,1986,75740,50667,7084,17004,985,10053,1,9.95,386257,253810,65.71,35521,9.20,89226,23.10,7700,1.99,61,Non-Border,48139,G4801390
EL PASO,13792,0,- ,0500000US48141,13891,3,0.2,13871,3,0.2,13569,5,0.4,13567,1,0.1,412771,50555,9648,346228,6340,423191,49213,8841,356062,9075,429903,49718,9031,361916,9238,426367,47085,8814,360930,9538,412771,50555,9648,346228,6340,68690,12,17.47,2105003,247126,11.74,45982,2.18,1771364,84.15,40531,1.93,64,Border,48141,G4801410
ERATH,450,0,- ,0500000US48143,497,0,-,491,0,- ,485,0,- ,529,0,-,19285,15377,196,3496,216,19617,15364,175,3668,410,19907,15530,178,3783,416,20232,15678,193,3922,439,19285,15377,196,3496,216,2452,0,0,98326,77326,78.64,938,0.95,18365,18.68,1697,1.73,61,Non-Border,48143,G4801430
FALLS,185,0,- ,0500000US48145,207,1,4.8,202,0,- ,203,0,- ,218,1,4.6,9372,4970,2568,1760,74,9374,4874,2551,1801,148,9395,4853,2569,1823,150,9137,4704,2485,1797,151,9372,4970,2568,1760,74,1015,2,197.04,46650,24371,52.24,12741,27.31,8941,19.17,597,1.28,52.3,Non-Border,48145,G4801450
FANNIN,341,0,- ,0500000US48147,343,0,-,323,0,- ,326,0,- ,328,0,-,15927,13682,800,1216,229,16065,13561,716,1277,511,16162,13602,726,1310,524,16218,13576,723,1382,537,15927,13682,800,1216,229,1661,0,0,80299,68103,84.81,3765,4.69,6401,7.97,2030,2.53,59,Non-Border,48147,G4801470
