geo,geo_two,county
0500000US48085,48085,"Collin County, Texas"
0500000US48087,48087,Collingsworth
0500000US48087,48087,COLLINGSWORTH
0500000US48087,48087,Collingsworth County
0500000US48087,48087,"Collingsworth County, Texas"
0500000US48089,48089,Colorado
0500000US48089,48089,COLORADO
0500000US48089,48089,Colorado County
0500000US48089,48089,"Colorado County, Texas"
0500000US48091,48091,Comal
0500000US48091,48091,COMAL
0500000US48091,48091,Comal County
0500000US48091,48091,"Comal County, Texas"
0500000US48093,48093,Comanche
0500000US48093,48093,COMANCHE
0500000US48093,48093,Comanche County
0500000US48093,48093,"Comanche County, Texas"
0500000US48095,48095,Concho
0500000US48095,48095,CONCHO
0500000US48095,48095,Concho County
0500000US48095,48095,"Concho County, Texas"
0500000US48097,48097,Cooke
0500000US48097,48097,COOKE
0500000US48097,48097,Cooke County
0500000US48097,48097,"Cooke County, Texas"
0500000US48099,48099,Coryell
0500000US48099,48099,CORYELL
0500000US48099,48099,Coryell County
0500000US48099,48099,"Coryell County, Texas"
0500000US48101,48101,Cottle
0500000US48101,48101,COTTLE
0500000US48101,48101,Cottle County
0500000US48101,48101,"Cottle County, Texas"
0500000US48103,48103,Crane
0500000US48103,48103,CRANE
0500000US48103,48103,Crane County
0500000US48103,48103,"Crane County, Texas"
0500000US48105,48105,Crockett
0500000US48105,48105,CROCKETT
0500000US48105,48105,Crockett County
0500000US48105,48105,"Crockett County, Texas"
0500000US48107,48107,Crosby
0500000US48107,48107,CROSBY
0500000US48107,48107,Crosby County
0500000US48107,48107,"Crosby County, Texas"
0500000US48109,48109,Culberson
0500000US48109,48109,CULBERSON
0500000US48109,48109,Culberson County
0500000US48109,48109,"Culberson County, Texas"
0500000US48111,48111,Dallam
0500000US48111,48111,DALLAM
0500000US48111,48111,Dallam County
0500000US48111,48111,"Dallam County, Texas"
0500000US48113,48113,Dallas
0500000US48113,48113,DALLAS
0500000US48113,48113,Dallas County
0500000US48113,48113,"Dallas County, Texas"
0500000US48115,48115,Dawson
0500000US48115,48115,DAWSON
0500000US48115,48115,Dawson County
0500000US48115,48115,"Dawson County, Texas"
0500000US48117,48117,Deaf Smith
0500000US48117,48117,DEAF SMITH
0500000US48117,48117,Deaf Smith County
0500000US48117,48117,"Deaf Smith County, Texas"
0500000US48117,48117,DEAFSMITH
0500000US48119,48119,Delta
0500000US48119,48119,DELTA
0500000US48119,48119,Delta County
0500000US48119,48119,"Delta County, Texas"
0500000US48121,48121,Denton
0500000US48121,48121,DENTON
0500000US48121,48121,Denton County
0500000US48121,48121,"Denton County, Texas"
0500000US48123,48123,DeWitt
0500000US48123,48123,DEWITT
0500000US48123,48123,DeWitt County
0500000US48123,48123,"DeWitt County, Texas"
0500000US48125,48125,Dickens
0500000US48125,48125,DICKENS
0500000US48125,48125,Dickens County
0500000US48125,48125,"Dickens County, Texas"
0500000US48127,48127,Dimmit
0500000US48127,48127,DIMMIT
0500000US48127,48127,Dimmit County
0500000US48127,48127,"Dimmit County, Texas"
0500000US48129,48129,Donley
0500000US48129,48129,DONLEY
0500000US48129,48129,Donley County
0500000US48129,48129,"Donley County, Texas"
0500000US48131,48131,Duval
0500000US48131,48131,DUVAL
0500000US48131,48131,Duval County
0500000US48131,48131,"Duval County, Texas"
0500000US48133,48133,Eastland
0500000US48133,48133,EASTLAND
0500000US48133,48133,Eastland County
0500000US48133,48133,"Eastland County, Texas"
0500000US48135,48135,Ector
0500000US48135,48135,ECTOR
0500000US48135,48135,Ector County
0500000US48135,48135,"Ector County, Texas"
0500000US48137,48137,Edwards
0500000US48137,48137,EDWARDS
0500000US48137,48137,Edwards County
0500000US48137,48137,"Edwards County, Texas"
0500000US48141,48141,El Paso
0500000US48141,48141,EL PASO
0500000US48141,48141,El Paso County
0500000US48141,48141,"El Paso County, Texas"
0500000US48139,48139,Ellis
0500000US48139,48139,ELLIS
0500000US48139,48139,Ellis County
0500000US48139,48139,"Ellis County, Texas"
0500000US48141,48141,ELPASO
0500000US48143,48143,Erath
0500000US48143,48143,ERATH
0500000US48143,48143,Erath County
0500000US48143,48143,"Erath County, Texas"
