geo,county,Border Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48047,BROOKS,Border,637,0,502,263,18273,1486,41,16642,104
0500000US48049,BROWN,Non-Border,2100,2,2072,1575,97041,73043,3161,19036,1801
0500000US48051,BURLESON,Non-Border,968,2,784,478,43936,30080,5487,7825,544
0500000US48053,BURNET,Non-Border,2313,0,2153,1421,110539,84980,1836,21785,1938
0500000US48055,CALDWELL,Non-Border,2407,1,2333,1423,95757,42167,6143,45665,1782
0500000US48057,CALHOUN,Non-Border,1447,1,1367,943,53125,24173,1311,25133,2508
0500000US48059,CALLAHAN,Non-Border,661,1,649,448,35075,31420,385,2580,690
0500000US48061,CAMERON,Border,37401,8,34685,25667,1070410,106225,2620,951999,9566
0500000US48063,CAMP,Non-Border,965,0,934,555,31757,18909,5844,6373,631
0500000US48065,CARSON,Non-Border,313,0,311,233,15755,13995,91,1387,282
0500000US48067,CASS,Non-Border,1781,0,1638,901,78455,60234,14238,2624,1359
0500000US48069,CASTRO,Non-Border,640,0,630,353,19973,7447,381,11956,189
0500000US48071,CHAMBERS,Non-Border,2325,2,2146,1378,89320,63153,7279,16940,1948
0500000US48073,CHEROKEE,Non-Border,3708,1,3369,1819,126313,81868,17627,24546,2272
0500000US48075,CHILDRESS,Non-Border,389,1,379,238,14603,10455,667,3200,281
0500000US48077,CLAY,Non-Border,448,0,435,335,27468,25454,115,1271,628
0500000US48079,COCHRAN,Non-Border,244,0,236,121,7870,3334,295,4154,87
0500000US48081,COKE,Non-Border,143,1,144,85,8440,6841,12,1480,107
0500000US48083,COLEMAN,Non-Border,464,0,450,277,22334,17859,470,3677,328
0500000US48085,COLLIN,Non-Border,52780,5,51254,37928,2065296,1289948,187529,304943,282876
0500000US48087,COLLINGSWORTH,Non-Border,226,0,218,118,7755,4856,352,2369,178
0500000US48089,COLORADO,Non-Border,1259,0,1218,750,52960,31718,7041,13578,623
0500000US48091,COMAL,Non-Border,6610,0,6078,3683,286269,204052,4206,71932,6079
0500000US48093,COMANCHE,Non-Border,784,0,774,472,35480,26014,67,8946,453
0500000US48095,CONCHO,Non-Border,129,0,127,75,6449,4393,23,1959,74
0500000US48097,COOKE,Non-Border,2651,1,2556,1508,97685,77649,2572,14681,2783
0500000US48099,CORYELL,Non-Border,5121,2,4470,3263,194687,120489,31248,30736,12214
0500000US48101,COTTLE,Non-Border,77,0,77,51,3975,2757,359,843,16
0500000US48103,CRANE,Non-Border,362,0,321,263,11404,4653,307,6258,186
0500000US48105,CROCKETT,Border,293,0,288,147,9476,3304,23,6078,71
0500000US48107,CROSBY,Non-Border,390,1,374,221,15680,6756,528,8274,122
0500000US48109,CULBERSON,Border,143,0,138,83,6136,1206,13,4808,109
0500000US48111,DALLAM,Non-Border,690,2,668,419,16471,9293,201,6633,344
0500000US48113,DALLAS,Non-Border,195655,68,180430,108258,6072376,1977358,1433865,2266345,394808
0500000US48115,DAWSON,Non-Border,913,1,877,535,30104,12059,1167,16558,320
0500000US48117,DEAF SMITH,Non-Border,1696,2,1672,970,48763,15147,430,32635,551
0500000US48119,DELTA,Non-Border,309,0,300,213,13432,11256,1061,611,504
0500000US48121,DENTON,Non-Border,46959,8,45778,31587,1745540,1112827,154399,321285,157029
0500000US48123,DEWITT,Non-Border,454,0,1197,814,38993,23060,3095,12241,597
0500000US48125,DICKENS,Non-Border,102,0,99,46,5269,3804,68,1305,92
0500000US48127,DIMMIT,Border,885,0,845,583,26821,3092,190,23313,226
0500000US48129,DONLEY,Non-Border,162,0,161,90,9267,7857,470,774,166
0500000US48131,DUVAL,Border,876,0,600,351,28532,2594,24,25756,158
0500000US48133,EASTLAND,Non-Border,1017,0,994,616,47582,39553,706,6663,660
0500000US48135,ECTOR,Non-Border,13713,3,12038,9751,357095,144837,14867,190695,6696
0500000US48137,EDWARDS,Border,126,0,116,57,4839,2331,15,2445,48
0500000US48139,ELLIS,Non-Border,10053,1,9452,5766,386257,253810,35521,89226,7700
0500000US48141,EL PASO,Border,68690,12,63011,40327,2105003,247126,45982,1771364,40531
0500000US48143,ERATH,Non-Border,2452,0,2403,1466,98326,77326,938,18365,1697
0500000US48145,FALLS,Non-Border,1015,2,790,413,46650,24371,12741,8941,597
0500000US48147,FANNIN,Non-Border,1661,0,1593,940,80299,68103,3765,6401,2030
0500000US48149,FAYETTE,Non-Border,1197,0,1151,815,63342,46634,4352,11630,726
0500000US48151,FISHER,Non-Border,195,0,189,134,9983,7064,346,2473,100
