geo,county,Urbanization Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48151,FISHER,Rural,195,0,189,134,9983,7064,346,2473,100
0500000US48153,FLOYD,Rural,415,0,405,231,16249,7041,539,8553,116
0500000US48155,FOARD,Rural,62,0,59,42,3482,2824,149,486,23
0500000US48157,FORT BEND,Urban,41540,13,39009,26136,1555653,546776,344573,370272,294032
0500000US48159,FRANKLIN,Rural,526,0,516,336,26880,22001,1093,3173,613
0500000US48161,FREESTONE,Rural,1104,1,1049,604,47272,33774,7177,5743,578
0500000US48163,FRIO,Rural,1272,1,1107,602,36821,6635,164,29634,388
0500000US48165,GAINES,Rural,1858,0,1771,850,44765,27617,677,16061,410
0500000US48167,GALVESTON,Urban,19830,5,18407,12333,748935,440355,105620,167934,35026
0500000US48169,GARZA,Rural,325,0,308,172,11947,6529,633,4610,175
0500000US48171,GILLESPIE,Rural,1236,1,1200,732,65293,52005,131,12366,791
0500000US48173,GLASSCOCK,Rural,69,0,58,45,2915,1967,36,898,14
0500000US48175,GOLIAD,Urban,334,0,306,228,18345,11071,824,6282,168
0500000US48177,GONZALES,Rural,1442,2,1388,666,49725,22632,3299,23192,602
0500000US48179,GRAY,Rural,1674,1,1629,1026,54598,39286,1521,12629,1162
0500000US48181,GRAYSON,Urban,7570,2,7347,4335,311790,246232,18881,34969,11708
0500000US48183,GREGG,Urban,9627,2,8677,4859,314327,191667,65239,49357,8064
0500000US48185,GRIMES,Rural,1568,1,1232,759,61411,38458,9184,12877,892
0500000US48187,GUADALUPE,Urban,8579,0,7780,4979,346512,189214,21443,124103,11752
0500000US48189,HALE,Rural,2696,0,2636,1613,87671,33288,3433,49784,1166
0500000US48191,HALL,Rural,170,0,167,97,8542,5190,533,2728,91
0500000US48193,HAMILTON,Rural,446,0,423,270,21582,19211,63,2078,230
0500000US48195,HANSFORD,Rural,412,0,402,225,13976,7887,70,5887,132
0500000US48197,HARDEMAN,Rural,210,1,197,109,10292,7485,487,2183,137
0500000US48199,HARDIN,Urban,3479,3,3327,2422,140678,123832,8756,5982,2108
0500000US48201,HARRIS,Urban,341163,110,304925,186004,10501213,3407510,2060940,4233610,799153
0500000US48203,HARRISON,Rural,4272,1,3905,2304,168655,108927,38701,17949,3078
0500000US48205,HARTLEY,Rural,300,0,294,232,11849,9343,26,2276,204
0500000US48207,HASKELL,Rural,240,0,239,136,13940,9985,368,3392,195
