county,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013
ANDERSON ,23184,15925,3378,3211,670
ANDREWS ,8247,3880,105,4086,176
ANGELINA ,45604,28265,7003,9167,1169
ARANSAS ,12331,8659,113,3093,466
ARCHER ,4619,4171,10,342,96
ARMSTRONG ,983,892,5,62,24
ATASCOSA ,23951,8615,111,14916,309
AUSTIN ,14770,9467,1391,3622,290
BAILEY ,3518,1334,24,2122,38
BANDERA ,10574,8505,30,1810,229
BASTROP ,38665,21703,2707,13103,1152
BAYLOR ,1882,1562,34,253,33
BEE ,13013,4266,197,8306,244
BELL ,164813,80681,33149,36833,14150
BEXAR ,920689,260460,62739,554345,43145
BLANCO ,5218,4178,19,921,100
BORDEN ,312,263,0,45,4
BOSQUE ,9231,7447,124,1489,171
BOWIE ,46509,30955,11435,2452,1667
BRAZORIA ,163589,83163,19752,46677,13997
BRAZOS ,100146,57308,11296,24580,6962
BREWSTER ,4593,2466,14,1997,116
BRISCOE ,763,545,17,191,10
BROOKS ,3652,297,5,3329,21
BROWN ,19557,14488,613,3987,469
BURLESON ,8821,5964,1088,1644,125
BURNET ,22631,17152,343,4635,501
CALDWELL ,19514,8386,1201,9493,434
CALHOUN ,10740,4717,258,5218,547
CALLAHAN ,7304,6500,66,552,186
CAMERON ,217676,20499,504,194496,2177
CAMP ,6396,3742,1139,1339,176
CARSON ,3097,2740,19,272,66
CASS ,15781,12063,2803,572,343
CASTRO ,3949,1428,72,2403,46
CHAMBERS ,18320,12662,1462,3702,494
CHEROKEE ,25715,16318,3474,5289,634
CHILDRESS ,2918,2055,129,656,78
CLAY ,5521,5079,21,262,159
COCHRAN ,1533,632,64,814,23
COKE ,1662,1325,2,307,28
COLEMAN ,4356,3442,89,741,84
COLLIN ,434988,261208,40150,68010,65620
COLLINGSWORTH ,1504,912,67,480,45
COLORADO ,10776,6313,1419,2875,169
COMAL ,60135,42406,851,15275,1603
COMANCHE ,7080,5102,13,1852,113
CONCHO ,1288,870,5,397,16
COOKE ,19771,15463,479,3128,701
CORYELL ,39256,23770,5950,6491,3045
COTTLE ,778,539,63,170,6
CRANE ,2408,958,67,1339,44
CROCKETT ,1900,653,3,1227,17
CROSBY ,3092,1285,99,1678,30
CULBERSON ,1222,237,3,959,23
DALLAM ,3327,1828,40,1378,81
DALLAS ,1238272,376850,291432,479548,90442
DAWSON ,6010,2339,223,3364,84
DEAF SMITH ,9643,2848,75,6590,130
DELTA ,2683,2239,203,122,119
DENTON ,366163,224722,32339,71529,37573
DEWITT ,9828,5653,758,3221,196
DICKENS ,1008,718,13,257,20
DIMMIT ,5658,647,40,4921,50
DONLEY ,1829,1530,97,160,42
DUVAL ,5618,503,6,5075,34
EASTLAND ,9566,7860,138,1399,169
ECTOR ,75374,29224,3047,41432,1671
EDWARDS ,906,430,3,461,12
ELLIS ,79148,50751,7245,19166,1986
EL PASO ,426367,47085,8814,360930,9538
ERATH ,20232,15678,193,3922,439
FALLS ,9137,4704,2485,1797,151
FANNIN ,16218,13576,723,1382,537
FAYETTE ,12561,9118,823,2435,185
FISHER ,1954,1364,65,501,24
FLOYD ,3163,1335,105,1695,28
FOARD ,674,535,33,101,5
FORT BEND ,332137,111261,73102,81287,66487
FRANKLIN ,5298,4256,206,679,157
FREESTONE ,9504,6717,1434,1202,151
FRIO ,7573,1351,34,6105,83
GAINES ,9386,5776,138,3358,114
GALVESTON ,153659,88465,20965,35707,8522
GARZA ,2406,1295,120,951,40
GILLESPIE ,13306,10502,21,2588,195
GLASSCOCK ,591,398,6,183,4
GOLIAD ,3747,2230,158,1313,46
GONZALES ,10026,4406,654,4807,159
GRAY ,11034,7690,296,2743,305
GRAYSON ,62948,48786,3585,7575,3002
GREGG ,63539,37696,12948,10807,2088
GRIMES ,12432,7609,1834,2742,247
GUADALUPE ,73183,39346,4374,26488,2975
HALE ,17171,6307,660,9924,280
HALL ,1680,1002,105,555,18
HAMILTON ,4251,3755,11,426,59
HANSFORD ,2735,1504,12,1189,30
HARDEMAN ,2004,1424,89,452,39
HARDIN ,28898,25240,1786,1317,555
HARRIS ,2165229,666304,418276,899104,181545
HARRISON ,33833,21486,7593,3941,813
HARTLEY ,2374,1846,6,475,47
HASKELL ,2742,1935,72,690,45
HAYS ,88514,50782,2490,32397,2845
HEMPHILL ,1967,1379,2,548,38
HENDERSON ,40699,32599,2471,4620,1009
HIDALGO ,419004,30267,971,382345,5421
HILL ,17834,13045,1160,3278,351
HOCKLEY ,11858,5954,437,5282,185
HOOD ,26939,23476,85,2734,644
HOPKINS ,17880,13362,1270,2749,499
HOUSTON ,10806,7056,2608,883,259
HOWARD ,15735,8840,592,5906,397
HUDSPETH ,1696,283,7,1380,26
HUNT ,44865,32958,3787,6350,1770
HUTCHINSON ,10834,7984,226,2221,403
IRION ,856,609,5,224,18
JACK ,4021,3382,31,544,64
JACKSON ,7330,4554,517,2156,103
JASPER ,17967,13525,3034,935,473
JEFF DAVIS ,1113,702,3,383,25
JEFFERSON ,123331,53206,42831,20825,6469
JIM HOGG ,2642,154,1,2464,23
JIM WELLS ,21160,3963,67,16931,199
JOHNSON ,78702,59360,1904,14987,2451
JONES ,7560,5510,289,1577,184
KARNES ,6100,2752,95,3176,77
KAUFMAN ,55336,37800,5884,9940,1712
KENDALL ,19438,15021,62,3948,407
KENEDY ,201,50,1,146,4
KENT ,402,340,3,54,5
KERR ,26166,18913,307,6293,653
KIMBLE ,2350,1774,4,542,30
KING ,148,126,0,18,4
KINNEY ,1668,741,18,881,28
