county,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013
KLEBERG ,15654,3403,463,11329,459
KNOX ,1927,1196,120,587,24
LAMAR ,25885,19261,3641,1770,1213
LAMB ,6863,2882,270,3615,96
LAMPASAS ,10359,7672,301,1886,500
LA SALLE ,2982,444,1,2518,19
LAVACA ,9904,7474,653,1637,140
LEE ,8399,5507,839,1883,170
LEON ,8492,6570,589,1169,164
LIBERTY ,40130,27206,4399,7546,979
LIMESTONE ,11171,6923,1969,2042,237
LIPSCOMB ,1703,1128,3,524,48
LIVE OAK ,5456,3311,20,2038,87
LLANO ,10184,9087,37,857,203
LOVING ,36,24,0,11,1
LUBBOCK ,147093,82228,10509,48601,5755
LYNN ,2894,1464,50,1343,37
MCCULLOCH ,4222,2843,56,1269,54
MCLENNAN ,124067,70542,18737,30410,4378
MCMULLEN ,390,244,3,137,6
MADISON ,5968,3847,943,1036,142
MARION ,5293,3686,1262,171,174
MARTIN ,2635,1398,36,1169,32
MASON ,2100,1639,5,433,23
MATAGORDA ,18159,8395,2085,7086,593
MAVERICK ,28578,728,29,27446,375
MEDINA ,23506,11061,123,11914,408
MENARD ,1114,706,4,394,10
MIDLAND ,77031,39066,4900,30725,2340
MILAM ,12274,7918,1219,2944,193
MILLS ,2508,2050,12,414,32
MITCHELL ,3621,2176,123,1267,55
MONTAGUE ,10123,8803,6,1074,240
MONTGOMERY ,252803,175381,10872,55514,11036
MOORE ,10628,4039,85,5689,815
MORRIS ,6781,4413,1640,553,175
MOTLEY ,583,496,7,75,5
NACOGDOCHES ,33734,20302,6443,5933,1056
NAVARRO ,24671,14525,3313,6105,728
NEWTON ,7010,5273,1378,181,178
NOLAN ,7498,4428,326,2619,125
NUECES ,178339,54620,5987,111758,5974
OCHILTREE ,5230,2529,12,2598,91
OLDHAM ,1038,847,31,130,30
ORANGE ,41491,34041,3691,2509,1250
PALO PINTO ,14465,11232,287,2657,289
PANOLA ,12163,8861,2040,1014,248
PARKER ,60288,51233,542,6780,1733
PARMER ,4813,1774,45,2965,29
PECOS ,6933,1755,30,5024,124
POLK ,21848,16316,2011,2671,850
POTTER ,60533,29159,5060,22259,4055
PRESIDIO ,4085,538,6,3469,72
RAINS ,5527,4865,110,414,138
RANDALL ,65298,49980,1357,11735,2226
REAGAN ,1723,649,22,1037,15
REAL ,1692,1230,8,418,36
RED RIVER ,6325,4587,1162,421,155
REEVES ,5563,881,95,4511,76
REFUGIO ,3632,1592,203,1784,53
ROBERTS ,450,413,0,32,5
ROBERTSON ,8543,4879,1909,1604,151
ROCKWALL ,43296,31555,2579,7055,2107
RUNNELS ,5147,3317,73,1687,70
RUSK ,25316,16925,4064,3707,620
SABINE ,5613,4925,393,178,117
SAN AUGUSTINE ,4476,3057,1078,266,75
SAN JACINTO ,13842,10501,1426,1599,316
SAN PATRICIO ,32946,13342,416,18442,746
SAN SABA ,2713,1921,11,734,47
SCHLEICHER ,1728,920,13,784,11
SCURRY ,8108,4720,208,3047,133
SHACKELFORD ,1747,1542,3,168,34
SHELBY ,13040,8367,2357,2128,188
SHERMAN ,1486,846,1,624,15
SMITH ,110614,66759,20466,19700,3689
SOMERVELL ,4402,3374,21,883,124
STARR ,31974,1264,3,30622,85
STEPHENS ,4546,3503,55,936,52
STERLING ,612,392,4,200,16
STONEWALL ,729,587,17,105,20
SUTTON ,2068,813,0,1244,11
SWISHER ,3604,1892,158,1484,70
TARRANT ,972584,477904,151987,268267,74426
TAYLOR ,68997,45417,4606,15905,3069
TERRELL ,435,217,2,211,5
TERRY ,5914,2671,187,2990,66
THROCKMORTON ,814,706,6,87,15
TITUS ,16539,7913,1596,6667,363
TOM GREEN ,58240,32807,1952,21646,1835
TRAVIS ,549543,270610,44766,186198,47969
TRINITY ,7257,5871,718,513,155
TYLER ,10029,8691,848,291,199
UPSHUR ,20209,16348,1834,1446,581
UPTON ,1658,773,25,836,24
UVALDE ,13663,3812,45,9632,174
VAL VERDE ,24092,3690,236,19864,302
VAN ZANDT ,27190,23302,706,2495,687
VICTORIA ,45711,21219,2800,20566,1126
WALKER ,28608,17547,5454,4629,978
WALLER ,22897,9991,5793,6645,468
WARD ,5809,2663,247,2792,107
WASHINGTON ,17370,11393,3096,2425,456
WEBB ,136418,3736,165,131505,1012
WHARTON ,20946,9854,2950,7889,253
WHEELER ,2937,2037,61,768,71
WICHITA ,64673,43916,6178,11080,3499
WILBARGER ,6558,4064,477,1806,211
WILLACY ,10023,965,37,8959,62
WILLIAMSON ,237481,147342,14236,57427,18476
WILSON ,22932,13289,307,8920,416
WINKLER ,3729,1565,69,2037,58
WISE ,30635,24000,194,5664,777
WOOD ,21893,18574,1015,1840,464
YOAKUM ,4116,1543,31,2480,62
YOUNG ,9600,7753,98,1559,190
ZAPATA ,7125,385,1,6703,36
ZAVALA ,6113,326,11,5756,20
"* 2013 population data for Texas produced by the Texas State Data Center from the Census 2013 Summary Files, accessed May 2015.",,,,,
2013 Annual Report List of Tables and References,,,,,
Annual Reports for Other Years,,,,,
Center for Health Statistics,,,,,
End of Worksheet,,,,,
,,,,,
,,,,,
