county,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012
Mills ,2538,2086,13,409,30
Mitchell ,3695,2227,126,1285,57
Montague ,10189,8905,10,1034,240
Montgomery ,243115,171697,10296,50815,10307
Moore ,10681,4173,86,5659,763
Morris ,6781,4484,1614,511,172
Motley ,612,504,13,89,6
Nacogdoches ,34283,20788,6574,5875,1046
Navarro ,24420,14545,3359,5818,698
Newton ,7078,5347,1374,173,184
Nolan ,7711,4571,334,2670,136
Nueces ,177367,56012,6018,109676,5661
Ochiltree ,5163,2576,10,2497,80
Oldham ,1065,870,29,129,37
Orange ,41568,34332,3677,2356,1203
Palo Pinto ,14408,11256,282,2576,294
Panola ,12132,8876,2033,970,253
Parker ,59878,51449,527,6253,1649
Parmer ,5070,1934,39,3059,38
Pecos ,6829,1748,34,4936,111
Polk ,21412,16107,1988,2512,805
Potter ,60143,29637,5086,21606,3814
Presidio ,4062,538,9,3455,60
Rains ,5608,4923,118,422,145
Randall ,64751,50400,1287,10983,2081
Reagan ,1728,650,27,1034,17
Real ,1732,1257,13,420,42
Red River ,6592,4807,1208,424,153
Reeves ,5549,895,93,4484,77
Refugio ,3748,1673,209,1818,48
Roberts ,463,427,0,31,5
Robertson ,8691,5024,1950,1567,150
Rockwall ,42069,31036,2401,6685,1947
Runnels ,5376,3509,74,1719,74
Rusk ,25641,17335,4144,3560,602
Sabine ,5606,4919,392,177,118
San Augustine ,4586,3138,1093,275,80
San Jacinto ,13585,10364,1382,1526,313
San Patricio ,32799,13490,410,18161,738
San Saba ,2849,2017,13,762,57
Schleicher ,1764,945,15,791,13
Scurry ,8055,4792,206,2931,126
Shackelford ,1751,1543,5,166,37
Shelby ,13046,8412,2375,2058,201
Sherman ,1503,868,2,617,16
Smith ,111346,68276,20536,18996,3538
Somervell ,4467,3462,27,852,126
Starr ,32277,1251,2,30940,84
Stephens ,4693,3627,66,945,55
Sterling ,575,378,3,183,11
Stonewall ,783,629,17,117,20
Sutton ,2121,848,0,1262,11
Swisher ,3723,1965,168,1519,71
Tarrant ,955472,485096,146215,254467,69694
Taylor ,68534,45582,4543,15468,2941
Terrell ,469,233,1,229,6
Terry ,6007,2763,185,2998,61
Throckmorton ,837,726,8,89,14
Titus ,16603,8102,1595,6548,358
Tom Green ,57100,32626,1898,20855,1721
Travis ,530986,264613,44165,177996,44212
Trinity ,7560,6124,751,528,157
Tyler ,10162,8846,827,288,201
Upshur ,20311,16560,1813,1371,567
Upton ,1698,792,27,855,24
Uvalde ,13672,3879,40,9575,178
Val Verde ,24835,3891,235,20414,295
Van Zandt ,27144,23413,712,2360,659
Victoria ,45554,21581,2735,20191,1047
Walker ,28361,17529,5426,4508,898
Waller ,22476,9926,5832,6260,458
Ward ,5640,2625,237,2678,100
