county,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011
Anderson,23078,16063,3363,3039,613
Andrews,7674,3703,98,3712,161
Angelina,44927,28349,6899,8613,1066
Aransas,11770,8331,106,2892,441
Archer,4423,4013,13,307,90
Armstrong,992,898,5,65,24
Atascosa,23512,8565,120,14524,303
Austin,14450,9474,1347,3357,272
Bailey,3590,1403,29,2121,37
Bandera,10417,8429,40,1731,217
Bastrop,37028,21336,2634,12004,1054
Baylor,1929,1615,37,245,32
Bee,13003,4309,196,8258,240
Bell,160523,79938,32461,34897,13227
Bexar,894653,262463,60987,531841,39362
Blanco,5271,4240,20,907,104
Borden,310,264,0,39,7
Bosque,9204,7500,120,1423,161
Bowie,46117,31127,11162,2288,1540
Brazoria,157691,83231,18253,43544,12663
Brazos,97864,57569,11014,22813,6468
Brewster,4633,2501,20,1996,116
Briscoe,834,591,22,209,12
Brooks,3658,295,10,3330,23
Brown,19366,14526,596,3796,448
Burleson,8819,6027,1088,1566,138
Burnet,22053,16895,339,4344,475
Caldwell,19137,8376,1209,9123,429
Calhoun,10590,4800,253,5012,525
Callahan,6920,6171,66,508,175
Cameron,214781,21239,500,190994,2048
Camp,6341,3769,1137,1271,164
Carson,3181,2814,17,283,67
Cass,15632,11966,2818,519,329
Castro,4017,1496,79,2403,39
Chambers,17878,12593,1432,3386,467
Cherokee,25193,16268,3446,4892,587
Childress,2927,2088,131,641,67
Clay,5491,5055,26,253,157
Cochran,1575,667,56,832,20
Coke,1685,1365,3,289,28
Coleman,4488,3578,94,738,78
Collin,413452,256512,36583,60914,59443
Collingsworth,1560,975,72,474,39
Colorado,10535,6308,1380,2697,150
Comal,57119,40563,790,14337,1429
Comanche,7094,5182,13,1788,111
Concho,1290,878,5,390,17
Cooke,19497,15423,466,2928,680
Coryell,38933,23879,5994,6148,2912
Cottle,807,560,73,171,3
Crane,2243,909,59,1234,41
Crockett,1893,657,6,1213,17
Crosby,3148,1351,104,1662,31
Culberson,1219,232,2,958,27
Dallam,3303,1850,40,1328,85
Dallas,1214103,392626,284136,453266,84075
Dawson,6022,2412,218,3314,78
Deaf Smith,9818,3045,85,6556,132
Delta,2683,2224,209,122,128
Denton,348523,220979,29954,64010,33580
DeWitt,9865,5835,749,3092,189
Dickens,1063,768,13,261,21
Dimmit,5383,615,38,4681,49
Donley,1858,1569,92,152,45
Duval,5709,516,4,5153,36
Eastland,9483,7859,132,1330,162
Ector,70453,28481,2853,37587,1532
Edwards,984,475,3,496,10
Ellis,77499,50753,7023,17865,1858
El Paso,423191,49213,8841,356062,9075
Erath,19617,15364,175,3668,410
Falls,9374,4874,2551,1801,148
Fannin,16065,13561,716,1277,511
Fayette,12860,9467,859,2350,184
Fisher,1998,1412,69,491,26
Floyd,3266,1416,101,1721,28
Foard,704,573,28,98,5
Fort Bend,309523,107933,67991,73649,59950
Franklin,5396,4404,205,630,157
Freestone,9468,6744,1434,1148,142
Frio,7364,1316,30,5927,91
Gaines,8902,5462,133,3201,106
Galveston,149412,87444,20794,33458,7716
Garza,2399,1312,123,922,42
Gillespie,13044,10364,26,2471,183
Glasscock,584,395,7,180,2
Goliad,3659,2208,169,1241,41
Gonzales,9974,4533,649,4652,140
Gray,10917,7821,283,2517,296
Grayson,62350,48928,3625,6978,2819
Gregg,62900,38236,12869,9857,1938
Grimes,12308,7685,1818,2569,236
Guadalupe,69057,37426,4132,24761,2738
Hale,17709,6706,670,10052,281
Hall,1729,1047,107,551,24
Hamilton,4329,3854,13,413,49
Hansford,2805,1579,14,1179,33
Hardeman,2049,1487,94,432,36
Hardin,28117,24688,1724,1195,510
Harris,2095946,675841,407618,844652,167835
Harrison,33798,21784,7666,3588,760
Hartley,2361,1858,4,452,47
Haskell,2799,1998,68,680,53
Hays,82202,47901,2343,29400,2558
Hemphill,1897,1350,2,509,36
Henderson,40365,32703,2452,4294,916
Hidalgo,409575,30286,932,373281,5076
Hill,18129,13391,1179,3202,357
Hockley,11661,5970,407,5126,158
Hood,26442,23179,84,2562,617
Hopkins,17876,13563,1266,2577,470
Houston,10960,7211,2669,835,245
Howard,15342,8718,575,5683,366
Hudspeth,1741,288,10,1415,28
Hunt,43964,32814,3705,5821,1624
Hutchinson,11086,8266,223,2199,398
Irion,806,583,3,206,14
Jack,4050,3423,33,520,74
Jackson,7137,4493,501,2041,102
Jasper,18247,13806,3083,902,456
Jeff Davis,1177,750,4,398,25
Jefferson,123611,55246,42870,19381,6114
Jim Hogg,2693,160,2,2508,23
Jim Wells,21114,4100,67,16757,190
Johnson,76612,58957,1766,13636,2253
Jones,7876,5726,293,1676,181
Karnes,6064,2770,98,3126,70
Kaufman,53517,37192,5680,9052,1593
Kendall,17711,13739,61,3534,377
Kenedy,213,49,1,157,6
Kent,418,352,6,54,6
Kerr,25685,18721,300,6042,622
Kimble,2338,1771,4,532,31
King,142,125,0,13,4
Kinney,1671,753,16,876,26
Kleberg,15789,3504,455,11372,458
Knox,1851,1173,111,542,25
Lamar,25915,19517,3613,1642,1143
Lamb,7061,3054,276,3626,105
Lampasas,10090,7575,288,1755,472
La Salle,2873,439,1,2410,23
Lavaca,9971,7618,646,1574,133
Lee,8233,5442,833,1800,158
Leon,8567,6679,616,1105,167
Liberty,38573,26568,4278,6823,904
Limestone,11402,7146,2019,2003,234
Lipscomb,1650,1112,5,490,43
Live Oak,5421,3341,21,1975,84
Llano,10077,9010,41,829,197
Loving,36,25,0,10,1
Lubbock,143068,81810,10187,45838,5233
Lynn,2965,1534,46,1346,39
McCulloch,4224,2879,60,1236,49
McLennan,122356,71344,18362,28534,4116
McMullen,399,250,4,139,6
Madison,5827,3795,940,958,134
Marion,5381,3772,1277,162,170
Martin,2390,1286,33,1042,29
Mason,2060,1616,6,417,21
Matagorda,18387,8689,2129,6992,577
Maverick,28327,724,32,27202,369
Medina,22529,10690,125,11329,385
Menard,1120,712,3,393,12
Midland,71352,37457,4554,27339,2002
Milam,12594,8239,1256,2917,182
Mills,2498,2060,13,397,28
Mitchell,3678,2234,124,1266,54
Montague,10084,8835,10,1006,233
Montgomery,237694,168394,10070,49211,10019
Moore,10612,4201,84,5586,741
Morris,6697,4439,1597,494,167
Motley,586,487,13,81,5
Nacogdoches,34038,20740,6531,5739,1028
Navarro,24321,14590,3345,5699,687
Newton,7044,5330,1364,173,177
Nolan,7687,4582,332,2640,133
Nueces,176265,55984,6004,108663,5614
Ochiltree,5033,2540,9,2404,80
Oldham,1027,839,29,125,34
Orange,41192,34090,3622,2302,1178
Palo Pinto,14355,11250,286,2529,290
Panola,12067,8861,2029,943,234
Parker,59027,50778,518,6109,1622
Parmer,5035,1947,39,3012,37
Pecos,6782,1757,33,4883,109
Polk,21220,16012,1967,2447,794
Potter,59730,29756,5018,21210,3746
Presidio,4034,537,9,3428,60
Rains,5506,4846,113,406,141
Randall,63527,49573,1256,10665,2033
Reagan,1627,616,25,973,13
Real,1705,1243,12,408,42
Red River,6593,4823,1204,413,153
Reeves,5516,897,96,4447,76
Refugio,3714,1663,210,1793,48
Roberts,459,423,0,31,5
Robertson,8589,4979,1929,1532,149
Rockwall,41177,30446,2354,6483,1894
Runnels,5331,3498,73,1687,73
Rusk,25439,17268,4120,3456,595
Sabine,5572,4895,391,172,114
San Augustine,4513,3101,1074,262,76
San Jacinto,13391,10241,1362,1481,307
San Patricio,32700,13521,413,18036,730
San Saba,2788,1994,13,726,55
Schleicher,1742,939,15,775,13
Scurry,7921,4741,200,2855,125
Shackelford,1739,1535,6,161,37
Shelby,13004,8435,2371,2013,185
Sherman,1489,868,2,604,15
Smith,110104,67865,20303,18472,3464
Somervell,4378,3398,26,830,124
Starr,31941,1255,2,30601,83
Stephens,4657,3618,66,920,53
Sterling,567,374,3,179,11
Stonewall,765,616,16,113,20
Sutton,2105,846,0,1248,11
Swisher,3708,1981,166,1491,70
Tarrant,941539,480696,143968,248435,68440
Taylor,67889,45330,4477,15181,2901
Terrell,466,233,1,225,7
Terry,5964,2771,187,2947,59
Throckmorton,820,713,8,85,14
Titus,16497,8142,1598,6405,352
Tom Green,56606,32493,1884,20526,1703
Travis,520006,260513,43384,172989,43120
Trinity,7524,6106,748,515,155
Tyler,10072,8765,826,282,199
Upshur,20106,16411,1805,1332,558
Upton,1685,793,27,841,24
Uvalde,13522,3880,39,9430,173
Val Verde,24506,3850,232,20130,294
Van Zandt,26798,23167,702,2284,645
Victoria,44758,21310,2710,19711,1027
Walker,28048,17389,5372,4409,878
Waller,22133,9831,5752,6099,451
Ward,5585,2610,234,2643,98
Washington,17237,11475,3041,2286,435
Webb,133369,3772,151,128495,951
Wharton,20952,10061,2957,7689,245
Wheeler,2776,1977,68,670,61
Wichita,64079,44290,6076,10385,3328
Wilbarger,6775,4313,498,1763,201
Willacy,10129,999,40,9025,65
Williamson,223975,141530,13271,52271,16903
Wilson,22353,13023,312,8644,374
Winkler,3567,1521,66,1923,57
Wise,29932,23893,184,5143,712
Wood,21393,18266,978,1706,443
Yoakum,4005,1564,29,2354,58
Young,9428,7701,99,1447,181
Zapata,7098,394,4,6657,43
Zavala,5976,328,13,5617,18
