Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
ANDERSON,370,64.2,249,74.1,46,47.9,75,52.1
ANDREWS,217,66,81,77.1,0,-,136,61
ANGELINA,736,60.2,460,66.4,112,59.9,164,47.8
ARANSAS,131,51.6,80,51.6,1,*,50,51.5
ARCHER,57,83.8,52,85.2,0,-,5,*
ARMSTRONG,20,76.9,20,80,0,-,0,-
ATASCOSA,282,48.4,88,50.9,1,*,193,47.2
AUSTIN,182,57.4,106,67.1,12,34.3,64,51.6
BAILEY,51,49,24,70.6,0,-,27,38.6
BANDERA,85,54.1,70,57.4,0,-,15,42.9
BASTROP,701,72.2,381,79.9,34,72.3,286,64
BAYLOR,23,76.7,18,75,0,-,5,*
BEE,248,64.1,76,79.2,1,*,171,59.4
BELL,"3,768",72.3,"2,116",75.8,775,70.4,877,66.6
BEXAR,"15,035",59.8,"5,093",71.2,880,53.9,"9,062",55.4
BLANCO,37,56.1,30,66.7,0,-,7,33.3
BORDEN,8,*,6,*,0,-,2,*
BOSQUE,112,59.6,84,64.1,3,*,25,49
BOWIE,619,54.2,430,63,145,40.1,44,44.9
BRAZORIA,"2,847",63.6,"1,620",66.2,295,64.8,932,59.4
BRAZOS,"1,437",61.9,846,68.9,131,43,460,58.3
BREWSTER,77,67,38,73.1,0,-,39,62.9
BRISCOE,8,*,6,*,0,-,2,*
BROOKS,55,47.4,4,*,0,-,51,47.2
BROWN,314,75.1,243,78.1,10,*,61,67
BURLESON,93,61.2,68,68.7,8,38.1,17,53.1
BURNET,285,65.2,189,70.5,6,*,90,56.6
CALDWELL,282,61.3,112,70.4,3,*,167,56.8
CALHOUN,208,71.7,91,76.5,2,*,115,68.9
CALLAHAN,90,70.9,81,71.7,1,*,8,*
CAMERON,"5,400",73.8,237,69.7,12,*,"5,151",74
CAMP,124,59.9,67,66.3,22,64.7,35,48.6
CARSON,42,80.8,40,83.3,1,*,1,*
CASS,188,53.4,142,56.3,32,43.8,14,51.9
CASTRO,68,57.6,22,78.6,0,-,46,52.3
CHAMBERS,299,68,216,71.3,11,45.8,72,63.7
CHEROKEE,355,48.9,199,55.4,51,50,105,39.6
CHILDRESS,45,66.2,31,75.6,1,*,13,50
CLAY,71,71.7,65,75.6,0,-,6,*
COCHRAN,15,37.5,4,*,0,-,11,36.7
COKE,18,60,14,60.9,0,-,4,*
COLEMAN,48,55.8,39,57.4,0,-,9,*
COLLIN,"7,643",72.8,"5,962",78.4,591,61.6,"1,090",56.4
COLLINGSWORTH,23,54.8,15,*,3,*,5,*
COLORADO,138,56.8,67,67,14,53.8,57,48.7
COMAL,831,62.1,567,67.8,11,*,253,52
COMANCHE,97,63.8,61,66.3,0,-,36,60
CONCHO,14,*,9,*,0,-,5,*
COOKE,298,57.9,239,68.1,8,*,51,34.7
CORYELL,712,74.5,512,75.2,79,73.1,121,72.5
COTTLE,9,*,5,*,1,*,3,*
CRANE,65,80.2,20,87,0,-,45,77.6
CROCKETT,25,50,7,*,0,-,18,47.4
CROSBY,34,53.1,11,52.4,0,-,23,53.5
CULBERSON,22,71,2,*,0,-,20,76.9
DALLAM,90,64.7,55,77.5,0,-,35,51.5
DALLAS,"21,301",56.3,"7,656",66.4,"3,687",47,"9,958",54
DAWSON,117,62.6,42,76.4,3,*,72,58.5
DEAF SMITH,197,59,32,71.1,1,*,164,56.9
DELTA,45,78.9,37,86,6,*,2,*
DENTON,"6,329",66.8,"4,603",73.8,463,56.4,"1,263",52.3
DEWITT,164,66.9,102,73.4,8,*,54,58.7
DICKENS,14,56,12,*,0,-,2,*
DIMMIT,126,66,8,*,0,-,118,68.2
DONLEY,20,58.8,17,63,1,*,2,*
DUVAL,64,50.4,5,*,0,-,59,49.2
EASTLAND,125,60.1,107,59.4,1,*,17,63
ECTOR,"2,306",80,758,83.4,57,70.4,"1,491",78.8
EDWARDS,5,23.8,1,*,0,-,4,*
ELLIS,"1,187",58.7,822,67.8,82,48,283,44.4
EL PASO,"8,255",64.7,"1,247",68.2,230,68.2,"6,778",63.9
ERATH,286,59,225,63.6,2,*,59,46.1
FALLS,83,51.2,45,66.2,14,29.8,24,51.1
FANNIN,204,63.6,171,67.9,10,*,23,46
FAYETTE,150,62.5,100,70.9,10,*,40,48.2
FISHER,17,58.6,11,*,1,*,5,*
FLOYD,39,49.4,10,*,1,*,28,45.9
FOARD,6,*,5,*,0,-,1,*
FORT BEND,"5,357",65.7,"3,148",71.4,874,57.4,"1,335",60.1
FRANKLIN,62,53.4,53,60.2,5,*,4,19
FREESTONE,116,56,76,63.9,16,51.6,24,42.1
FRIO,128,51.6,32,62.7,1,*,95,48.7
GAINES,173,45.3,95,42.6,4,*,74,48.4
GALVESTON,"2,426",62.1,"1,432",63.2,317,57.7,677,61.9
GARZA,35,53.8,20,69,4,*,11,36.7
GILLESPIE,132,54.8,90,61.6,0,-,42,44.7
GLASSCOCK,10,*,8,*,0,-,2,*
GOLIAD,41,82,22,88,1,*,18,81.8
GONZALES,141,50.5,67,76.1,4,*,70,38.3
GRAY,232,68.4,142,71.4,3,*,87,64.9
GRAYSON,876,59,704,64.8,44,53,128,40.5
GREGG,862,46.5,511,55.1,158,40.9,193,35.9
GRIMES,164,56.6,88,58.7,33,67.3,43,47.3
GUADALUPE,"1,081",64.3,619,70.9,52,66.7,410,56.2
HALE,331,64.3,112,73.2,13,*,206,60.1
HALL,20,64.5,5,*,2,*,13,*
HAMILTON,54,67.5,45,75,0,-,9,*
HANSFORD,40,49.4,22,61.1,0,-,18,40
HARDEMAN,16,43.2,12,46.2,0,-,4,*
HARDIN,491,70.9,447,73,19,46.3,25,62.5
HARRIS,"38,294",59.2,"14,384",68.8,"6,177",53.2,"17,733",55.2
HARRISON,424,52.2,274,60.6,87,49.2,63,34.2
HARTLEY,52,76.5,35,79.5,0,-,17,70.8
HASKELL,30,69.8,25,86.2,1,*,4,*
HAYS,"1,473",69.5,799,77.1,41,74.5,633,61.5
HEMPHILL,35,55.6,19,61.3,0,-,16,50
HENDERSON,498,57.8,386,59.1,24,50,88,54.7
HIDALGO,"6,755",64.2,254,78.2,11,*,"6,490",63.7
HILL,237,62.7,157,66.8,16,61.5,64,54.7
HOCKLEY,175,55.9,75,63.6,2,*,98,52.1
HOOD,404,67.9,353,72.8,0,-,51,46.4
HOPKINS,321,75.2,233,77.9,20,69,68,68.7
HOUSTON,142,62.3,78,67.2,46,59.7,18,51.4
HOWARD,267,60.7,156,71.2,3,*,108,50.9
HUDSPETH,18,47.4,0,-,0,-,18,50
HUNT,578,54.3,443,61.3,49,46.2,86,36.4
HUTCHINSON,197,65.2,146,68.9,1,*,50,57.5
IRION,10,*,7,*,0,-,3,*
JACK,68,70.1,55,69.6,0,-,13,*
JACKSON,139,78.5,80,85.1,7,*,52,72.2
