Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
ANDERSON,315,55.5,211,59.1,34,42,70,53.8
ANDREWS,175,69.4,80,79.2,0,-,95,62.9
ANGELINA,688,58.4,391,60.7,89,50.9,208,57.8
ARANSAS,144,55.2,85,55.6,3,*,56,56.6
ARCHER,63,85.1,57,86.4,0,-,6,*
ARMSTRONG,20,74.1,20,76.9,0,-,0,-
ATASCOSA,426,71.2,116,71.6,0,-,310,71.4
AUSTIN,184,53,107,58.8,14,41.2,63,48.1
BAILEY,39,36.4,17,42.5,1,*,21,31.8
BANDERA,101,62.3,80,64,1,*,20,57.1
BASTROP,565,67.7,321,78.9,26,59.1,218,56.8
BAYLOR,32,80,24,82.8,1,*,7,*
BEE,233,67.3,56,70,4,*,173,66.5
BELL,"3,604",68.6,"2,019",71.6,792,67.8,793,62.9
BEXAR,"15,742",72.4,"4,259",77.3,960,65.7,"10,523",71.3
BLANCO,46,54.1,31,58.5,0,-,15,46.9
BORDEN,1,*,1,*,0,-,0,-
BOSQUE,97,49.7,78,54.5,1,*,18,37.5
BOWIE,624,57.5,429,64.2,142,43.4,53,58.9
BRAZORIA,"2,975",63,"1,766",67.5,302,61.1,907,56.2
BRAZOS,"1,286",62.5,750,69.1,134,50.4,402,57
BREWSTER,75,58.1,35,59.3,1,*,39,57.4
BRISCOE,8,*,5,*,0,-,3,*
BROOKS,55,47.4,6,*,0,-,49,45
BROWN,304,74.1,222,77.9,7,*,75,67
BURLESON,85,55.9,61,65.6,9,40.9,15,40.5
BURNET,279,60.9,190,68.6,4,*,85,49.7
CALDWELL,279,57.4,118,67,11,*,150,51.4
CALHOUN,174,59.6,78,66.1,4,*,92,54.8
CALLAHAN,84,69.4,79,69.3,0,-,5,*
CAMERON,"4,983",64.3,226,67.5,7,*,"4,750",64.1
CAMP,124,62.6,66,75.9,23,54.8,35,50.7
CARSON,44,71,40,76.9,0,-,4,*
CASS,187,53.3,144,55.4,31,44.3,12,57.1
CASTRO,63,48.5,20,62.5,3,*,40,43.5
CHAMBERS,286,62.6,197,65.9,21,50,68,58.6
CHEROKEE,402,57.8,217,61.1,51,54.3,134,54.3
CHILDRESS,49,59,36,64.3,2,*,11,47.8
CLAY,68,70.8,64,71.1,1,*,3,*
COCHRAN,33,62.3,12,*,1,*,20,55.6
COKE,13,50,10,*,0,-,3,*
COLEMAN,64,63.4,50,67.6,2,*,12,52.2
COLLIN,"7,630",72.5,"5,957",78.4,597,61.1,"1,076",55.3
COLLINGSWORTH,30,52.6,17,70.8,0,-,13,40.6
COLORADO,168,63.6,91,79.1,26,59.1,51,48.6
COMAL,599,55,419,63.6,6,*,174,41
COMANCHE,99,58.6,63,67,0,-,36,48
CONCHO,11,42.3,7,*,1,*,3,*
COOKE,271,54,213,62.3,8,*,50,34.2
CORYELL,619,68,455,69.6,73,66.4,91,62.3
COTTLE,11,*,9,*,0,-,2,*
CRANE,45,72.6,13,*,1,*,31,72.1
CROCKETT,36,56.3,15,*,0,-,21,47.7
CROSBY,46,52.3,10,*,1,*,35,50
CULBERSON,11,40.7,3,*,0,-,8,36.4
DALLAM,76,55.9,47,59.5,1,*,28,50
DALLAS,"21,694",56.1,"7,241",66.5,"3,745",46.2,"10,708",54.3
DAWSON,94,50.8,35,56.5,5,*,54,47.4
DEAF SMITH,175,52.7,36,66.7,0,-,139,50.2
DELTA,44,74.6,40,76.9,3,*,1,*
DENTON,"5,986",67,"4,398",74.4,389,56.1,"1,199",51.3
DEWITT,152,66.7,82,70.1,11,*,59,62.8
DICKENS,13,61.9,12,*,0,-,1,*
DIMMIT,86,67.2,4,*,1,*,81,66.9
DONLEY,16,45.7,12,44.4,0,-,4,*
DUVAL,75,45.5,5,*,0,-,70,45.2
EASTLAND,139,62.9,112,61.5,2,*,25,69.4
ECTOR,"1,759",72.4,612,78.9,77,78.6,"1,070",68.8
EDWARDS,14,53.8,7,*,0,-,7,*
EL PASO,"7,625",58.2,"1,015",62.1,186,58.7,"6,424",57.6
ELLIS,"1,119",55.7,749,63.7,85,45.2,285,44.2
ERATH,275,61.2,200,65.6,2,*,73,51.8
FALLS,87,56.1,43,75.4,25,43.1,19,47.5
FANNIN,176,51.9,155,54.6,3,*,18,36.7
FAYETTE,169,72.5,95,79.8,14,*,60,63.8
FISHER,33,71.7,18,69.2,2,*,13,*
FLOYD,50,52.1,14,63.6,3,*,33,46.5
FOARD,6,*,6,*,0,-,0,-
FORT BEND,"4,899",64.6,"2,799",73.6,817,54.5,"1,283",56.1
FRANKLIN,75,69.4,58,69.9,4,*,13,*
FREESTONE,113,54.3,79,59.8,9,32.1,25,52.1
FRIO,133,57.6,20,64.5,0,-,113,56.5
GAINES,170,50.1,103,55.1,2,*,65,44.2
GALVESTON,"2,520",64.7,"1,471",66.3,302,57.3,747,65
GARZA,41,51.9,23,65.7,1,*,17,43.6
GILLESPIE,166,63.8,114,69.5,0,-,52,54.2
GLASSCOCK,8,*,4,*,0,-,4,*
GOLIAD,54,75,33,80.5,1,*,20,74.1
GONZALES,132,45.4,52,57.1,8,*,72,38.7
GRAY,172,55,108,59.7,2,*,62,52.1
