Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
ANDERSON,341,60.1,228,65.7,51,57.3,62,47.3
ANDREWS,212,62.4,84,68.9,1,*,127,58.5
ANGELINA,646,55.8,389,60.9,84,45.9,173,51.5
ARANSAS,120,44.4,71,46.7,4,*,45,40.2
ARCHER,65,78.3,57,78.1,0,-,8,*
ARMSTRONG,11,*,11,*,0,-,0,-
ATASCOSA,365,55.8,130,60.7,0,-,235,53.5
AUSTIN,193,55.1,118,64.1,16,43.2,59,45.7
BAILEY,37,40.2,12,52.2,0,-,25,36.8
BANDERA,72,47.4,58,50.9,0,-,14,37.8
BASTROP,711,68.7,357,76.3,39,67.2,315,61.9
BAYLOR,34,79.1,27,81.8,0,-,7,*
BEE,256,62.3,56,64.4,5,*,195,61.9
BELL,"3,672",70,"2,041",73.8,798,67.1,833,64.6
BEXAR,"15,854",60.9,"5,502",72,956,55.7,"9,396",56.4
BLANCO,59,59.6,42,66.7,1,*,16,45.7
BORDEN,4,*,4,*,0,-,0,-
BOSQUE,94,59.9,73,61.9,0,-,21,55.3
BOWIE,554,47.9,403,55.7,105,33,46,39.7
BRAZORIA,"2,763",60.6,"1,635",63.2,272,58.4,856,57
BRAZOS,"1,672",66,"1,003",74.1,150,48.2,519,59.7
BREWSTER,74,71.8,40,71.4,0,-,34,72.3
BRISCOE,3,*,0,-,0,-,3,*
BROOKS,44,41.9,3,*,0,-,41,42.3
BROWN,309,73,221,72.2,8,*,80,76.2
BURLESON,118,62.8,79,71.8,16,69.6,23,41.8
BURNET,297,69.2,208,76.5,3,*,86,56.2
CALDWELL,284,55.5,114,62.3,6,*,164,51.3
CALHOUN,212,70.9,87,76.3,1,*,124,68.1
CALLAHAN,93,58.9,82,60.3,0,-,11,*
CAMERON,"5,005",69.8,249,73.2,10,*,"4,746",69.7
CAMP,107,49.5,58,60.4,16,43.2,33,39.8
CARSON,48,69.6,44,69.8,0,-,4,*
CASS,188,55.1,148,61.4,33,39.3,7,*
CASTRO,73,62.4,19,76,1,*,53,58.2
CHAMBERS,259,57.4,197,61.9,14,51.9,48,45.3
CHEROKEE,355,51,229,59.3,42,53.8,84,36.2
CHILDRESS,52,63.4,38,73.1,4,*,10,43.5
CLAY,60,73.2,58,74.4,0,-,2,*
COCHRAN,22,47.8,7,*,0,-,15,53.6
COKE,19,63.3,15,68.2,0,-,4,*
COLEMAN,54,65.1,46,68.7,1,*,7,*
COLLIN,"7,376",68.6,"5,642",72.7,570,59.1,"1,164",57.3
COLLINGSWORTH,19,67.9,11,*,1,*,7,*
COLORADO,153,58.6,77,68.1,18,52.9,58,50.9
COMAL,817,58.1,570,64.6,9,*,238,46.8
COMANCHE,83,61.5,44,67.7,1,*,38,55.9
CONCHO,18,72,12,*,0,-,6,*
COOKE,340,61.7,272,68,9,*,59,43.4
CORYELL,712,71.6,522,73.4,68,64.2,122,68.9
COTTLE,16,*,10,*,3,*,3,*
CRANE,59,75.6,20,90.9,1,*,38,69.1
CROCKETT,29,47.5,12,*,0,-,17,40.5
CROSBY,52,58.4,15,57.7,2,*,35,57.4
CULBERSON,14,51.9,3,*,0,-,11,50
DALLAM,79,62.7,44,72.1,1,*,34,54
DALLAS,"22,373",57.5,"8,114",66.9,"3,893",48.7,"10,366",55.1
DAWSON,110,67.1,43,82.7,4,*,63,59.4
DEAF SMITH,159,49.4,37,66.1,0,-,122,46
DELTA,42,59.2,36,66.7,5,*,1,*
DENTON,"6,520",66.7,"4,741",73.1,494,60.9,"1,285",52
DEWITT,200,69.4,113,74.8,6,*,81,67.5
DICKENS,5,*,4,*,0,-,1,*
DIMMIT,131,69.3,7,*,0,-,124,70.5
DONLEY,18,64.3,12,*,2,*,4,*
DUVAL,68,45.6,2,*,0,-,66,47.5
EASTLAND,127,58.8,113,60.8,1,*,13,46.4
ECTOR,"2,241",71.3,755,76.1,60,63.2,"1,426",69.3
EDWARDS,11,39.3,3,*,1,*,7,31.8
ELLIS,"1,218",58.9,802,66.8,109,55.6,307,45.8
