Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
ANDERSON,382,63.1,234,64.5,52,57.8,96,63.2
ANDREWS,159,60.5,66,66.7,2,*,91,56.5
ANGELINA,736,60.3,426,64.7,123,58.9,187,53
ARANSAS,113,53.8,67,57.3,2,*,44,48.4
ARCHER,50,80.6,43,82.7,0,-,7,*
ARMSTRONG,10,*,9,*,0,-,1,*
ATASCOSA,400,67.6,110,65.9,3,*,287,68.3
AUSTIN,189,59.2,106,65.4,14,51.9,69,53.1
BAILEY,54,41.9,23,62.2,1,*,30,33
BANDERA,91,61.9,74,65.5,0,-,17,50
BASTROP,564,69.2,297,74.4,35,70,232,63.4
BAYLOR,31,96.9,22,95.7,2,*,7,*
BEE,242,63.5,70,73.7,1,*,171,60.2
BELL,"3,170",69.5,"1,730",72.1,764,69.5,676,63.6
BEXAR,"15,923",71,"4,566",75.5,"1,014",67.4,"10,343",69.6
BLANCO,53,60.9,40,66.7,0,-,13,48.1
BORDEN,4,*,3,*,0,-,1,*
BOSQUE,102,59.3,76,67.3,4,*,22,42.3
BOWIE,644,57.7,439,65.2,156,45.2,49,50
BRAZORIA,"2,712",64.3,"1,604",67.6,239,59.5,869,60.1
BRAZOS,"1,436",68.9,863,75.6,135,52.7,438,63.8
BREWSTER,72,67.3,37,80.4,1,*,34,57.6
BRISCOE,11,50,7,*,0,-,4,*
BROOKS,65,46.4,2,*,1,*,62,47
BROWN,324,76.4,238,78,11,*,75,72.1
BURLESON,101,64.3,72,66.1,14,*,15,51.7
BURNET,285,63.5,204,71.3,2,*,79,49.4
CALDWELL,296,62.1,123,66.1,5,*,168,60
CALHOUN,180,67.7,70,71.4,1,*,109,65.3
CALLAHAN,86,76.8,77,78.6,0,-,9,*
CAMERON,"5,185",69,208,65.2,10,*,"4,967",69.2
CAMP,93,62,52,77.6,16,53.3,25,47.2
CARSON,53,82.8,49,83.1,0,-,4,*
CASS,162,53.6,136,59.1,21,36.8,5,*
CASTRO,67,48.9,21,84,3,*,43,40.2
CHAMBERS,278,64.2,177,64.4,15,62.5,86,64.2
CHEROKEE,360,53.7,235,63.2,35,47.3,90,40.2
CHILDRESS,48,56.5,23,62.2,4,*,21,47.7
CLAY,56,76.7,54,77.1,0,-,2,*
COCHRAN,27,49.1,10,*,0,-,17,45.9
COKE,14,50,7,*,0,-,7,*
COLEMAN,56,58.3,43,57.3,0,-,13,61.9
COLLIN,"7,673",74.7,"5,902",79.7,622,66,"1,149",59.4
COLLINGSWORTH,26,48.1,13,44.8,1,*,12,50
COLORADO,148,63,83,79.8,13,48.1,52,50
COMAL,677,59,471,66.3,9,*,197,46.4
COMANCHE,101,59.8,68,68,0,-,33,47.8
CONCHO,19,54.3,16,72.7,0,-,3,*
COOKE,275,56.9,222,62.7,11,*,42,37.2
CORYELL,629,70.3,468,71.9,69,66.3,92,65.7
COTTLE,8,*,5,*,1,*,2,*
CRANE,38,63.3,11,*,0,-,27,61.4
CROCKETT,30,47.6,13,59.1,0,-,17,41.5
CROSBY,43,58.1,16,59.3,0,-,27,57.4
CULBERSON,19,76,4,*,0,-,15,*
DALLAM,85,63.4,46,69.7,0,-,39,60
DALLAS,"21,856",58.1,"7,589",67.8,"3,891",50.1,"10,376",55.5
DAWSON,97,54.5,37,66.1,1,*,59,49.6
DEAF SMITH,216,62.1,46,78,1,*,169,58.7
DELTA,40,69,34,69.4,4,*,2,*
DENTON,"6,312",69.1,"4,644",76.3,442,58.7,"1,226",53.4
DEWITT,138,62.4,67,69.8,4,*,67,58.3
DICKENS,9,39.1,7,*,1,*,1,*
DIMMIT,100,60.2,9,*,0,-,91,60.7
DONLEY,15,57.7,13,*,0,-,2,*
DUVAL,75,42.4,9,*,0,-,66,42
EASTLAND,133,63.9,106,65.4,2,*,25,56.8
ECTOR,"1,617",66.2,533,68.3,57,65.5,"1,027",65.2
EDWARDS,17,56.7,9,*,0,-,8,*
EL PASO,"7,699",58.1,"1,098",58.6,214,55.3,"6,387",58.1
ELLIS,"1,144",59.6,762,66.3,78,51,304,49.4
ERATH,287,58.2,211,63.9,1,*,75,46.3
FALLS,68,41.5,31,45.6,16,32,21,45.7
FANNIN,182,53.8,156,58,11,45.8,15,33.3
FAYETTE,180,72.9,117,77,12,*,51,63.8
FISHER,23,63.9,11,*,1,*,11,*
FLOYD,48,59.3,17,70.8,1,*,30,53.6
FOARD,11,*,8,*,0,-,3,*
FORT BEND,"5,004",67,"2,867",73.7,858,59.1,"1,279",60.1
FRANKLIN,80,70.8,66,72.5,2,*,12,*
FREESTONE,141,60,87,61.7,23,65.7,31,52.5
FRIO,117,54.9,19,59.4,0,-,98,54.1
GAINES,170,47.8,108,49.5,1,*,61,44.9
