county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number
Hutchinson,69.3,717,*,15,54.2,230,64.7,22
Irion,73.5,36,--,0,*,13,--,0
Jack,70.1,256,*,**,54.8,63,*,**
Jackson,82.4,402,60.9,39,68,266,*,**
Jasper,67,"1,026",57.4,218,52.9,100,67.9,36
Jeff Davis,70.3,26,--,0,*,15,--,0
Jefferson,73.4,"3,639",63,"3,388",55.8,"2,169",63.1,500
Jim Hogg,*,19,--,0,73.1,274,*,**
Jim Wells,60.8,245,*,**,49.9,"1,151",*,**
Johnson,69.9,"4,772",67.9,146,49.4,"1,246",45.1,128
Jones,66.8,381,*,17,51.7,125,*,**
Karnes,67.2,164,*,**,54.5,299,*,**
Kaufman,65.4,"2,924",55.2,422,50.1,911,51.6,94
Kendall,78.2,800,*,**,50.6,289,*,18
Kenedy,*,**,--,0,*,**,--,0
Kent,66.7,24,--,0,*,**,--,0
Kerr,53.9,756,*,17,41.7,424,41.4,24
Kimble,58.4,80,--,0,40,28,--,0
King,*,**,--,0,*,**,*,**
Kinney,70.5,31,--,0,46.5,59,*,**
Kleberg,70.9,331,50.9,27,60.9,"1,036",62.3,38
Knox,75,93,*,10,57,69,*,**
Lamar,69,"1,618",56.4,299,44.7,152,50.8,64
Lamb,64.5,182,*,**,49.5,313,*,13
Lampasas,73.3,519,*,12,59.4,174,55.8,24
La Salle,68,34,--,0,56.8,237,*,**
Lavaca,79.7,563,57.6,34,52.8,168,*,**
Lee,71.9,353,62,49,61,228,*,10
Leon,67.2,453,50,21,43,95,*,**
Liberty,54.1,"1,762",49.2,195,43.4,640,46,40
Limestone,64.4,493,50.8,95,41.3,203,*,12
Lipscomb,66.3,61,--,0,34.7,35,--,0
Live Oak,68.9,177,--,0,53.1,188,*,**
Llano,67.7,404,*,9,55.2,80,*,11
Loving,--,0,--,0,--,0,--,0
Lubbock Cnty,71.7,"6,783",53.2,877,57.2,"4,762",61.3,479
Lynn,72,121,*,**,53.1,103,*,**
McCulloch,70.6,187,*,**,56.4,101,*,**
